productname,size,newprice,oldprice,link
Bio Eier 10er,10er,"2,99",0,https://www.goflink.com//de-DE/shop/product/bio-eier-10er-11013655/
Bio Eier 10er S-XL,S-XL,"3,99",0,https://www.goflink.com//de-DE/shop/product/bio-eier-10er-s-xl-11014128/
Bio Eier Spitz und Bube Kl.S-L 6er,6er,"2,49",0,https://www.goflink.com//de-DE/shop/product/bio-eier-spitz-und-bube-kl-s-l-6er-11013328/
Biogreno Bio Freilandeier Kl.M-L 6 Stk.,Stk.,"2,29",0,https://www.goflink.com//de-DE/shop/product/biogreno-bio-freilandeier-kl-m-l-6er-11010174/
Brodowin Demeter Eier M/L 6er,6er,"3,99",0,https://www.goflink.com//de-DE/shop/product/brodowin-demter-eier-m-l-6er-11017003/
Danaeg Bio Eier 6 Stk.,Stk.,"2,49",0,https://www.goflink.com//de-DE/shop/product/danaeg-bio-eier-6er-11011845/
Dein Land Ei Bio 6 Stk.,Stk.,"2,89",0,https://www.goflink.com//de-DE/shop/product/dein-land-ei-bio-6er-11011851/
Ei hessisch! Bio Eier 10 Stk.,Stk.,"4,49",0,https://www.goflink.com//de-DE/shop/product/ei-hessisch-bio-eier-10er-11011850/
Ei hessisch! Bio Eier 6 Stk.,Stk.,"2,69",0,https://www.goflink.com//de-DE/shop/product/ei-hessisch-bio-eier-6er-11011849/
Eipro Bio Eier 10 Stk.,Stk.,"3,99",0,https://www.goflink.com//de-DE/shop/product/eipro-bio-eier-10er-11012228/
Gutshof Bio Eier Bruderhahn 6 Stk.,Stk.,"1,59",0,https://www.goflink.com//de-DE/shop/product/gutshof-bio-eier-bruderhahn-6er-11011535/
Rewe Brotzeiteier Bodenhaltung 6er,6er,"1,79",0,https://www.goflink.com//de-DE/shop/product/rewe-brotzeiteier-6er-11015807/
Rewe Bunte Brotzeiteier Bodenhaltung 6er,6er,"1,79",0,https://www.goflink.com//de-DE/shop/product/rewe-brotzeiteier-freilandhaltung-6er-11016330/
Rewe Eier Bodenhaltung 10er,10er,"2,59",0,https://www.goflink.com//de-DE/shop/product/rewe-eier-bodenhaltung-10er-11016804/
Rewe Eier Freilandhaltung 6er,6er,"1,89",0,https://www.goflink.com//de-DE/shop/product/rewe-eier-freilandhaltung-6er-11015127/
Sonnendorfer Bio Freilandeier 10 Stk.,Stk.,"4,49",0,https://www.goflink.com//de-DE/shop/product/sonnendorfer-bio-freilandeier-10er-11011848/
Sonnendorfer Bio Freilandeier 6 Stk.,Stk.,"2,59",0,https://www.goflink.com//de-DE/shop/product/sonnendorfer-bio-freilandeier-6er-11011847/
