productname,size,newprice,oldprice,link
Langnese Cornetto King Cone Vanilla 260ml,260ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/langnese-cornetto-king-cone-vanilla-260ml-11016258/
Magnum Classic 120ml,120ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-classic-120ml-11016256/
Magnum White Chocolate & Cookies 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-white-chocolate-and-cookies-90ml-11016259/
Bayne Frozen Rosé Sorbet 2.0% 450ml,450ml,"5,59","6,99",https://www.goflink.com//de-DE/shop/product/bayne-frozen-rose-sorbet-2-0-450ml-11015858/
Bayne Gin & Gently Sorbet 2.5% 450ml,450ml,"5,59","6,99",https://www.goflink.com//de-DE/shop/product/bayne-gin-and-gently-sorbet-2-5-450ml-11015859/
Bayne Veneziano Spritz Sorbet 2.0% 450ml,450ml,"5,59","6,99",https://www.goflink.com//de-DE/shop/product/bayne-veneziano-spritz-sorbet-2-0-450ml-11015860/
Ben & Jerry's Chocolate Fudge Brownie 465ml,465ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-chocolate-fudge-brownie-465ml-11010993/
Ben & Jerry's Cookie Dough 465ml,465ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-cookie-dough-465ml-11010994/
Ben & Jerry's Half Baked 465ml,465ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-half-baked-465ml-11010995/
Ben & Jerry's Karamel Sutra Core 465ml,465ml,"5,19","6,49",https://www.goflink.com//de-DE/shop/product/benand-jerrys-karamel-sutra-465ml-11010996/
Ben & Jerry's Peanut Butter Cup 465ml,465ml,"5,19","6,49",https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-peanut-butter-cup-465ml-11015006/
Ben & Jerry's Sundae Cookie Vermont-ster 427ml,427ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-sundae-cookie-vermont-ster-427ml-11016713/
Ben & Jerry's Sundae Hazel-nuttin' but Chocolate 427ml,427ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-sundae-hazel-nuttin-but-chocolate-427ml-11016712/
Ben & Jerry's Sundae Oh My! Banoffee Pie! 427ml,427ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-sundae-oh-my-banoffee-pie-427ml-11016715/
Ben & Jerry's Sundae Vegan Berry Revolutionary 427ml,427ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-sundae-vegan-berry-revolutionary-427ml-11016714/
Ben & Jerry's Vegan Cookies on Cookie Dough 465ml,465ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-eis-cookies-on-cookie-dough-vegan-465ml-11013111/
Black Forest Bio Ice Cream Schokolade 100ml,100ml,"2,07","2,59",https://www.goflink.com//de-DE/shop/product/black-forest-bio-ice-cream-schokolade-vegan-100ml-11017727/
Black Forest Bio Ice Cream Schwarzwälder Kirsch 100ml,100ml,"2,07","2,59",https://www.goflink.com//de-DE/shop/product/black-forest-bio-ice-cream-schwarzwalder-kirsch-100ml-11017728/
Black Forest Ice Cream Bio Haselnuss vegan 450ml,450ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/black-forest-ice-cream-bio-haselnuss-vegan-450ml-11016305/
Black Forest Ice Cream Bio Himbeere & Fichte vegan 450ml,450ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/black-forest-ice-cream-bio-himbeere-and-fichte-vegan-450ml-11016306/
Black Forest Ice Cream Bio Weiße Schokolade & Waldbeeren 450ml,450ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/black-forest-ice-cream-bio-weisse-schokolade-and-waldbeeren-450ml-11016308/
Breyers Vegan Caramel & Pecan 465ml,465ml,"5,19","6,49",https://www.goflink.com//de-DE/shop/product/breyers-caramel-and-pecan-vegan-465ml-11015008/
Breyers Vegan Chocolate & Hazelnut 465ml,465ml,"1,95","6,49",https://www.goflink.com//de-DE/shop/product/breyers-vegan-chocolate-hazelnut-eiscreme-465ml-11013113/
Breyers Vegan Vanilla & Strawberry Pieces 465ml,465ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/breyers-vegan-vanilla-and-strawberry-pieces-465ml-11016717/
Cremissimo Bourbon Vanille 1300ml,1300ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/langnese-cremissimo-bourbon-vanille-1300ml-11016257/
Cremissimo Schokoladen Traum 900ml,900ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/cremissimo-schokoladen-traum-900ml-11018068/
Cremissimo Solero 900ml,900ml,"3,69",0,https://www.goflink.com//de-DE/shop/product/cremissimo-solero-900ml-11017412/
Del Fiore Bio Erdbeer Minze 500ml,500ml,"5,83","7,29",https://www.goflink.com//de-DE/shop/product/del-fiore-bio-erdbeer-minze-500ml-11017729/
Del Fiore Grand Cru Schokolade Bio 500ml,500ml,"5,83","7,29",https://www.goflink.com//de-DE/shop/product/del-fiore-bio-grand-cru-schokolade-500-ml-11012902/
Del Fiore Haselnuss Piemont Bio 500ml,500ml,"5,83","7,29",https://www.goflink.com//de-DE/shop/product/del-fiore-bio-haselnuss-piemont-500-ml-11012901/
Del Fiore Mango Lemongrass Bio & Vegan 500ml,500ml,"5,83","7,29",https://www.goflink.com//de-DE/shop/product/del-fiore-bio-mango-und-lemongrass-500-ml-11012903/
Del Fiore Vanille Madagaskar Bio 500ml,500ml,"5,83","7,29",https://www.goflink.com//de-DE/shop/product/del-fiore-bio-vanille-madagaskar-500-ml-11012900/
Del Fiore Zitrone Ingwer Bio & Vegan 500ml,500ml,"5,83","7,29",https://www.goflink.com//de-DE/shop/product/del-fiore-bio-zitrone-und-ingwer-500-ml-11012904/
Emma the Mu Birthday Cake 530ml,530ml,"5,52","6,90",https://www.goflink.com//de-DE/shop/product/emma-the-mu-birthday-cake-530ml-11014839/
Emma the Mu Dunkle Schokolade Vegan 530ml,530ml,"5,52","6,90",https://www.goflink.com//de-DE/shop/product/emma-the-mu-dunkle-schokolade-vegan-530ml-11014838/
Emma the Mu Mangosorbet 530ml,530ml,"5,52","6,90",https://www.goflink.com//de-DE/shop/product/emma-the-mu-mangosorbet-530ml-11014837/
Flink Bio Eis Caramel Brownie 500ml,500ml,"5,49",0,https://www.goflink.com//de-DE/shop/product/flink-bio-eis-caramel-brownie-300g-11016001/
Flink Bio Eis Cookie Dough 500ml,500ml,"5,49",0,https://www.goflink.com//de-DE/shop/product/flink-bio-eis-cookie-dough-300g-11016003/
Flink Bio Eis Peanut Butter Brownie 500ml,500ml,"5,49",0,https://www.goflink.com//de-DE/shop/product/flink-bio-eis-peanut-butter-300g-11016004/
Flink Bio Eis Raspberry Cheesecake 500ml,500ml,"5,49",0,https://www.goflink.com//de-DE/shop/product/flink-bio-eis-raspberry-cheesecake-300g-11016002/
Flink Bio Sorbet Erdbeere Schwarze Johannisbeere 350ml,350ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/flink-bio-sorbet-erdbeere-schwarze-johannisbeere-350ml-11016006/
Flink Bio Sorbet Mango Maracuja 350ml,350ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/flink-bio-sorbet-mango-maracuja-350ml-11016005/
Glycklich Eis Erdbeer-Sorbet Vegan 500ml,500ml,"4,47","5,59",https://www.goflink.com//de-DE/shop/product/glycklich-eis-erdbeer-sorbet-vegan-500ml-11015723/
Glycklich Eis Vanille 500ml,500ml,"4,47","5,59",https://www.goflink.com//de-DE/shop/product/glycklich-eis-vanille-500ml-11015721/
Glycklich Eis Zimt 500ml,500ml,"4,47","5,59",https://www.goflink.com//de-DE/shop/product/glycklich-eis-zimt-500ml-11015722/
HofEis Knusperkeks 130ml,130ml,"2,07","2,59",https://www.goflink.com//de-DE/shop/product/hofeis-knusperkeks-130ml-11016309/
HofEis Omas Apfelkuchen 130ml,130ml,"2,07","2,59",https://www.goflink.com//de-DE/shop/product/hofeis-omas-apfelkuchen-130ml-11016304/
HofEis Waldbeere vegan 130ml,130ml,"2,07","2,59",https://www.goflink.com//de-DE/shop/product/hofeis-waldbeere-vegan-130ml-11016307/
Hokey Pokey Französische Schokolade 520ml,520ml,"6,79","8,49",https://www.goflink.com//de-DE/shop/product/hokey-pokey-franzosiche-schokolade-520ml-11014116/
Hokey Pokey Vanilleeis mit Karamellstückchen und Karamellsirup 520 ml,ml,"6,79","8,49",https://www.goflink.com//de-DE/shop/product/hokey-pokey-520ml-11014115/
Häagen-Dazs Favorite Selection Mini Cups 380ml (4x95ml),4x95ml,"6,79",0,https://www.goflink.com//de-DE/shop/product/haagen-dazs-favorite-selection-eis-4x95ml-11014552/
Luicella's Ice Cream Franzbrötchen 500ml,500ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/luicellas-ice-cream-franzbrotchen-500ml-11012650/
Luicella's Ice Cream Pistazie Schokostücke Vegan 500ml,500ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/luicellas-ice-cream-pistazie-schokostucke-vegan-500ml-11012649/
Luicella's Ice Cream Vanille Whiskey 500ml,500ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/luicellas-ice-cream-vanille-whiskey-500ml-11015636/
M&M's Eisbecher Peanut 450ml,450ml,"5,79",0,https://www.goflink.com//de-DE/shop/product/mandms-eisbecher-peanut-450ml-11017911/
Milk Made Ice Cream Mango-Sorbet vegan 500ml,500ml,"6,39","7,99",https://www.goflink.com//de-DE/shop/product/milk-made-ice-cream-mango-sorbet-vegan-500ml-11016732/
Milk Made Ice Cream Stracciatella 500ml,500ml,"6,39","7,99",https://www.goflink.com//de-DE/shop/product/milk-made-ice-cream-stracciatella-500ml-11016730/
Milk Made Ice Cream White Chocolate Brownie 500ml,500ml,"6,39","7,99",https://www.goflink.com//de-DE/shop/product/milk-made-ice-cream-white-chocolate-brownie-500ml-11016731/
Nomoo Veganes Bio Kakao Eis 500ml,500ml,"1,80","5,99",https://www.goflink.com//de-DE/shop/product/nomoo-veganes-kakao-eis-500ml-11015007/
Nomoo Veganes Bio Mango Eis 500ml,500ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/nomoo-veganes-mango-eis-500ml-11015013/
Nomoo Veganes Bio Vanille Eis 500ml,500ml,"1,80","5,99",https://www.goflink.com//de-DE/shop/product/nomoo-veganes-vanille-eis-500ml-11015012/
Oatly Hafer Eis Chocolate Fudge 500ml,500ml,"4,49","5,99",https://www.goflink.com//de-DE/shop/product/oatly-hafer-eis-chocolate-fudge-500ml-11017108/
Oatly Hafer Eis Hazelnut Swirl 500ml,500ml,"4,49","5,99",https://www.goflink.com//de-DE/shop/product/oatly-hafer-eis-hazelnut-swirl-500ml-11017107/
Oatly Hafer Eis Salted Caramel 500ml,500ml,"4,49","5,99",https://www.goflink.com//de-DE/shop/product/oatly-hafer-eis-salted-caramel-500ml-11017106/
Roberto Ghirloni Fortuna Eisbecher mit Löffel 125ml,125ml,"1,75","2,19",https://www.goflink.com//de-DE/shop/product/roberto-ghirloni-fortuna-eisbecher-mit-loffel-125ml-11017245/
Roberto Ghirloni Vanille Eis 480ml,480ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/roberto-ghirloni-vanille-eis-480ml-11017243/
Roberto Ghirloni Zitrone Eis vegan 480ml,480ml,"4,79","5,99",https://www.goflink.com//de-DE/shop/product/roberto-ghirloni-zitrone-eis-vegan-480ml-11017244/
Schwartau Eiswunder Eisglasur 125ml,125ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/schwartau-eiswunder-eisglasur-125ml-11017839/
Schwartau Schokosauce 250ml,250ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/schwartau-schokosauce-250ml-11017841/
Snickers Eisbecher 450ml,450ml,"5,79",0,https://www.goflink.com//de-DE/shop/product/snickers-eisbecher-450ml-11017910/
Langnese Cornetto King Cone Vanilla 260ml,260ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/langnese-cornetto-king-cone-vanilla-260ml-11016258/
Magnum Classic 120ml,120ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-classic-120ml-11016256/
Magnum White Chocolate & Cookies 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-white-chocolate-and-cookies-90ml-11016259/
Langnese Nogger Choc 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/langnese-nogger-choc-90ml-11017831/
Magnum Double Gold Caramel Billionaire 85ml,85ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/magnum-double-gold-caramel-billionaire-85ml-11017417/
Nestlé Pirulo Kaktus 4 Friends 90ml,90ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/nestle-pirulo-kaktus-4-friends-90ml-11017648/
Oreo Ice Cream Sandwich 135ml,135ml,"1,69",0,https://www.goflink.com//de-DE/shop/product/oreo-ice-cream-sandwich-135ml-11017416/
Ben & Jerry's Cookie Dough Peace Pop 240ml (3x80ml),3x80ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/ben-and-jerrys-cookie-dough-peace-pop-240ml-3x80ml-11017226/
Dovgan Plombir Original 780ml (6x130ml),6x130ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/dovgan-plombir-original-780ml-6x130ml-11017400/
Ferrero Rocher Ice Cream Classic 200g (4x50g),4x50g,"3,49",0,https://www.goflink.com//de-DE/shop/product/ferrero-rocher-ice-cream-classic-200g-4x50g-11016333/
Froobie Fruchties 400ml (10x40ml),10x40ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/froobie-multipack-fruchties-10-x-40ml-11017207/
