productname,size,newprice,oldprice,link
Agata Espresso Fernando Escobar Ganze Bohne 250g,250g,"9,99",0,https://www.goflink.com//de-DE/shop/product/agata-espresso-fernando-escobar-ganze-bohne-250g-11016997/
Agata Espresso Finca Rio Colorado Ganze Bohne 250g,250g,"9,39",0,https://www.goflink.com//de-DE/shop/product/agata-espresso-finca-rio-colorado-ganze-bohne-250g-11017000/
Agata Espresso Flavia Rodrigues Ganze Bohne 250g,250g,"9,99",0,https://www.goflink.com//de-DE/shop/product/agata-espresso-flavia-rodrigues-ganze-bohne-250g-11016999/
Agata Filterkaffee Frische Mische Gemahlen 250g,250g,"9,39",0,https://www.goflink.com//de-DE/shop/product/agata-filterkaffee-frische-mische-gemahlen-250g-11016996/
Agata Filterkaffee Kalledevarapura Gemahlen 250g,250g,"9,99",0,https://www.goflink.com//de-DE/shop/product/agata-filterkaffee-kalledevarapura-gemahlen-250g-11016998/
Bazzar Caffe Bio Organic Honduras Ganze Bohne 250g,250g,"5,99",0,https://www.goflink.com//de-DE/shop/product/bazzar-caffe-bio-organic-honduras-ganze-bohne-250g-11015164/
Bazzar Caffe Bio Organic Mexico Ganze Bohne 250g,250g,"5,99",0,https://www.goflink.com//de-DE/shop/product/bazzar-caffe-bio-organic-mexico-ganze-bohne-250g-11015165/
Bazzar Caffe Espresso Classic Bar Ganze Bohne 1000g,1000g,"18,99",0,https://www.goflink.com//de-DE/shop/product/bazzar-caffe-classic-bar-ganze-bohne-1000g-11015163/
Bazzar Caffe Exquisit Ganze Bohne 1000g,1000g,"20,99",0,https://www.goflink.com//de-DE/shop/product/bazzar-caffe-exquisit-ganze-bohne-1000g-11015162/
Bergbrand Gipfelkreuz Espresso Ganze Bohne 250g,250g,"7,49",0,https://www.goflink.com//de-DE/shop/product/bergbrand-gipfelkreuz-espresso-ganze-bohne-250g-11015682/
Bergbrand Kraftpaket Espresso Ganze Bohne 250g,250g,"8,49",0,https://www.goflink.com//de-DE/shop/product/bergbrand-kraftpaket-espresso-ganze-bohne-250g-11015683/
Bergbrand Sonnenkind Filter gemahlen 250g,250g,"8,99",0,https://www.goflink.com//de-DE/shop/product/bergbrand-sonnenkind-filter-gemahlen-250g-11017128/
Bergbrand Spritztour Filter 250g Ganze Bohne 250g,250g,"9,49",0,https://www.goflink.com//de-DE/shop/product/bergbrand-spritztour-filter-250g-ganze-bohne-250g-11015686/
Bergbrand Spritztour Filter gemahlen 250g,250g,"9,49",0,https://www.goflink.com//de-DE/shop/product/bergbrand-spritztour-filter-gemahlen-250g-11017127/
Bergbrand Ursprung Espresso Ganze Bohne 250g,250g,"7,79",0,https://www.goflink.com//de-DE/shop/product/bergbrand-ursprung-espresso-ganze-bohne-250g-11015681/
Bergbrand Ursprung Filter Ganze Bohne 250g,250g,"7,79",0,https://www.goflink.com//de-DE/shop/product/bergbrand-ursprung-filter-ganze-bohne-250g-11015684/
