productname,size,newprice,oldprice,link
Aufsteckbürste Oral-B Precision Clean 4 Stück,Stück,"10,99",0,https://www.goflink.com//de-DE/shop/product/oral-b-aufsteckburste-precision-clean-4-stuck-11014107/
Mundspülung Elmex 400ml,400ml,"4,99",0,https://www.goflink.com//de-DE/shop/product/elmex-mundspulung-400ml-11014103/
Mundspülung Listerine Cool Mint 600ml,600ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/listerine-cool-mint-600ml-11010445/
Mundspülung Listerine Total Care 600ml,600ml,"4,99",0,https://www.goflink.com//de-DE/shop/product/listerine-total-care-600ml-11010443/
Mundspülung Listerine Zahnfleischschutz 600ml,600ml,"4,99",0,https://www.goflink.com//de-DE/shop/product/listerine-zahnfleischschutz-600ml-11010446/
Mundspülung Meridol 400ml,400ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/mundspulung-meridol-400ml-11014646/
Zahnbürste Colgate Extra Clean 2+1 Stück,Stück,"1,59",0,https://www.goflink.com//de-DE/shop/product/zahnburste-colgate-extra-clean-1-stuck-11016098/
Zahnbürste Dr. Best Hoch-Tief Mittel 2+1 Stück,Stück,"3,79",0,https://www.goflink.com//de-DE/shop/product/zahnburste-dr-best-hoch-tief-mittel-2-1-stuck-11016102/
Zahnbürste Dr. Best Interdental Mittel Bambus,Bambus,"1,20","3,99",https://www.goflink.com//de-DE/shop/product/dr-best-zahnburste-bambus-interdent-mittel-11010459/
Zahnbürste Dr. Best Interdental Weich Bambus,Bambus,"3,59",0,https://www.goflink.com//de-DE/shop/product/dr-best-zahnburste-bambus-interdent-weich-11010460/
Zahnbürste Hydrophil Bambus mittel,mittel,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/hydrophil-zahnburste-bambus-mittel-11013937/
Zahnbürste Hydrophil Bambus weich,weich,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/hydrophil-zahnburste-bambus-weich-gr-11013952/
Zahnbürste Kinder Hydrophil Bambus weich,weich,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/hydrophil-zahnburste-kinder-weich-11013938/
Zahnbürste Oral-B Indicator Mittel,Mittel,"2,49",0,https://www.goflink.com//de-DE/shop/product/oral-b-indicator-interdent-medium-toothbrush-11010453/
Zahncreme Blend-a-med 3D White Luxe,Luxe,"2,69",0,https://www.goflink.com//de-DE/shop/product/blend-a-med-3d-white-aktivkohle-11014111/
Zahncreme Blend-a-med Classic 75ml,75ml,"1,19",0,https://www.goflink.com//de-DE/shop/product/blend-a-med-classic-75ml-11010448/
Zahncreme Blend-a-med Frisch 75ml,75ml,"1,19",0,https://www.goflink.com//de-DE/shop/product/blend-a-med-frisch-75ml-11010449/
Zahncreme Colgate Total Original 75ml,75ml,"2,29",0,https://www.goflink.com//de-DE/shop/product/colgate-total-original-75ml-11012783/
Zahncreme Elmex 75ml,75ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/elmex-75ml-11012784/
Zahncreme Elmex Junior 75ml,75ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/elmex-junior-zahnpasta-75ml-11014124/
Zahncreme Elmex Kinder 50ml,50ml,"2,29",0,https://www.goflink.com//de-DE/shop/product/elmex-zahncreme-kinder-50ml-11010463/
Zahncreme Happybrush Super black 75ml,75ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/zahncreme-happybrush-super-black-75ml-11014748/
Zahncreme Meridol 75ml,75ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/meridol-zahncreme-75ml-11010451/
Zahncreme Odol Med 3 Extra White 75ml,75ml,"1,29",0,https://www.goflink.com//de-DE/shop/product/odol-med-3-extra-white-75ml-11012785/
Zahncreme Sensodyne Pro Schmelz Repair 75ml,75ml,"4,49",0,https://www.goflink.com//de-DE/shop/product/sensodyne-zahncreme-pro-schmelz-repair-75ml-11014105/
Zahnputztabs Hydrophil Minze ohne Fluorid 130 Stück,Stück,"2,07","6,89",https://www.goflink.com//de-DE/shop/product/hydrophil-zahnputztabs-minze-zitrone-130-stuck-11013940/
Zahnseide Oral B 50m,50m,"1,99",0,https://www.goflink.com//de-DE/shop/product/oral-b-zahnseide-mint-50m-11010454/
Zahnseide Sticks Hydrophil Bambus 20 Stück,Stück,"1,17","3,89",https://www.goflink.com//de-DE/shop/product/hydrophil-zahnseide-stick-bambus-20-stuck-11013942/
Men Duschgel Axe Dark Temptation 250ml,250ml,"2,29",0,https://www.goflink.com//de-DE/shop/product/axe-duschgel-dark-temptation-250ml-11014055/
Men Duschgel Dove Men+Care Clean Comfort 250ml,250ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/dove-men-care-duschgel-clean-comfort-250ml-11014056/
Men Duschgel Nivea Men Sport 250ml,250ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/nivea-men-duschgel-sport-250ml-11014054/
Bad Dove Verwöhnendes Cremebad 750ml,750ml,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/bad-dove-verwohnendes-cremebad-750ml-11015405/
Bad Kneipp Erkältungszeit 400ml,400ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/kneipp-schaumbad-erkaltungszeit-400ml-11014549/
Bad Kneipp Glückliche Auszeit 400ml,400ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/bad-kneipp-gluckliche-auszeit-400ml-11015406/
Badekristalle Kneipp Tiefenentspannung 60g,60g,"0,39","1,29",https://www.goflink.com//de-DE/shop/product/kneipp-badekristalle-tiefenentspannung-11014546/
Badeöl Kneipp Gesundheit Rückenwohl 100ml,100ml,"4,49",0,https://www.goflink.com//de-DE/shop/product/kneipp-gesundheitsbad-ruckenwohl-100ml-11014550/
Badeöl Kneipp Tiefenentspanung 100ml,100ml,"1,35","4,49",https://www.goflink.com//de-DE/shop/product/kneipp-badeol-tiefenentspannung-100ml-11014551/
Duschgel Jean & Len Creme-Öl Bio Hafermilch 250ml,250ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/jean-and-len-reichhaltige-creme-ol-dusche-biohafermilch-kokosol-250ml-11013173/
Duschgel Jean & Len Mango & Avocado 250ml,250ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/jean-and-len-vitalisierendes-duschgel-mango-avocado-11013174/
Duschgel Kneipp Lebensfreude 200ml,200ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/kneipp-duschgel-lebensfreude-200ml-11014057/
Duschgel Lavera Hydro Feeling 2 in 1 200ml,200ml,"1,02","3,39",https://www.goflink.com//de-DE/shop/product/lavera-duschgel-hydro-feeling-2-in1-200ml-11014060/
Duschgel Nivea Creme Soft 250ml,250ml,"1,79",0,https://www.goflink.com//de-DE/shop/product/nivea-pflegedusche-creme-soft-250ml-11011274/
Feste Dusche Share Limette 60g,60g,"3,49",0,https://www.goflink.com//de-DE/shop/product/share-feste-dusche-limette-60g-11014059/
Hydrophil Shampoo & Dusche 2in1 fest Kinder 60g,60g,"1,67","5,58",https://www.goflink.com//de-DE/shop/product/hydrophil-shampoo-and-dusche-2in1-fest-kinder-60g-11013939/
Frosch Flüssigseife sensitiv Nachfüllpack 500ml,500ml,"2,29",0,https://www.goflink.com//de-DE/shop/product/frosch-flussigseife-sensitiv-nachfullpack-500ml-11015404/
Hydrophil Seifensäckchen,Seifensäckchen,"1,17","3,89",https://www.goflink.com//de-DE/shop/product/hydrophil-seifensackchen-11013945/
Jean & Len Handseife Rosemary und Ginger 250ml,250ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/jeanandlen-handseife-rosemary-und-ginger-250ml-11011944/
Nivea Creme Soft Pflegeseife 100g,100g,"0,55","0,79",https://www.goflink.com//de-DE/shop/product/nivea-creme-soft-pflegeseife-100g-11015403/
Palmolive Flüssigseife Family 300ml,300ml,"1,49",0,https://www.goflink.com//de-DE/shop/product/palmolive-hygiene-plus-family-flussigseife-300ml-11012519/
Palmolive Flüssigseife Sensitive 300ml,300ml,"1,49",0,https://www.goflink.com//de-DE/shop/product/palmolive-flussigseife-hygiene-plus-sensitive-300ml-11013058/
Sagrotan Flüssigseife Aloe Vera 250 ml,ml,"2,49",0,https://www.goflink.com//de-DE/shop/product/sagrotan-flussigseife-aloe-vera-250-ml-11013027/
Sause Flüssigseife als Pulver - Orange Mandarine für 3 x 200 ml,ml,"1,80","5,99",https://www.goflink.com//de-DE/shop/product/sause-flussigseife-als-pulver-orange-mandarine-fur-3-x-200-ml-11014110/
Sause Flüssigseife als Pulver - Starter Set Lavendel Zitronengras für 200 ml,ml,"1,80","5,99",https://www.goflink.com//de-DE/shop/product/sause-flussigseife-als-pulver-starter-set-lavendel-zitronengras-fur-200-ml-11014109/
Alpecin Coffeein Shampoo C1 250ml,250ml,"6,49",0,https://www.goflink.com//de-DE/shop/product/alpecin-coffeein-shampoo-c1-250ml-11015213/
Batiste Trockenshampoo Cherry 200 ml,ml,"3,99",0,https://www.goflink.com//de-DE/shop/product/batiste-trockenshampoo-cherry-200-ml-11013458/
Frizz Ease Conditioner Wunder-Reparatur 250ml,250ml,"6,99",0,https://www.goflink.com//de-DE/shop/product/frizz-ease-conditioner-wunder-reparatur-11011682/
Garnier Fructis Feuchtigkeits Shampoo 250ml,250ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/garnier-fructis-feuchtigkeits-shampoo-250ml-11015409/
Garnier Fructis Haarmaske Aloe Vera 390ml,390ml,"5,49",0,https://www.goflink.com//de-DE/shop/product/garnier-fructis-haarmaske-aloe-vera-390ml-11015411/
Garnier Fructis Shampoo Kraft+Glanz 250ml,250ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/garnier-fructis-shampoo-kraft-glanz-11010389/
Garnier Wahre Schätze Beruhigendes Shampoo 250ml,250ml,"2,79",0,https://www.goflink.com//de-DE/shop/product/garnier-wahre-schatze-beruhigendes-shampoo-250ml-11015408/
Garnier Wahre Schätze Honig Schätze Shampoo 250ml,250ml,"2,39",0,https://www.goflink.com//de-DE/shop/product/garnier-wahre-schatze-honig-schatze-shampoo-250ml-11017663/
Garnier Wahre Schätze Honig Schätze Spülung 200ml,200ml,"2,39",0,https://www.goflink.com//de-DE/shop/product/garnier-wahre-schatze-honig-schatze-spulung-200ml-11017664/
Head & Shoulders Classic Clean 500ml,500ml,"5,99",0,https://www.goflink.com//de-DE/shop/product/head-and-shoulders-classic-clean-500ml-11017021/
Head & Shoulders for Men Anti Schuppen Shampoo 300ml,300ml,"4,49",0,https://www.goflink.com//de-DE/shop/product/head-and-shoulders-for-men-anti-schuppen-shampoo-300ml-11017022/
Head+Shoulders Classic 300ml,300ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/head-shoulders-classic-300ml-11010399/
Jean & Len Repair Conditioner Kokosöl/Macadamia 300ml,300ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/jean-and-len-repair-conditioner-kokosol-macadamia-300ml-11013171/
Jean & Len Repair Shampoo Kokosöl/Macadamia 300ml,300ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/jean-and-len-repair-shampoo-kokosol-macadamia-300-ml-11013169/
Jean & Len Volumen Shampoo Bambus/Lilie 300ml,300ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/jean-and-len-volumen-shampoo-bambus-lilie-300-ml-11013168/
L'oreal Elvital Color Glanz Shampoo 300ml,300ml,"0,96","3,19",https://www.goflink.com//de-DE/shop/product/loreal-elvital-color-glanz-shampoo-300ml-11015407/
L'oreal Elvital Color Glanz Spülung 250ml,250ml,"0,96","3,19",https://www.goflink.com//de-DE/shop/product/loreal-elvital-color-glanz-spulung-250ml-11015410/
Nivea Pflegeshampoo Volumen&Kraft 250ml,250ml,"0,75","2,49",https://www.goflink.com//de-DE/shop/product/nivea-pflegeshampoo-volumenandkraft-250ml-11012668/
Nivea Schaumfestiger Volumen & Kraft 150ml,150ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/nivea-schaumfestiger-volumen-and-kraft-150ml-11017018/
Pantene Pro-V Repair & Care Pflegespülung 200ml,200ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/pantene-pro-v-repair-and-care-pflegespulung-200ml-11012518/
Pantene Pro-V Shampoo 3in1 Repair+Care 250ml,250ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/pantene-pro-v-shampoo-3in1-repair-care-250ml-11010384/
Plantur 21 Nutri Coffeein 200ml,200ml,"2,55","8,49",https://www.goflink.com//de-DE/shop/product/plantur-21-nutri-coffeein-250ml-11015214/
Schwarzkopf Taft Haarspray Power 5 250 ml,ml,"2,99",0,https://www.goflink.com//de-DE/shop/product/schwarzkopf-taft-haarspray-power-5-250-ml-11013024/
Schwarzkopf got2b Mattpaste Strandmatte 100ml,100ml,"4,49",0,https://www.goflink.com//de-DE/shop/product/schwarzkopf-got2b-mattpaste-strandmatte-100ml-11013025/
Syoss Haarspray Max Hold mega starker Halt 400ml,400ml,"4,29",0,https://www.goflink.com//de-DE/shop/product/syoss-haarspray-max-hold-mega-starker-halt-400ml-11013083/
Deo Roll On Nivea Men Dry Impact Plus,Plus,"2,19",0,https://www.goflink.com//de-DE/shop/product/nivea-men-deo-roll-on-dry-impact-plus-antitranspirant-50ml-11013021/
Deo Spray Axe Alaska 150ml,150ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/deo-spray-axe-alaska-150ml-11014631/
Deo Spray Axe Black 150ml,150ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/axe-black-deodorant-and-bodyspray-aluminiumfrei-150ml-11011272/
Deo Spray Dove Invisible Dry 150ml,150ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/deo-spray-dove-invisible-dry-150ml-11014632/
Deo Spray Dove Men+ Care Clean Comfort 150ml,150ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/deo-spray-dove-men-care-clean-comfort-150ml-11014633/
Deo Spray Nivea Men Black & White Invisbile 150ml,150ml,"2,19",0,https://www.goflink.com//de-DE/shop/product/nivea-men-deo-invisible-for-black-and-white-spray-11012671/
Deo Spray Nivea Men Fresh Active 150ml,150ml,"2,19",0,https://www.goflink.com//de-DE/shop/product/nivea-men-deo-fresh-active-spray-150ml-11012665/
Deo Roll On Hidrofugal Classic 50ml,50ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/hidrofugal-roll-on-classic-50ml-11010372/
Deo Roll On Rexona Cotton Dry 50ml,50ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/rexona-roll-cotton-dry-50ml-11010373/
Deo Spray Axe Dark Temptations 150ml,150ml,"3,49",0,https://www.goflink.com//de-DE/shop/product/axe-spray-dark-temptations-150ml-11012521/
Deo Spray Dove Original 0% Alu 150ml,150ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/dove-deospray-original-0-alu-150ml-11011874/
Deo Spray Dove Original 150ml,150ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/deo-spray-dove-original-150ml-11014749/
Deo Spray Hidrofugal Classic 150ml,150ml,"3,29",0,https://www.goflink.com//de-DE/shop/product/hidrofugal-klassik-spray-150ml-11012667/
