productname,size,newprice,oldprice,link
Iglo Gemüse-Ideen Buttergemüse 450g,450g,"2,89",0,https://www.goflink.com//de-DE/shop/product/iglo-gemuse-ideen-buttergemuse-450g-11017777/
Kirschen 240g (Deutschland),Deutschland,"2,79","3,49",https://www.goflink.com//de-DE/shop/product/kirschen-240g-deutschland-11018042/
Bauer Funken 1/2 Wrap Döner 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-1-2-wrap-doner-200g-11017440/
Bauer Funken Hausmacher-Kartoffelsalat 425g,425g,"3,99",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-hausmacher-kartoffelsalat-425g-11017442/
Bauer Funken Mediterraner Kartoffelsalat 400g,400g,"4,49",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-mediterraner-kartoffelsalat-400g-11017443/
Bauer Funken Rahmgurkensalat 400g,400g,"3,99",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-rahmgurkensalat-400g-11017441/
Bauer Funken Sesam-Laugenbagel mit Brie 200g,200g,"3,19",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-laugenbagel-brie-preiselbeere-200g-11017444/
Bauer Funken Tomate Mozzarella Snack 190g,190g,"2,99",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-tomate-mozzarella-snack-190g-11017446/
Bauer Funken Tortellonisalat vegetarisch 400g,400g,"4,49",0,https://www.goflink.com//de-DE/shop/product/bauer-funken-tortellonisalat-vegetarisch-400g-11017445/
Bella & Bona Summer Barley Salad,Salad,"7,99",0,https://www.goflink.com//de-DE/shop/product/bellaandbona-summer-barley-salad-11017764/
Bella & Bona Tofu Wasabi Poke Bowl,Bowl,"9,49",0,https://www.goflink.com//de-DE/shop/product/bellaandbona-tofu-wasabi-poke-bowl-11017763/
EAMgo Bio Bagel Antipasti & Feta 315g,315g,"7,99",0,https://www.goflink.com//de-DE/shop/product/eamgo-bio-bagel-antipasti-and-feta-315g-11017363/
Eat Happy Desserts Mochi Yuzu 64g (2 Stück),Stück,"2,99",0,https://www.goflink.com//de-DE/shop/product/eat-happy-desserts-mochi-yuzu-64g-2-stuck-11017977/
