productname,size,newprice,oldprice,link
Honigmelone 1 Stk. (Brasilien),1S,"2,99",0,https://www.goflink.com//de-DE/shop/product/honigmelone-1-stk-brasilien-11011778/
Honigmelone 1 Stk. (Italien),1S,"2,99",0,https://www.goflink.com//de-DE/shop/product/honigmelone-1-stk-italien-11012942/
Honigmelone 1 Stk. (Spanien),1S,"2,99",0,https://www.goflink.com//de-DE/shop/product/honigmelone-1-stk-spanien-11012885/
Melone Cantaloupe 1 Stk. (Costa Rica),Stk.S,"3,69",0,https://www.goflink.com//de-DE/shop/product/melone-cantaloupe-1-stk-costa-rica-11017431/
Melone Cantaloupe 1 Stk. (Italien),1S,"3,69",0,https://www.goflink.com//de-DE/shop/product/melone-cantaloupe-1-stk-italien-11012958/
Melone Cantaloupe 1 Stk. (Marokko),1S,"3,69",0,https://www.goflink.com//de-DE/shop/product/melone-cantaloupe-1-stk-marokko-11017541/
Melone Cantaloupe 1 Stk. (Spanien),1S,"3,69",0,https://www.goflink.com//de-DE/shop/product/melone-cantaloupe-1-stk-spanien-11013237/
REWE To Go Obst Melonen-Mix 200g,ObstS,"1,79",0,https://www.goflink.com//de-DE/shop/product/rewe-to-go-melonenwurfel-200g-11014164/
Wassermelone Mini 1 Stk (Brasilien),1S,"3,99",0,https://www.goflink.com//de-DE/shop/product/wassermelone-mini-1-stk-brasilien-11016547/
Wassermelone Mini 1 Stk (Italien),1S,"3,99",0,https://www.goflink.com//de-DE/shop/product/mini-wassermelonen-1-stk-italien-11012959/
Wassermelone Mini 1 Stk. (Spanien),1S,"3,99",0,https://www.goflink.com//de-DE/shop/product/mini-wassermelonen-1-stk-spanien-11012426/
Ananas Sweet 1 Stk. (Costa Rica),Stk.S,"1,42","1,89",https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-costa-rica-1-stk-11010744/
Ananas Sweet 1 Stk. (Ecuador),1S,"1,42","1,89",https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-ecuador-11012862/
Ananas Sweet 1 Stk. (Elfenbeinküste),1S,"1,42","1,89",https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-elfenbeinkuste-11016398/
Ananas Sweet 1 Stk. (Ghana),1S,"1,42","1,89",https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-ghana-11012863/
Ananas Sweet 1 Stk. (Honduras),1S,"1,42","1,89",https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-honduras-11015690/
Apfel Boskopp 1 Stk. (Deutschland),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-boskopp-1-stk-deutschland-11015973/
Apfel Elstar 1 Stk. (Deutschland),1S,"0,59",0,https://www.goflink.com//de-DE/shop/product/apfel-elstar-1-stk-deutschland-11015700/
Apfel Elstar 1 Stk. (Österreich),1S,"0,59",0,https://www.goflink.com//de-DE/shop/product/apfel-elstar-1-stk-osterreich-11016404/
Apfel Gala 1 Stk. (Deutschland),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-gala-1-stk-deutschland-11012864/
Apfel Gala 1 Stk. (Österreich),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-gala-1-stk-osterreich-11015974/
Apfel Golden Delicious 1 Stk. (Brasilien),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-golden-delicious-1-stk-brasilien-11013220/
Apfel Golden Delicious 1 Stk. (Chile),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-golden-delicious-1-stk-chile-11013222/
Apfel Golden Delicious 1 Stk. (Deutschland),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-golden-delicious-kl-i-1-stk-deutschland-11012866/
Apfel Golden Delicious 1 Stk. (Frankreich),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-golden-delicious-1-stk-frankreich-11013221/
Apfel Golden Delicious 1 Stk. (Italien),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-golden-delicious-kl-i-italien-1-stk-11010746/
Apfel Golden Delicious 1 Stk. (Österreich),1S,"0,75",0,https://www.goflink.com//de-DE/shop/product/apfel-golden-delicious-1-stk-osterreich-11015667/
Apfel Granny S 1 Stk. (Italien),1S,"0,69",0,https://www.goflink.com//de-DE/shop/product/apfel-pink-lady-1-stk-italien-11012869/
Apfel Granny Smith 1 Stk. (Brasilien),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-1-stk-brasilien-11013224/
Apfel Granny Smith 1 Stk. (Deutschland),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-1-stk-deutschland-11013226/
Apfel Granny Smith 1 Stk. (Frankreich),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-1-stk-frankreich-11013223/
Apfel Granny Smith 1 Stk. (Neuseeland),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-1-stk-neuseeland-11013430/
Apfel Granny Smith 1 Stk. (Spanien),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-1-stk-spanien-11013836/
Apfel Granny Smith 1 Stk. (Südafrika),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-1-stk-sudafrika-11013225/
Apfel Granny Smith Apfel 1 Stk. (Chile),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-apfel-kl-i-1-stk-chile-11012867/
Apfel Granny Smith Apfel 1 Stk. (Italien),1S,"0,45",0,https://www.goflink.com//de-DE/shop/product/apfel-granny-smith-apfel-kl-i-italien-1-stk-11010745/
Apfel Jonagold 1Stk. (Deutschland),JonagoldS,"0,59",0,https://www.goflink.com//de-DE/shop/product/apfel-jonagold-1stk-deutschland-11015694/
Apfel Jonagold 1Stk. (Österreich),JonagoldS,"0,59",0,https://www.goflink.com//de-DE/shop/product/apfel-jonagold-1stk-osterreich-11016405/
Apfel Jonagold 1kg (Deutschland),JonagoldS,"2,99",0,https://www.goflink.com//de-DE/shop/product/apfel-jonagold-1kg-deutschland-11016408/
Apfel Pink Lady 1 Stk. (Argentinien),1S,"0,69",0,https://www.goflink.com//de-DE/shop/product/apfel-pink-lady-1-stk-argentinien-11013670/
Apfel Pink Lady 1 Stk. (Chile),1S,"0,69",0,https://www.goflink.com//de-DE/shop/product/apfel-pink-lady-1-stk-chile-11012868/
Apfel Pink Lady 1 Stk. (Frankreich),1S,"0,69",0,https://www.goflink.com//de-DE/shop/product/apfel-pink-lady-1-stk-frankreich-11016400/
Apfel Pink Lady 1 Stk. (Italien),1S,"0,69",0,https://www.goflink.com//de-DE/shop/product/apfel-pink-lady-italien-1-stk-11011529/
Apfel Pink Lady 1 Stk. (Neuseeland),1S,"0,69",0,https://www.goflink.com//de-DE/shop/product/apfel-pink-lady-1-stk-neuseeland-11013672/
