productname,size,newprice,oldprice,link
Aperol Aperitivo 11% vol. 0.7l,"0,7l","10,99",0,https://www.goflink.com//de-DE/shop/product/aperol-aperitivo-11-0-7l-11011175/
Orange 1 Stk. (Spanien),Spanien,"0,69",0,https://www.goflink.com//de-DE/shop/product/orangen-spanien-1-stk-11011380/
Valdo - Marca Oro - Valdobbiadene Prosecco Superiore DOCG 0.75l,"0,75l","9,99",0,https://www.goflink.com//de-DE/shop/product/valdo-marca-oro-valdobbiadene-prosecco-superiore-docg-0-75l-11015977/
Aperol Spritz 10.5% vol.  3x0.175l,"3x0,175l","6,79",0,https://www.goflink.com//de-DE/shop/product/aperol-spritz-10-5-3-x-175ml-11013257/
Bacardi Cola 10% vol. Dose 0.33l,"0,33l","0,84","2,79",https://www.goflink.com//de-DE/shop/product/bacardi-cola-10-330ml-11012515/
Bombay Sapphire Gin Tonic 10% vol. Dose 0.25l,"0,25l","0,90","2,99",https://www.goflink.com//de-DE/shop/product/bombay-tonic-10-0-33l-11012032/
Dirtea Extra Sparkling Candy Shop 5.0% vol. 0.33l Dose,Dose,"1,69",0,https://www.goflink.com//de-DE/shop/product/dirtea-candy-5-0-vol-0-33l-dose-11015232/
Dirtea Extra Sparkling Juicy Mango 5.0% vol. 0.33l Dose,Dose,"1,69",0,https://www.goflink.com//de-DE/shop/product/dirtea-mango-5-0-vol-0-33l-dose-11015233/
Flimm Bärbelchen 11er Tray 20ml,20ml,"5,94","6,99",https://www.goflink.com//de-DE/shop/product/flimm-barbelchen-11er-tray-20ml-11014964/
Flimm Glitter Pitter 11er Tray 20ml,20ml,"5,94","6,99",https://www.goflink.com//de-DE/shop/product/flimm-glitter-pitter-11er-tray-20ml-11014965/
Flimm Waldmeister 11er Tray 20ml,20ml,"5,94","6,99",https://www.goflink.com//de-DE/shop/product/flimm-waldmeister-11er-tray-20ml-11014963/
Gorbatschow & Lemon 10% vol. 0.33l Dose,Dose,"2,99",0,https://www.goflink.com//de-DE/shop/product/gorbatschow-and-lemon-10-vol-0-33l-dose-11014508/
Gordon's Gin & Tonic 10% vol. 0.33l Dose,Dose,"2,79",0,https://www.goflink.com//de-DE/shop/product/gordons-gin-and-tonic-10-vol-0-33l-dose-11016950/
Havana Club Cola 10% vol. 0.33l Dose,Dose,"2,99",0,https://www.goflink.com//de-DE/shop/product/havana-club-cola-10-vol-0-33l-dose-11016949/
Havana Club Verde & Tonic 10% vol. Dose 0.33l,"0,33l","1,44","2,89",https://www.goflink.com//de-DE/shop/product/havana-club-verdeandtonic-330ml-11013887/
Jack Daniel's Berry 10% vol. 0.33l Dose,Dose,"2,99",0,https://www.goflink.com//de-DE/shop/product/jack-daniels-berry-10-vol-0-33l-dose-11017391/
Jack Daniel's Tennessee Whiskey & Cola 10% vol. 0.33l Dose,Dose,"1,99","2,99",https://www.goflink.com//de-DE/shop/product/jack-daniels-tennessee-whiskey-and-cola-10-0-33l-11012031/
Jim Beam Bourbon & Cola 10% vol. Dose 0.33l,"0,33l","1,99",0,https://www.goflink.com//de-DE/shop/product/jim-beam-bourbon-and-cola-10-330ml-11013256/
Jim Beam Bourbon Sprizz Juicy Apple 3 % vol. 0.25l Dose,Dose,"2,89",0,https://www.goflink.com//de-DE/shop/product/jim-beam-bourbon-sprizz-peach-3-vol-0-25l-dose-11016945/
Jim Beam Bourbon Sprizz Red Summer Berries 3% vol. 0.25l Dose,Dose,"2,89",0,https://www.goflink.com//de-DE/shop/product/jim-beam-bourbon-sprizz-red-summer-berries-3-vol-dose-0-25l-11016944/
Jim Beam Bourbon Sprizz Sunny Peach 3% vol. 0.25l Dose,Dose,"2,89",0,https://www.goflink.com//de-DE/shop/product/jim-beam-bourbon-sprizz-sunny-peach-3-vol-0-25l-dose-11016943/
Jim Beam White & Cola Zero 10% vol. 0.33l Dose,Dose,"2,99",0,https://www.goflink.com//de-DE/shop/product/jim-beam-white-and-cola-zero-10-vol-0-33l-dose-11017389/
LikeLouis Hard Kombucha Mango 4% vol. 0.33l,"0,33l","3,39","3,99",https://www.goflink.com//de-DE/shop/product/likelouis-hard-kombucha-mango-4-vol-0-33l-11017208/
Pitu Caipirinha 10% vol. 0.33l Dose,Dose,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/pitu-caipirinha-10-0-33l-11012033/
Rumpop´n Quickies 20er Klopferbox Tray 20 Vol. %,%,"14,99",0,https://www.goflink.com//de-DE/shop/product/rumpop-n-quickies-20er-klopferbox-tray-20-vol-11016793/
Three Sixty Energy & Vodka 10% vol. 0.33l Dose,Dose,"2,99",0,https://www.goflink.com//de-DE/shop/product/three-sixty-energy-and-vodka-10-vol-0-33l-dose-11017252/
White Claw Black Cherry Hard Seltzer 4.5% vol. Dose 0.33l,"0,33l","0,60","1,99",https://www.goflink.com//de-DE/shop/product/white-claw-black-cherry-hard-seltzer-in-dose-11012740/
White Claw Mango Hard Seltzer 4.5% vol. Dose 0.33l,"0,33l","0,80","1,99",https://www.goflink.com//de-DE/shop/product/white-claw-mango-hard-seltzer-in-dose-11012742/
White Claw Natural Lime Hard Seltzer 4.5% vol. Dose 0.33l,"0,33l","0,80","1,99",https://www.goflink.com//de-DE/shop/product/white-claw-natural-lime-hard-seltzer-in-dose-11012741/
Wilthener Goldkrone & Cola 10% vol. 0.25l,"0,25l","0,94","1,89",https://www.goflink.com//de-DE/shop/product/wilthener-goldkrone-and-cola-10-vol-0-25l-11014506/
9 Mile Vodka 37.5% vol. 0.7l,"0,7l","13,99",0,https://www.goflink.com//de-DE/shop/product/9-mile-vodka-37-5-vol-0-7l-11014515/
Absolut Vodka 40% vol. 0.7l,"0,7l","14,99",0,https://www.goflink.com//de-DE/shop/product/absolut-vodka-40-0-7l-11010027/
Belvedere Vodka 40% vol. 0.7l,"0,7l","45,99",0,https://www.goflink.com//de-DE/shop/product/belvedere-vodka-40-0-7l-11012633/
Glory Mornin' Premium Reis Vodka in Geschenkbox 40% 0.35l,"0,35l","20,99",0,https://www.goflink.com//de-DE/shop/product/glory-mornin-premium-reis-vodka-0-35l-11015179/
