productname,size,newprice,oldprice,link
Luve Lughurt Mango 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-mango-400g-11016143/
Luve Lughurt Natur Zuckerfrei 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-natur-zuckerfrei-400g-11016145/
Luve Lughurt Stracciatella 400g,400g,"1,99",0,https://www.goflink.com//de-DE/shop/product/luve-lughurt-stracciatella-400g-11016144/
Alpro Barista Kokosdrink 1l,1l,"2,89",0,https://www.goflink.com//de-DE/shop/product/alpro-barista-kokosdrink-1l-11015806/
Alpro Bio Soyadrink 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-bio-soyadrink-1l-11010200/
Alpro Cashew Drink 1l,1l,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/alpro-cashew-drink-1l-11015283/
Alpro Haferdrink Barista 1l,1l,"2,29",0,https://www.goflink.com//de-DE/shop/product/alpro-hafer-barista-drink-1l-11010204/
Alpro Haferdrink Ungesüßt 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-haferdrink-ungesusst-1l-11010203/
Alpro Haselnuss Drink 1l,1l,"1,44","2,89",https://www.goflink.com//de-DE/shop/product/alpro-haselnuss-drink-1l-11015282/
Alpro Mandeldrink 1l,1l,"0,87","2,89",https://www.goflink.com//de-DE/shop/product/alpro-mandel-drink-1l-11010201/
Alpro Mandeldrink Ungesüßt Geröstet 1l,1l,"2,89",0,https://www.goflink.com//de-DE/shop/product/de-alpro-mandeldrink-ungesusst-gerostet-1l-11010202/
Alpro Soja Drink Light 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-drink-light-1l-11017759/
Alpro Soja-Kochcrème Cuisine vegan 250ml,250ml,"1,39",0,https://www.goflink.com//de-DE/shop/product/alpro-soja-kochcreme-cuisine-vegan-250ml-11012628/
Alpro Sojadrink Vanille 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-sojadrink-vanille-1l-11013463/
Alpro This is not mlk Haferdrink 1.8% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-1-8-1l-11013646/
Alpro This is not mlk Haferdrink 3.5% 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-3-5-1l-11013647/
Oatly Haferdrink Barista 1l,1l,"2,29",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-barista-1l-11010205/
Oatly Haferdrink Calcium 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-calcium-1l-11010206/
Oatly Haferdrink Chocolate,Chocolate,"2,29",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-chocolate-11015190/
Oatly Organic Haferdrink Classic Bio 1l,1l,"1,99",0,https://www.goflink.com//de-DE/shop/product/oatly-haferdrink-classic-bio-1l-11010207/
Rama Kochcreme Pflanzlich 15% 200ml,200ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/rama-kochcreme-pflanzlich-15-200ml-11017761/
Rama Schlagcreme Pflanzlich 31% 200ml,200ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/rama-schlagcreme-pflanzlich-31-200ml-11017762/
UNMILK Barista glutenfrei 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/unmilk-barista-glutenfrei-1l-11016803/
UNMILK Vegan Caffè Protein Shake 330ml,330ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/unmilk-vegan-protein-shake-caffe-330ml-11015887/
UNMILK Vegan Schoko Protein Shake 330ml,330ml,"2,59",0,https://www.goflink.com//de-DE/shop/product/unmilk-vegan-protein-shake-schoko-330ml-11015886/
Vly Kakaodrink 400 ml,ml,"1,99",0,https://www.goflink.com//de-DE/shop/product/vly-kakaodrink-400-ml-11015263/
vly Milchalternative Barista aus Erbsenprotein 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/vly-milchalternative-barista-aus-erbsenprotein-1l-11012751/
vly Milchalternative Ungesüsst aus Erbsenprotein 1l,1l,"2,59",0,https://www.goflink.com//de-DE/shop/product/vly-milchalternative-ungesusst-aus-erbsenprotein-1l-11012752/
Beyond Meat Beyond Burger 226g (2x113g),2x113g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-burger-226g-2x113g-11015064/
Beyond Meat Beyond Meatballs 200g (8x25g),8x25g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-meatballs-200g-8x25g-11015926/
Beyond Meat Beyond Mince 300g,300g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-mince-300g-11015065/
Beyond Meat Beyond Sausage 200g (2x100g),2x100g,"3,99",0,https://www.goflink.com//de-DE/shop/product/beyond-meat-beyond-sausage-200g-2x100g-11015066/
Endori Veggie Minced Hack 200g,200g,"2,99",0,https://www.goflink.com//de-DE/shop/product/endori-veggie-minced-hack-200g-11014785/
Endori Veggie Pulled 170g,170g,"2,99",0,https://www.goflink.com//de-DE/shop/product/endori-veggie-pulled-170g-11014786/
Future Farm Future Bratwurst 250g,250g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-bratwurst-285g-11013878/
Future Farm Future Burger 230g,230g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-burger-265g-11013877/
Future Farm Future Chicken 200g,200g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-chicken-235g-11013881/
Future Farm Future Hack 250g,250g,"3,99",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-hack-285g-11013879/
Future Farm Future Tuna 150g,150g,"3,89",0,https://www.goflink.com//de-DE/shop/product/future-farm-future-tuna-150g-11015697/
Like Meat Bio Grilled Chicken 180g,180g,"3,49",0,https://www.goflink.com//de-DE/shop/product/like-meat-bio-grilled-chicken-180g-11013648/
