productname;newprice;oldprice;link
Dirtea Juicy Mango Eistee Dose 0,5l;1,39;0;https://www.goflink.com//de-DE/shop/product/dirtea-mango-eistee-dose-0-5l-11016742/
Dirtea Peach Eistee Dose 0,5l;1,39;0;https://www.goflink.com//de-DE/shop/product/dirtea-wet-peach-eistee-05l-11013848/
Dirtea Zero Lemon from Heaven Eistee Dose 0,5l;1,39;0;https://www.goflink.com//de-DE/shop/product/dirtea-zero-lemon-from-heaven-eistee-dose-0-5l-11016167/
Ahoj Brause Cola & Orange 0,33l Dose;0,99;0;https://www.goflink.com//de-DE/shop/product/ahoj-brause-cola-and-orange-0-33l-dose-11016930/
Ahoj Brause Himbeere 0,33l Dose;0,99;0;https://www.goflink.com//de-DE/shop/product/ahoj-brause-himbeere-0-33l-dose-11016932/
Ahoj Brause Waldmeister 0,33l Dose;0,99;0;https://www.goflink.com//de-DE/shop/product/ahoj-brause-waldmeister-0-33l-dose-11016931/
Almdudler Original Kräuterlimonade 1l;1,59;0;https://www.goflink.com//de-DE/shop/product/almdudler-original-krauterlimonade-1l-11011969/
Almdudler Zuckerfrei Kräuterlimonade 1l;1,59;0;https://www.goflink.com//de-DE/shop/product/almdudler-zuckerfrei-1l-11017570/
Bionade Holunder 0,33l;0,99;0;https://www.goflink.com//de-DE/shop/product/bionade-holunder-0-33l-12x0-33-11014826/
Bionade Naturtrübe Orange 0,33l;0,99;0;https://www.goflink.com//de-DE/shop/product/bionade-naturtrube-orange-0-33l-12x0-33-11014827/
Bionade Naturtrübe Zitrone 0,33l;0,99;0;https://www.goflink.com//de-DE/shop/product/bionade-naturtrube-zitrone-0-33l-12x0-33-11014828/
Capri Sun & bubbles Himbeere 0,33l Dose;0,79;0,99;https://www.goflink.com//de-DE/shop/product/capri-sun-and-bubbles-himbeere-0-33l-dose-11017092/
Capri Sun & bubbles Orange 0,33l Dose;0,79;0,99;https://www.goflink.com//de-DE/shop/product/capri-sun-and-bubbles-orange-0-33l-dose-11017091/
Coca Cola 0,33l;0,99;0;https://www.goflink.com//de-DE/shop/product/coca-cola-0-33l-11012024/
Coca Cola 1l;1,19;0;https://www.goflink.com//de-DE/shop/product/coca-cola-1l-11010331/
Coca Cola Dose 0,33l;0,79;0;https://www.goflink.com//de-DE/shop/product/coca-cola-dose-330ml-11013358/
Coca Cola Light 0,33l;0,69;0,99;https://www.goflink.com//de-DE/shop/product/coca-cola-light-0-3l-11010358/
Coca Cola Light 1l;1,19;0;https://www.goflink.com//de-DE/shop/product/coca-cola-light-1l-11010332/
Coca Cola Zero 0,33l;0,99;0;https://www.goflink.com//de-DE/shop/product/coca-cola-zero-0-33l-11012025/
