productname;newprice;oldprice;link
Bahlsen Comtess Zitrone 350g;1,79;2,29;https://www.goflink.com//de-DE/shop/product/bahlsen-comtess-zitrone-350g-11015725/
Café Intención ecológico Gemahlen 500 g;6,17;7,79;https://www.goflink.com//de-DE/shop/product/jj-darboven-cafe-intencion-aromatico-gemahlen-500-g-11012441/
Wolf Berner Würstchen 250g;2,29;2,99;https://www.goflink.com//de-DE/shop/product/wolf-berner-wurstchen-250g-11017264/
Bahlsen Comtess Choco-Chips 350g;1,79;2,29;https://www.goflink.com//de-DE/shop/product/bahlsen-comtess-choco-chips-350g-11015726/
Bahlsen Comtess Marmor 350g;1,79;2,29;https://www.goflink.com//de-DE/shop/product/bahlsen-comtess-marmor-350g-11015727/
Beelitzer Spargel Weiß geschält 400g (Deutschland);3,59;5,99;https://www.goflink.com//de-DE/shop/product/beelitzer-spargel-weiss-geschalt-400g-deutschland-11017197/
Brownie Star 65g;1,29;0;https://www.goflink.com//de-DE/shop/product/brownie-11015711/
Café Intención Bio ecológico Espresso Gemahlen 250g;3,63;4,59;https://www.goflink.com//de-DE/shop/product/j-j-darboven-bio-cafe-intencion-ecologico-espresso-gemahlen-250g-11014160/
Caldener Klassik 1l;0,69;0,89;https://www.goflink.com//de-DE/shop/product/caldener-klassik-1l-11015521/
Caldener Medium 1l;0,69;0,89;https://www.goflink.com//de-DE/shop/product/caldener-medium-1l-11015523/
Caldener Sanft 1l;0,69;0,89;https://www.goflink.com//de-DE/shop/product/caldener-sanft-1l-11015522/
Capri Sun & bubbles Himbeere 0,33l Dose;0,79;0,99;https://www.goflink.com//de-DE/shop/product/capri-sun-and-bubbles-himbeere-0-33l-dose-11017092/
Capri Sun & bubbles Orange 0,33l Dose;0,79;0,99;https://www.goflink.com//de-DE/shop/product/capri-sun-and-bubbles-orange-0-33l-dose-11017091/
Deutscher Spargel Weiß Geschält 400g (Deutschland);3,59;5,99;https://www.goflink.com//de-DE/shop/product/deutscher-spargel-weiss-geschalt-400g-deutschland-11017202/
