productname;newprice;oldprice;link
Chiefs Protein Milk Drink Choco Mountain 330ml;2,39;0;https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-choco-mountain-330ml-11015908/
Chiefs Protein Milk Drink Strawberry 330ml;2,39;0;https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-strawberry-330ml-11015910/
Chiefs Protein Milk Drink Vanilla Drive 330 ml;2,39;0;https://www.goflink.com//de-DE/shop/product/chiefs-protein-milk-drink-vanilla-drive-330-ml-11016641/
Schwarzwaldmilch Protein Caffee Latte 250ml;1,49;0;https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-caffee-latte-250ml-11015904/
Schwarzwaldmilch Protein Frische Milch 0,9% 1l;1,99;0;https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-frische-milch-0-9-1l-11015901/
Schwarzwaldmilch Protein H-Milch 0,9% 1l;1,99;0;https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-h-milch-0-9-1l-11015905/
Schwarzwaldmilch Protein Schoko 250ml;1,49;0;https://www.goflink.com//de-DE/shop/product/schwarzwaldmilch-protein-schoko-250ml-11015902/
UNMILK Vegan Caffè Protein Shake 330ml;2,59;0;https://www.goflink.com//de-DE/shop/product/unmilk-vegan-protein-shake-caffe-330ml-11015887/
UNMILK Vegan Schoko Protein Shake 330ml;2,59;0;https://www.goflink.com//de-DE/shop/product/unmilk-vegan-protein-shake-schoko-330ml-11015886/
Vitamin Well Hydrate Erdbeer & Rhabarber 0,5l;1,89;0;https://www.goflink.com//de-DE/shop/product/vitamin-well-hydrate-erdbeer-and-rhabarber-0-5l-11015920/
Vitamin Well Reload Zitrone & Limette 0,5l;1,89;0;https://www.goflink.com//de-DE/shop/product/vitamin-well-reload-zitrone-and-limette-0-5l-11015921/
Vly Kakaodrink 400 ml;1,99;0;https://www.goflink.com//de-DE/shop/product/vly-kakaodrink-400-ml-11015263/
yfood Drink Classic Choco 500ml;3,99;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-alpine-choco-500ml-11012744/
yfood Drink Coconut 500ml;3,59;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-coconut-500ml-11017837/
yfood Drink Cold Brew Coffee 500ml;3,59;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-cold-brew-coffee-500ml-11017836/
yfood Drink Fresh Berry 500ml;3,99;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-fresh-berry-500ml-11012745/
yfood Drink Smooth Vanilla 500ml;3,99;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-smooth-vanilla-500ml-11012743/
yfood Drink Vegan Choco 500ml;3,79;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-vegan-choco-500ml-11017838/
yfood Drink Vegan Vanilla 500ml;3,79;0;https://www.goflink.com//de-DE/shop/product/yfood-drink-vegan-vanilla-500ml-11017840/
Foodspring Whey Protein Schokolade 330g;7,84;15,69;https://www.goflink.com//de-DE/shop/product/foodspring-whey-protein-schokolade-330g-11015913/
Barebells Protein Bar Double Bite Caramel Crisp 55g;2,07;2,59;https://www.goflink.com//de-DE/shop/product/barebells-protein-bar-double-bite-caramel-crisp-55g-11015916/
Barebells Protein Bar Hazelnut Nougat 55g;2,59;0;https://www.goflink.com//de-DE/shop/product/barebells-protein-bar-hazelnut-nougat-55g-11011203/
Barebells Protein Bar Salty Peanut 55g;2,59;0;https://www.goflink.com//de-DE/shop/product/barebells-protein-bar-salty-peanut-35g-11012059/
Barebells Protein Bar White Salty Peanut 55g;2,59;0;https://www.goflink.com//de-DE/shop/product/barebells-protein-bar-white-salty-peanut-55g-11015915/
Barebells Vegan Salty Peanut 55 g;2,59;0;https://www.goflink.com//de-DE/shop/product/barebells-vegan-salty-peanut-55-g-11015914/
Barebells White Chocolate Almond 55 g;2,59;0;https://www.goflink.com//de-DE/shop/product/barebells-white-chocolate-almond-55-g-11015917/
BenFit High Protein Flips Paprika 25g;1,59;0;https://www.goflink.com//de-DE/shop/product/benfit-high-protein-flips-paprika-25g-11017153/
BenFit High Protein Flips Zwiebel 25g;1,59;0;https://www.goflink.com//de-DE/shop/product/benfit-high-protein-flips-zwiebel-25g-11017154/
Foodspring Protein Cookie Chocolate Chip 50g;2,49;0;https://www.goflink.com//de-DE/shop/product/protein-cookie-chocolate-chip-50g-11011246/
Foodspring Protein Cookie White Chocolate Almond 50g;2,49;0;https://www.goflink.com//de-DE/shop/product/protein-cookie-white-chocolate-almond-50g-11011247/
Fulfil Protein Bar Chocolate Brownie 55g;2,39;0;https://www.goflink.com//de-DE/shop/product/fulfil-protein-bar-chocolate-brownie-55g-11016679/
Fulfil Protein Bar Chocolate Hazelnut Whip 55g;2,39;0;https://www.goflink.com//de-DE/shop/product/fulfil-protein-bar-chocolate-hazelnut-whip-55g-11016682/
Fulfil Protein Bar Peanut & Caramel 55g;2,39;0;https://www.goflink.com//de-DE/shop/product/fulfil-protein-bar-peanut-and-caramel-55g-11016680/
Fulfil Protein Bar Salted Caramel 55g;2,39;0;https://www.goflink.com//de-DE/shop/product/fulfil-protein-bar-salted-caramel-55g-11016681/
HANS Bio-Energieriegel Kakaonibs 30g;1,99;0;https://www.goflink.com//de-DE/shop/product/hans-bio-energieriegel-kakaonibs-30g-11017241/
HANS Bio-Energieriegel Original 30g;1,99;0;https://www.goflink.com//de-DE/shop/product/hans-bio-energieriegel-original-30g-11017237/
HANS Bio-Power-Bites Kakao 50g;2,59;0;https://www.goflink.com//de-DE/shop/product/hans-bio-power-bites-kakao-50g-11017239/
HANS Bio-Schoko-Riegel Peanut & Cream 30g;1,99;0;https://www.goflink.com//de-DE/shop/product/hans-bio-schoko-riegel-peanut-and-cream-30g-11017242/
HANS Bio-Schoko-Riegel White Nougat 30g;1,99;0;https://www.goflink.com//de-DE/shop/product/hans-bio-schoko-riegel-white-nougat-30g-11017240/
Hej Nutrition Crispy Protein Bar Crunchy Brownie 45g;2,39;0;https://www.goflink.com//de-DE/shop/product/hej-nutrition-crispy-protein-bar-crunchy-brownie-45g-11015919/
Hej Nutrition Crispy Protein Bar White Choco Peanut 45g;1,19;2,39;https://www.goflink.com//de-DE/shop/product/hej-nutrition-crispy-protein-bar-white-choco-peanut-45g-11015918/
REWE Beste Wahl 10 Mini Frühlingsrollen 280g;1,99;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-10-mini-fruhlingsrollen-280g-11017658/
REWE Beste Wahl Chocolate Cookies mit leckerer Schokolade Proteinhaltig 140g;1,29;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-chocolate-cookies-mit-leckerer-schokolade-proteinhaltig-140g-11017576/
REWE Beste Wahl White Chocolate Cookies mit Himbeergeschmack Proteinhaltig 120g;1,29;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-white-chocolate-cookies-mit-himbeergeschmack-proteinhaltig-120g-11017584/
Rocka Nutrition No Whey Bar Chunky Peanut Caramel 50g;2,59;0;https://www.goflink.com//de-DE/shop/product/rocka-nutrition-no-whey-bar-chunky-peanut-caramel-50g-11016685/
Rocka Nutrition No Whey Bar Triple Chocolate 60g;2,59;0;https://www.goflink.com//de-DE/shop/product/rocka-nutrition-no-whey-bar-triple-chocolate-60g-11016684/
foodspring Vegan Protein Bar Chocolate Almond 60g;1,81;2,59;https://www.goflink.com//de-DE/shop/product/vegan-protein-bar-chocolate-almond-60g-11011253/
foodspring Vegan Protein Bar Extra Layered Hazelnut Crunch 45g;2,07;2,59;https://www.goflink.com//de-DE/shop/product/vegan-protein-bar-extra-layered-hazelnut-crunch-45g-11011231/
raccoon Bio Protein Choc Red Berries Vegan 40g;1,99;0;https://www.goflink.com//de-DE/shop/product/raccoon-bio-protein-choc-red-berries-40g-11015259/
raccoon Bio Protein Choc Salty Peanut Vegan 40g;1,99;0;https://www.goflink.com//de-DE/shop/product/raccoon-bio-protein-choc-salty-peanut-40g-11015260/
Dr.Oetker High Protein Pudding Grieß 400g;2,39;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-high-protein-pudding-griess-400g-11010512/
Dr.Oetker High Protein Pudding Schokolade 400g;2,39;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-high-protein-pudding-schokolade-400g-11010510/
Dr.Oetker High Protein Pudding Vanille 400g;2,39;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-high-protein-pudding-vanille-400g-11010511/
Ehrmann High Protein Mousse Choco 200g;1,89;0;https://www.goflink.com//de-DE/shop/product/ehrmann-high-protein-mousse-choco-200g-11015898/
Ehrmann High Protein Mousse Vanille 200g;1,89;0;https://www.goflink.com//de-DE/shop/product/ehrmann-high-protein-mousse-vanille-200g-11015899/
