productname;newprice;oldprice;link
Little Lunch Bio Lieblingssauce Bolognese 250ml;2,79;0;https://www.goflink.com//de-DE/shop/product/little-lunch-bio-lieblingssauce-bolognese-250ml-11016369/
Little Lunch Bio Lieblingssauce Tomate Klassik 250ml;1,99;0;https://www.goflink.com//de-DE/shop/product/little-lunch-bio-lieblingssauce-tomate-klassik-250ml-11016367/
Mutti Pelati Passata 700g;2,29;0;https://www.goflink.com//de-DE/shop/product/mutti-pelati-passata-700g-11011139/
Mutti Pelati San Marzano 400g;2,39;0;https://www.goflink.com//de-DE/shop/product/mutti-pelati-san-marzano-400g-11010644/
Mutti Pelati Schältomaten 800g;1,99;0;https://www.goflink.com//de-DE/shop/product/mutti-pelati-schaltomaten-800g-11010645/
Mutti Pomodorini Cherrytomaten 400g;1,69;0;https://www.goflink.com//de-DE/shop/product/mutti-pomodorini-cherrytomaten-400g-11010646/
Mutti Tomatenmark 3fach Konzentrat 200g;1,69;0;https://www.goflink.com//de-DE/shop/product/mutti-tomatenmark-3fach-konzentrat-200g-11010648/
Oro Di Parma Tomaten Stückig 400g;1,49;0;https://www.goflink.com//de-DE/shop/product/oro-di-parma-tomaten-stuckig-425ml-11011138/
Oro Di Parma Tomatenmark 200g;1,59;0;https://www.goflink.com//de-DE/shop/product/oro-di-parma-tomatenmark-200g-11011137/
Oro di Parma Pizzasauce Oregano 425ml;1,99;0;https://www.goflink.com//de-DE/shop/product/oro-di-parma-pizzasauce-oregano-425ml-11011574/
Oro di Parma Tomaten passiert 400g;1,49;0;https://www.goflink.com//de-DE/shop/product/oro-di-parma-tomaten-passiert-400g-11012525/
REWE Beste Wahl Passierte Tomaten 500g;0,99;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-passierte-tomaten-500g-11017214/
Libby's Ananas-Dessertstücke natursüß 140g;1,35;1,99;https://www.goflink.com//de-DE/shop/product/libbys-ananas-dessertstucke-natursuss-140g-11015465/
Libby's Aprikosen natursüß 425ml;1,99;0;https://www.goflink.com//de-DE/shop/product/libbys-aprikosen-halbe-frucht-natursuss-425ml-11015464/
Libby's Fruchtcocktail natursüß 240g;1,72;2,49;https://www.goflink.com//de-DE/shop/product/libbys-fruchtcocktail-natursuss-410g-11015462/
Libby's Mandarin-Orangen natursüß 175g;1,35;1,99;https://www.goflink.com//de-DE/shop/product/libbys-mandarin-orangen-natursuss-310g-11015460/
