productname;newprice;oldprice;link
HeiMart Krosse Kerle Sauerrahm & Lauchzwiebel 115g;1,99;0;https://www.goflink.com//de-DE/shop/product/heimart-krosse-kerle-sauerrahm-and-lauchzwiebel-115g-11016342/
HeiMart Krosse Kerle Tomate Paprika 115g;1,99;0;https://www.goflink.com//de-DE/shop/product/heimart-krosse-kerle-tomate-paprika-115g-11016341/
HeiMart Krosse Kerle Sauerrahm & Lauchzwiebel 115g;1,99;0;https://www.goflink.com//de-DE/shop/product/heimart-krosse-kerle-sauerrahm-and-lauchzwiebel-115g-11016342/
HeiMart Krosse Kerle Tomate Paprika 115g;1,99;0;https://www.goflink.com//de-DE/shop/product/heimart-krosse-kerle-tomate-paprika-115g-11016341/
BenFit High Protein Flips Paprika 25g;1,59;0;https://www.goflink.com//de-DE/shop/product/benfit-high-protein-flips-paprika-25g-11017153/
BenFit High Protein Flips Zwiebel 25g;1,59;0;https://www.goflink.com//de-DE/shop/product/benfit-high-protein-flips-zwiebel-25g-11017154/
Chio Tortillas Hot Chili 125g;1,89;0;https://www.goflink.com//de-DE/shop/product/chio-tortillas-hot-chili-125g-11015794/
Chio Tortillas Nacho Cheese 125g;1,89;0;https://www.goflink.com//de-DE/shop/product/chio-tortillas-nacho-cheese-125g-11015795/
Chio Tortillas Wild Paprika 125g;1,89;0;https://www.goflink.com//de-DE/shop/product/chio-tortillas-wild-paprika-125g-11015793/
Doritos Nacho Cheese 110g;1,69;0;https://www.goflink.com//de-DE/shop/product/doritos-nacho-cheese-125g-11011996/
Doritos Paprika 110g;1,69;0;https://www.goflink.com//de-DE/shop/product/doritos-paprika-125g-11015775/
Doritos Pizza Salami 110g;1,59;0;https://www.goflink.com//de-DE/shop/product/doritos-pizza-salami-110g-11017844/
Doritos Sour Cream 125g;1,69;0;https://www.goflink.com//de-DE/shop/product/doritos-sour-cream-125g-11011162/
Doritos Sweet Chili Pepper 110g;1,69;0;https://www.goflink.com//de-DE/shop/product/doritos-sweet-chili-pepper-125g-11013689/
Fairtrade Original Chips Mild Indonesian Krupuk 60g;1,59;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-chips-mild-indonesian-krupuk-60g-11016358/
Fairtrade Original Chips Spicy Indonesian Krupuk 60g;1,59;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-chips-spicy-indonesian-krupuk-60g-11016360/
Funny-frisch Chipsfrisch Peperoni 175g;0,51;1,69;https://www.goflink.com//de-DE/shop/product/funny-frisch-chipsfrisch-peperoni-175g-11014009/
Funny-frisch Chipsfrisch Ungarisch 175g;1,69;0;https://www.goflink.com//de-DE/shop/product/funny-frisch-chipsfrisch-ungarisch-175g-11010855/
Funny-frisch Jumpys 75g;1,89;0;https://www.goflink.com//de-DE/shop/product/funny-frisch-jumpys-75g-11014022/
Funny-frisch Linsen Chips Paprika 90g;1,99;0;https://www.goflink.com//de-DE/shop/product/funny-frisch-linsen-chips-paprika-90g-11010860/
Funny-frisch Linsenchips Tandoori Masala 90g;1,99;0;https://www.goflink.com//de-DE/shop/product/funny-frisch-linsenchips-tandoori-masala-90g-11017852/
Funny-frisch Pombär Ketchup 75g;1,39;0;https://www.goflink.com//de-DE/shop/product/funny-frisch-pombar-ketchup-75g-11014018/
Funny-frisch Pombär Original 75g;1,39;0;https://www.goflink.com//de-DE/shop/product/pom-bar-original-75g-11010853/
Funny-frisch Riffels Chili Paprika 150g;2,39;0;https://www.goflink.com//de-DE/shop/product/funny-frisch-riffels-chili-paprika-150g-11010857/
Heimatgut Bio Gemüse Chips 100g;2,99;0;https://www.goflink.com//de-DE/shop/product/heimatgut-bio-gemuse-chips-100g-11016249/
Heimatgut Bio Linsen Chips Meersalz 75g;2,59;0;https://www.goflink.com//de-DE/shop/product/heimatgut-bio-linsen-chips-meersalz-75g-11016252/
Heimatgut Bio Linsen Chips Sour Cream Style 75g;2,59;0;https://www.goflink.com//de-DE/shop/product/heimatgut-bio-linsen-chips-sour-cream-style-75g-11016251/
Heimatgut Bio Riffel Chips Meersalz 125g;2,39;0;https://www.goflink.com//de-DE/shop/product/heimatgut-bio-riffel-chips-meersalz-125g-11016250/
