productname;newprice;oldprice;link
Veganz Bio Schokolade Roasted Hazelnut vegan 90g;2,79;0;https://www.goflink.com//de-DE/shop/product/veganz-bio-schokolade-roasted-hazelnut-vegan-90g-11017355/
Veganz Bio Schokolade White Roasted Almond vegan 80g;2,79;0;https://www.goflink.com//de-DE/shop/product/veganz-bio-schokolade-white-roasted-almond-vegan-80g-11017360/
Veganz Muffins Chocolate Chip vegan 150g;1,99;0;https://www.goflink.com//de-DE/shop/product/veganz-muffins-chocolate-chip-vegan-150g-11017356/
Veganz Bio Schokolade Roasted Hazelnut vegan 90g;2,79;0;https://www.goflink.com//de-DE/shop/product/veganz-bio-schokolade-roasted-hazelnut-vegan-90g-11017355/
Veganz Bio Schokolade White Roasted Almond vegan 80g;2,79;0;https://www.goflink.com//de-DE/shop/product/veganz-bio-schokolade-white-roasted-almond-vegan-80g-11017360/
Chocolate and Love Milk Hazelnut 80g;1,11;3,69;https://www.goflink.com//de-DE/shop/product/chocolate-and-love-milk-hazelnut-80g-11015657/
Chocolate and Love Mint 80g;1,11;3,69;https://www.goflink.com//de-DE/shop/product/chocolate-and-love-mint-80g-11015655/
Chocolate and Love Sea Salt & Caramel 80g;1,11;3,69;https://www.goflink.com//de-DE/shop/product/chocolate-and-love-sea-salt-and-caramel-80g-11015656/
Ferrero Raffaello Tafel 90g;1,89;0;https://www.goflink.com//de-DE/shop/product/raffaello-tafel-90g-11014645/
Ferrero Rocher Tafel Original 90g;1,89;0;https://www.goflink.com//de-DE/shop/product/rocher-tafel-original-90g-11014643/
Ferrero Rocher Tafel Zartbitter 90g;0,57;1,89;https://www.goflink.com//de-DE/shop/product/rocher-tafel-zartbitter-90g-11014644/
Gmeiner Piemonteser Vollmilch mit gerösteten Haselnüssen 100g;4,99;0;https://www.goflink.com//de-DE/shop/product/gmeiner-piemonteser-vollmilch-mit-gerosteten-haselnussen-100g-11012788/
Hachez Wintertafel Bratapfel 90g;0,72;2,39;https://www.goflink.com//de-DE/shop/product/hachez-wintertafel-bratapfel-90g-11014613/
Hachez Wintertafel Florentiner Orange 90g;0,72;2,39;https://www.goflink.com//de-DE/shop/product/hachez-wintertafel-florentiner-orange-90g-11014614/
Hachez Wintertafel Walnuss-Krokant 90g;0,72;2,39;https://www.goflink.com//de-DE/shop/product/hachez-wintertafel-walnuss-krokant-90g-11014615/
Hands Off My Chocolate Birthday Cake 100g;0,99;1,99;https://www.goflink.com//de-DE/shop/product/hands-off-my-chocolate-birthday-cake-100g-11015298/
Hands Off My Chocolate Crispy Cookie 100g;0,99;1,99;https://www.goflink.com//de-DE/shop/product/hands-off-my-chocolate-crispy-cookie-100g-11015299/
Hands Off My Chocolate VEGAN Caramel Sea Salt 100g;1,99;0;https://www.goflink.com//de-DE/shop/product/hands-off-my-chocolate-vegan-caramel-sea-salt-100g-11015300/
Hershey's Cookies'n'Creme 40g;0,30;0,99;https://www.goflink.com//de-DE/shop/product/hersheys-cookiesncreme-40g-11016134/
Jokolade N°1 Weiße Schokolade (Haselnuss, Keks, Kaffee) 150g;2,89;0;https://www.goflink.com//de-DE/shop/product/jokolade-ndeg1-weisse-schokolade-haselnuss-keks-kaffee-150g-11012279/
Jokolade N°2 Milchschokolade (Banane, Karamell, Keks) 150g;2,89;0;https://www.goflink.com//de-DE/shop/product/jokolade-ndeg2-150g-milchschokolade-banane-karamell-keks-150g-11012280/
Jokolade N°3 Milchschokolade (Toffee, Keks, Kaffee) 150g;1,44;2,89;https://www.goflink.com//de-DE/shop/product/jokolade-ndeg3-150g-milchschokolade-toffee-keks-kaffee-150g-11012281/
Jokolade N°4 Dunkle Schokolade (Birne, Brownie, Mandel) 150g;2,89;0;https://www.goflink.com//de-DE/shop/product/jokolade-ndeg4-150g-dunkle-schokolade-birne-brownie-mandel-150g-11012282/
Katjes Chocjes Vegan Cookie Lover 50g;0,79;1,59;https://www.goflink.com//de-DE/shop/product/katjes-chocjes-vegan-cookie-lover-50g-11015303/
Katjes Chocjes Vegan Salty Pretzel 50g;0,48;1,59;https://www.goflink.com//de-DE/shop/product/katjes-chocjes-vegan-salty-pretzel-50g-11015304/
Käfer Edelvollmilch m. Kakao 40% 100g;4,95;0;https://www.goflink.com//de-DE/shop/product/kafer-edelvollmilch-m-kakao-40-100g-11012787/
Lindt Creation Créme Brûlée 150g;0,90;2,99;https://www.goflink.com//de-DE/shop/product/lindt-creation-creme-brulee-150g-11015864/
Lindt Creation Tarte au Citron 150g;0,90;2,99;https://www.goflink.com//de-DE/shop/product/lindt-creation-tarte-au-citron-150g-11015865/
Lindt Excellence 45% Cacao 80g;1,89;0;https://www.goflink.com//de-DE/shop/product/lindt-excellence-45-cacao-100g-11011902/
Lindt Excellence 65% Cacao 80g;1,89;0;https://www.goflink.com//de-DE/shop/product/lindt-excellence-65-cacao-100g-11011903/
Lindt Excellence Mild 70% 100g;2,29;0;https://www.goflink.com//de-DE/shop/product/lindt-excellence-mild-70-100g-11011905/
Lindt Excellence Mild 90% 100g;2,29;0;https://www.goflink.com//de-DE/shop/product/lindt-excellence-mild-90-100g-11011906/
Lindt Excellence Orange Feinherb 100g;0,69;2,29;https://www.goflink.com//de-DE/shop/product/lindt-excellence-orange-feinherb-100g-11011907/
Lindt Excellence mit Meersalz Feinherb 100g;1,14;2,29;https://www.goflink.com//de-DE/shop/product/lindt-excellence-feinherb-mit-meersalz-100g-11011904/
Lindt HELLO Caramel Brownie 100g;0,69;2,29;https://www.goflink.com//de-DE/shop/product/lindt-hello-caramel-brownie-100g-11015870/
Lindt HELLO Crunchy Nougat 100g;1,60;2,29;https://www.goflink.com//de-DE/shop/product/lindt-hello-crunchy-nougat-100g-11015869/
Lindt HELLO Strawberry Cheesecake 100g;2,29;0;https://www.goflink.com//de-DE/shop/product/lindt-hello-strawberry-cheesecake-100g-11015868/
Lindt Hello Salted Caramel Stick 1 Stk. 39g;0,49;0,99;https://www.goflink.com//de-DE/shop/product/lindt-hello-salted-caramel-stick-1-stk-39g-11011918/
Lindt Hello Vegan Salted Caramel 100g;2,99;0;https://www.goflink.com//de-DE/shop/product/lindt-hello-vegan-salted-caramel-100g-11011916/
Lindt Les Grandes 34% Haselnüsse Vollmilch 150g;1,74;3,49;https://www.goflink.com//de-DE/shop/product/lindt-les-grandes-34-haselnusse-milch-150g-11011911/
Lindt Lindor Tafel Caramel & Salz 100g;1,09;2,19;https://www.goflink.com//de-DE/shop/product/lindt-lindor-caramel-and-salz-100g-11015863/
Lindt Lindor Tafel Milch 100g;2,19;0;https://www.goflink.com//de-DE/shop/product/lindt-lindor-tafel-milch-100g-11011914/
Lindt Mousse au Chocolat Nuss 140g;1,49;2,99;https://www.goflink.com//de-DE/shop/product/lindt-mousse-au-chocolat-nuss-140g-11015862/
Lindt Vegan Salted Almonds 100g;2,99;0;https://www.goflink.com//de-DE/shop/product/lindt-vegan-salted-almonds-100g-11012653/
Lindt Vegan Sweet & Salty Popcorn 100g;2,99;0;https://www.goflink.com//de-DE/shop/product/lindt-vegan-sweet-and-salty-popcorn-100g-11012652/
Lindt Vegane Haselnuss 100g;2,99;0;https://www.goflink.com//de-DE/shop/product/lindt-vegane-haselnuss-100g-11015861/
Milka & LU Kekse 87g;1,19;0;https://www.goflink.com//de-DE/shop/product/milka-and-lu-kekse-87g-11012075/
Milka Haselnuss Schokolade 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/milka-haselnuss-schokolade-100g-11012007/
Milka Kuhflecken 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/milka-kuhflecken-100g-11015315/
Milka Luflée 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/milka-luflee-100g-11015316/
Milka Oreo 300g;0,90;2,99;https://www.goflink.com//de-DE/shop/product/milka-oreo-300g-11015317/
Milka Oreo White 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/milka-oreo-white-100g-11015318/
Milka Schoko & Keks 300g;2,99;0;https://www.goflink.com//de-DE/shop/product/milka-schoko-and-keks-300g-11015319/
Milka Schokolade mit TUC 87g;1,29;0;https://www.goflink.com//de-DE/shop/product/milka-schokolade-mit-tuc-87g-11017706/
Milka Tafel Alpenmilch 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/milka-tafel-alpenmilch-100g-11011958/
Ritter Sport  Weiss+Crisp 100g;1,39;0;https://www.goflink.com//de-DE/shop/product/ritter-sport-weiss-crisp-100g-11011154/
Ritter Sport Alpenmilch 100g;1,39;0;https://www.goflink.com//de-DE/shop/product/ritter-sport-alpenmilch-100g-11010958/
Ritter Sport Halbbitter 100g;1,39;0;https://www.goflink.com//de-DE/shop/product/ritter-sport-halbbitter-100g-11010959/
Ritter Sport Joghurt 100g;1,39;0;https://www.goflink.com//de-DE/shop/product/ritter-sport-joghurt-100g-11010963/
Ritter Sport Knusperflakes 100g;1,39;0;https://www.goflink.com//de-DE/shop/product/ritter-sport-knusperflakes-100g-11010964/
Ritter Sport Knusperkeks 100g;1,39;0;https://www.goflink.com//de-DE/shop/product/ritter-sport-knusperkeks-100g-11010955/
