productname;newprice;oldprice;link
Catsan Katzenstreu Active Fresh 8l;10,49;0;https://www.goflink.com//de-DE/shop/product/catsan-active-fresh-8l-11010477/
Catsan Smart Pack - Einlegepack Katzentoilette 2 Stück;5,99;0;https://www.goflink.com//de-DE/shop/product/catsan-smart-pack-einlegepack-katzentoilette-11014580/
Felix Knabbermix Original 60g;0,99;0;https://www.goflink.com//de-DE/shop/product/felix-knabbermix-original-60g-11015418/
Felix Nassfutter Sensations Gelees aus dem Wasser 12x85g;4,69;0;https://www.goflink.com//de-DE/shop/product/felix-nassfutter-sensations-gelees-aus-dem-wasser-12x85g-11017083/
Felix Nassfutter Sensations aus dem Wasser 12x85g;4,69;0;https://www.goflink.com//de-DE/shop/product/felix-sensations-saucen-wasser-12x-85g-11012074/
Felix Nassfutter Tasty Shreds Mix 10x80g;4,69;0;https://www.goflink.com//de-DE/shop/product/felix-nassfutter-tasty-shreds-mix-10x80g-11017085/
Felix Nassfutter Vielfalt aus dem Wasser 12x85g;4,69;0;https://www.goflink.com//de-DE/shop/product/felix-nassfutter-vielfalt-aus-dem-wasser-12x85g-11017081/
Felix Nassfutter Vielfalt mit Gemüse 12x85g;4,69;0;https://www.goflink.com//de-DE/shop/product/felix-nassfutter-vielfalt-mit-gemuse-12x-85g-11015413/
Felix Nassfutter Vielfalt mit Gemüse 24x85g;9,99;0;https://www.goflink.com//de-DE/shop/product/felix-nassfutter-vielfalt-mit-gemuse-24x85g-11017084/
Felix Nassfutter Vielfalt vom Land 12x85g;4,69;0;https://www.goflink.com//de-DE/shop/product/felix-nassfutter-vielfalt-vom-land-12x85g-11015414/
Felix Naturally Delicious mit Huhn 50g;1,29;0;https://www.goflink.com//de-DE/shop/product/felix-naturally-delicious-mit-huhn-50g-11017086/
Felix Soup gemischte Vielfalt 10x85g;1,99;0;https://www.goflink.com//de-DE/shop/product/felix-soup-gemischte-vielfalt-10x85g-11017082/
Gourmet Gold Nassfutter Zarte Häppchen mit Gemüse 4x85g;2,29;0;https://www.goflink.com//de-DE/shop/product/gourmet-gold-nassfutter-zarte-happchen-mit-gemuse-4x85g-11017103/
Gourmet Mousse mit Huhn und Sauce 2x57g;1,59;0;https://www.goflink.com//de-DE/shop/product/gourmet-mousse-mit-huhn-und-sauce-2x57g-11017101/
PURINA ONE Dual Nature mit Huhn 750g;4,99;0;https://www.goflink.com//de-DE/shop/product/purina-one-dual-nature-mit-huhn-750g-11017102/
Pets Deli Pure Meat Huhn 85g;1,59;0;https://www.goflink.com//de-DE/shop/product/pets-deli-pure-meat-huhn-85g-11011467/
Purina One Trockenfutter 7  Jahre Huhn und Vollkorn-Getreide 800g;3,99;0;https://www.goflink.com//de-DE/shop/product/senior-one-trockenfutter-7-jahre-huhn-und-vollkorn-getreide-800g-11017104/
Purina One Trockenfutter Huhn 800g;3,99;0;https://www.goflink.com//de-DE/shop/product/purina-one-trockenfutter-huhn-800g-11015416/
Purina One Trockenfutter Sterilicat Lachs 800g;3,99;0;https://www.goflink.com//de-DE/shop/product/purina-one-trockenfutter-sterilicat-lachs-800g-11017105/
Whiskas 1+ Jahre Ragout Geflügel 12x85g;3,99;0;https://www.goflink.com//de-DE/shop/product/whiskas-1-ragout-geflugel-12g-11010481/
Whiskas Trockenfutter mit Huhn 800g;2,59;0;https://www.goflink.com//de-DE/shop/product/whiskas-trockenfutter-mit-huhn-800g-11015417/
Whiskas Trockenfutter mit Thunfisch 1+ 800g;2,59;0;https://www.goflink.com//de-DE/shop/product/whiskas-trockenfutter-mit-thunfisch-1-800g-11015415/
Beneful Trockenfutter mit Rind 1,5kg;3,19;3,99;https://www.goflink.com//de-DE/shop/product/beneful-trockenfutter-mit-rind-1-5kg-11015422/
Crave Protein Wraps mit Huhn 50g;1,99;0;https://www.goflink.com//de-DE/shop/product/crave-protein-wraps-mit-huhn-50g-11015423/
Frolic Rodeo mit Rind 105g;0,99;0;https://www.goflink.com//de-DE/shop/product/frolic-rodeo-mit-rind-105g-11015427/
Frolic Snack Rodeo mit Rind 105g;0,30;0,99;https://www.goflink.com//de-DE/shop/product/frolic-unterwegs-mit-rind-180g-11015425/
Frolic Trockenfutter mit Rind 1,5kg;3,99;0;https://www.goflink.com//de-DE/shop/product/frolic-trockenfutter-mit-rind-1-5kg-11015419/
Pedigree 3 Sorten Geflügel 800g;1,99;0;https://www.goflink.com//de-DE/shop/product/pedigree-3-sorten-geflugel-800g-11015420/
Pedigree Denta Stix 4-10kg 7 Stk. 110g;1,59;0;https://www.goflink.com//de-DE/shop/product/pedigree-denta-stix-4-10kg-110g-11010466/
Pedigree Denta Stix Daily Oral Care 10-25kg 128 g;1,69;0;https://www.goflink.com//de-DE/shop/product/pedigree-denta-stix-daily-oral-care-10-25kg-128-g-11015424/
Pedigree Rind, Lamm,Huhn 800g;1,99;0;https://www.goflink.com//de-DE/shop/product/pedigree-rind-lamm-huhn-800g-11015421/
Pets Deli Green Softies Insekt mit Rote Bete 90g;4,99;0;https://www.goflink.com//de-DE/shop/product/pets-deli-green-softies-insekt-mit-rote-bete-90g-11011506/
Vitakraft Kaustangen mit Hühnchen 250g;5,99;0;https://www.goflink.com//de-DE/shop/product/vitakraft-kaustangen-mit-huhnchen-250g-11015426/
