productname;newprice;oldprice;link
Miguel Torres Natureo Muscat Alkoholfrei 0,75l;8,49;0;https://www.goflink.com//de-DE/shop/product/natureo-blanco-torres-alkoholfrei-0-75l-11015568/
Alde Gott Grauburgunder Kabinett trocken 0,75l;8,49;0;https://www.goflink.com//de-DE/shop/product/alde-gott-grauburgunder-kabinett-trocken-0-75l-11015817/
Alde Gott Kuck Kuck Cuvée weiß 0,75l;7,49;0;https://www.goflink.com//de-DE/shop/product/alde-gott-kuck-kuck-cuvee-weiss-0-75l-11017661/
Alde Gott Rivaner & Riesling trocken 0,75l;5,59;0;https://www.goflink.com//de-DE/shop/product/alde-gott-rivaner-and-riesling-trocken-0-75l-11015818/
Alde Gott Weiß & Süß Spätburgunder weiß gekeltert 0,75l;7,49;0;https://www.goflink.com//de-DE/shop/product/alde-gott-weiss-and-suss-spatburgunder-weiss-gekeltert-0-75l-11015816/
Bauer Grauburgunder Bullshit 0,75l;9,99;0;https://www.goflink.com//de-DE/shop/product/bauer-grauburgunder-bullshit-0-75l-11011731/
Bauer Sauvignon Blanc Terrorist 0,75l;9,99;0;https://www.goflink.com//de-DE/shop/product/bauer-sauvignon-blanc-terrorist-0-75l-11011732/
Bree Chardonnay Halbtrocken 0,75l;4,49;0;https://www.goflink.com//de-DE/shop/product/bree-chardonnay-halbtrocken-12-vol-750ml-11013350/
Bree Riesling QbA feinherb 0,75l;4,49;0;https://www.goflink.com//de-DE/shop/product/bree-riesling-qba-feinherb-0-75l-11017251/
Buitenverwachting Sauvignon Blanc W.O. Constancia 0,75l;4,99;9,99;https://www.goflink.com//de-DE/shop/product/buitenverwachting-sauvignon-blanc-wo-constancia-0-75l-11015492/
Ca Maiol Sirmiolino  Lugana DOC. 0,75l;10,99;0;https://www.goflink.com//de-DE/shop/product/ca-maiol-sirmiolino-lugana-doc-0-75l-11017801/
CaMaiol Prestige Lugana DOP 0,75l;13,99;0;https://www.goflink.com//de-DE/shop/product/camaiol-prestige-lugana-dop-0-75l-11015494/
Charles Smith KUNG FU GIRL Riesling Washington Estate 0,75l;14,99;0;https://www.goflink.com//de-DE/shop/product/charles-smith-kung-fu-girl-riesling-whashington-estate-0-75l-11017750/
D United Cuvée Weiß Rheinhessen QbA. 0,75l;9,99;0;https://www.goflink.com//de-DE/shop/product/d-united-cuvee-weiss-rheinhessen-qba-0-75l-11017306/
Domaine Laroche Chablis Saint Martin 0,75l;12,49;24,99;https://www.goflink.com//de-DE/shop/product/domaine-laroche-chablis-saint-martin-0-75l-11012536/
Doppio Passo Sicilia Grillo Wein 0,75l;7,99;0;https://www.goflink.com//de-DE/shop/product/doppio-passo-sicilia-grillo-wein-0-75l-11011288/
