productname;newprice;oldprice;link
1 Stk. - 32° Rosinen Brioche;2,29;0;https://www.goflink.com//de-DE/shop/product/1-stk-32deg-rosinen-brioche-11015972/
1 Stk. - 32° Schoko Brioche;2,29;0;https://www.goflink.com//de-DE/shop/product/1-stk-32deg-schoko-brioche-11015971/
1 Stk. - Biokaiser Paarweck;1,79;0;https://www.goflink.com//de-DE/shop/product/1-stk-biokaiser-paarweck-11012145/
1 Stk. - Bäckerei Härdtner Holzofenbaguette;2,49;0;https://www.goflink.com//de-DE/shop/product/1-stk-backerei-hardtner-holzofenbaguette-11013736/
1 Stk. - Bäckerei Härdtner Roggenkruste 650g;3,29;0;https://www.goflink.com//de-DE/shop/product/1-stk-backerei-hardtner-roggenkruste-650g-11013735/
1 Stk. - Fasanenbrot Elsässer Doppelweck;1,29;0;https://www.goflink.com//de-DE/shop/product/1-stk-fasanenbrot-elsasser-doppelweck-11013766/
1 Stk. - Wendl Buttercroissant 90g;1,49;0;https://www.goflink.com//de-DE/shop/product/1-stk-wendl-buttercroissant-90g-11013853/
1 Stk. - Wendl Doppel-Brötchen;0,79;0;https://www.goflink.com//de-DE/shop/product/2-stk-wendl-brotchen-doppelt-200-11013856/
2 Stk - Bäckerei Troll Bio Dinkel Hefe Brötchen;2,29;0;https://www.goflink.com//de-DE/shop/product/3-stk-backerei-troll-dinkel-hefe-brotchen-11012823/
2 Stk - Bäckerei Troll Bio Mehrkornbrötchen;2,29;0;https://www.goflink.com//de-DE/shop/product/3-stk-backerei-troll-mehrkornbrotchen-11012820/
2 Stk - Bäckerei Troll Bio Schwarze Seelchen;2,29;0;https://www.goflink.com//de-DE/shop/product/3-stk-backerei-troll-schwarze-seelchen-11012821/
2 Stk - Bäckerei Troll Bio Sonnenblumenbrötchen;2,29;0;https://www.goflink.com//de-DE/shop/product/2-stk-backerei-troll-sonnenblumenbrotchen-11016708/
2 Stk - Bäckerei Troll Dinkel Sauerteig Brötchen;1,99;0;https://www.goflink.com//de-DE/shop/product/3-stk-backerei-troll-dinkel-sauerteig-brotchen-11012822/
2 Stk. -  Die Mehl Werkstatt - Das Dinkel/Vollkorn Stück vegan;1,99;0;https://www.goflink.com//de-DE/shop/product/2-stk-die-mehl-werkstatt-das-dinkel-vollkorn-stuck-11016074/
