productname;newprice;oldprice;link
Corona Extra 6x0,355l;6,49;7,79;https://www.goflink.com//de-DE/shop/product/corona-extra-6x0-355l-11016933/
Spaten München Hell 0,5l;1,09;0;https://www.goflink.com//de-DE/shop/product/spaten-munchen-hell-5-2-500ml-11013681/
Corona Extra 6x0,355l;6,49;7,79;https://www.goflink.com//de-DE/shop/product/corona-extra-6x0-355l-11016933/
Spaten München Hell 0,5l;1,09;0;https://www.goflink.com//de-DE/shop/product/spaten-munchen-hell-5-2-500ml-11013681/
Becks Gold 6x0,33l;5,29;0;https://www.goflink.com//de-DE/shop/product/becks-gold-6x0-33l-11017344/
Becks Pils 6x0,33l;5,29;0;https://www.goflink.com//de-DE/shop/product/becks-pils-6x0-33l-11017345/
Becks unfiltered 6x0,33l;5,79;0;https://www.goflink.com//de-DE/shop/product/becks-unfiltered-6x0-33l-11017347/
Carlsberg Lager 6x0,33l;5,79;0;https://www.goflink.com//de-DE/shop/product/carlsberg-lager-6x0-33l-11016926/
Heineken Lager Original 6x0,33l;5,99;0;https://www.goflink.com//de-DE/shop/product/heineken-lager-original-6x0-33l-11016929/
Holsten Edel 0,33l;0,79;0;https://www.goflink.com//de-DE/shop/product/holsten-edel-0-33l-11014030/
Arcobräu Mooser Liesl 0,5l;1,09;0;https://www.goflink.com//de-DE/shop/product/arcobrau-mooser-liesl-0-5l-11011710/
Astra Urtyp 0,33l;0,79;0;https://www.goflink.com//de-DE/shop/product/astra-urtyp-pils-4-9-0-33l-11010008/
Augustiner Lagerbier Hell 0,5l;1,09;0;https://www.goflink.com//de-DE/shop/product/augustiner-lagerbier-hell-0-5l-11011445/
Bayreuther Hell 0,5l;0,99;0;https://www.goflink.com//de-DE/shop/product/bayreuther-hell-0-5l-11011715/
Becks Gold 0,33l;0,71;0,89;https://www.goflink.com//de-DE/shop/product/becks-gold-4-9-0-33l-11010005/
Becks Pils 0,33l;0,71;0,89;https://www.goflink.com//de-DE/shop/product/becks-pils-4-9-0-33l-11010004/
Becks unfiltered 0,33l;0,62;0,89;https://www.goflink.com//de-DE/shop/product/becks-unfiltered-330ml-11013389/
Benediktiner Hell 0,5l;1,19;0;https://www.goflink.com//de-DE/shop/product/benediktiner-hell-5-500ml-11013933/
Bergmann Pils 0,33l;1,59;0;https://www.goflink.com//de-DE/shop/product/bergmann-pils-0-33l-11016168/
Berliner Berg Pils 0,5l;1,49;0;https://www.goflink.com//de-DE/shop/product/berliner-berg-pils-0-5l-11016317/
Berliner Kindl Jubiläums Pilsner 0,5l;0,89;0;https://www.goflink.com//de-DE/shop/product/berliner-kindl-jubilaums-pilsner-5-1-0-5l-11011644/
Binding Römer Pils 0,5l;0,89;0;https://www.goflink.com//de-DE/shop/product/binding-romer-pils-0-5l-11011828/
Bitburger Pils 0,5l;0,99;0;https://www.goflink.com//de-DE/shop/product/bitburger-pils-4-8-500ml-11013931/
Brinkhoffs Pils 0,33l;0,79;0;https://www.goflink.com//de-DE/shop/product/brinkhoffs-pils-0-33l-11014537/
Budweiser Pilsner 0,5l;1,19;0;https://www.goflink.com//de-DE/shop/product/budweiser-pilsner-0-5l-11015513/
