productname;newprice;oldprice;link
Danke Küchenrolle 2x45 Blatt;1,99;0;https://www.goflink.com//de-DE/shop/product/danke-kuchenrolle-2x45-blatt-11017024/
Danke Taschentücher 15 x 9 Stück;2,19;0;https://www.goflink.com//de-DE/shop/product/danke-taschentucher-15-x-9-stuck-11015200/
Danke Taschentücher Box 80 Stück;1,49;0;https://www.goflink.com//de-DE/shop/product/danke-taschentucher-box-80-stuck-11015197/
Jeden Tag Toilettenpapier 3-lagig 8x150 Blatt;3,49;0;https://www.goflink.com//de-DE/shop/product/toilettenpapier-3-lagig-10x200-blatt-11010415/
Kleenex Kosmetiktücher Ultra Soft 56 Stück;1,49;0;https://www.goflink.com//de-DE/shop/product/kleenex-kosmetiktucher-ultra-soft-56-stuck-11015385/
Küchenrolle Danke Recycling 4x45 Blatt;2,79;0;https://www.goflink.com//de-DE/shop/product/danke-haushaltsrolle-4x45-blatt-11015196/
Küchenrolle Zewa Wisch & Weg  4x45 Blatt;2,69;0;https://www.goflink.com//de-DE/shop/product/zewa-wisch-and-weg-4-stk-11012072/
Rewe Beste Wahl Toilettenpapier 3-lagig 8x150 Blatt;2,19;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-toilettenpapier-3-lagig-8x150-blatt-11016992/
Taschentücher Tempo 15x 10 Stück;2,49;0;https://www.goflink.com//de-DE/shop/product/tempo-taschentucher-15er-11010412/
Taschentücher Tempo Box 100 Stück;2,29;0;https://www.goflink.com//de-DE/shop/product/tempo-taschentucher-box-80er-11010413/
Tempo Feucht Sanft & Pflegend 42 Stück;1,99;0;https://www.goflink.com//de-DE/shop/product/tempo-feucht-sanft-and-pflegend-42-stuck-11015198/
Tempo Feucht Sanft & Sensitiv 42 Stück;1,99;0;https://www.goflink.com//de-DE/shop/product/tempo-feucht-sanft-and-sensitiv-42-stuck-11015199/
Toilettenpapier Goldeimer Recycling 3-lagig  8x 150 Blatt;3,39;0;https://www.goflink.com//de-DE/shop/product/goldeimer-toilettenpapier-3-lagig-8er-11012433/
Toilettenpapier Zewa Smart 3-lagig  4x300 Blatt;3,59;0;https://www.goflink.com//de-DE/shop/product/zewa-toilettenpapier-smart-3lagig-4x300-blatt-11014066/
Toilettenpapier Zewa Ultra Soft 4-lagig 8x150 Blatt;3,99;0;https://www.goflink.com//de-DE/shop/product/zewa-ultra-soft-toilettenpapier-4-lagig-8x150-blatt-11013029/
Wattepads Demak Up 70 Stück;1,79;0;https://www.goflink.com//de-DE/shop/product/demak-up-wattepads-rund-70er-11010439/
Wattestäbchen Hydrophil Bambus Bio 100 Stück;1,89;0;https://www.goflink.com//de-DE/shop/product/hydrophil-wattestabchen-bambus-100-stuck-11013943/
Wattestäbchen Q-Tips Bio 160 Stück;1,79;0;https://www.goflink.com//de-DE/shop/product/q-tips-bio-wattestabchen-box-160-stuck-11013033/
Anginetten Halstabletten 24 Stück;2,99;0;https://www.goflink.com//de-DE/shop/product/anginetten-halstabletten-24-stuck-11016095/
