productname;newprice;oldprice;link
Beets&Roots Thai Vegan Chicken Wrap 305g;7,99;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-thai-vegan-chicken-wrap-305g-11016324/
Beets&Roots Turkey & Egg Wrap 315g;7,99;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-turkey-and-egg-wrap-315g-11016323/
Bella&Bona Kimchi Gyoza Korean bowl 500g;9,49;0;https://www.goflink.com//de-DE/shop/product/bellaandbona-kimchi-gyoza-korean-bowl-500g-11015951/
Berlin's Zoom Fresh Kimchi 250g;5,99;0;https://www.goflink.com//de-DE/shop/product/zoom-fresh-kimchi-250g-11012655/
Diamond Glasnudeln lang 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/diamond-glasnudeln-lang-100g-11016267/
Dongwon Kimchi 160g;2,59;0;https://www.goflink.com//de-DE/shop/product/dongwon-kimchi-160g-11016266/
Elisabeth Curry-Kokossuppe mit Huhn und Gemüse 450ml;7,49;0;https://www.goflink.com//de-DE/shop/product/elisabethsuppen-curry-kokossuppe-mit-huhn-und-gemuse-450ml-11015621/
Elisabeth Gemüse-Kokossuppe mit Curry (vegan) 450ml;6,49;0;https://www.goflink.com//de-DE/shop/product/elisabeth-gemuse-kokossuppe-mit-curry-vegan-450ml-11017233/
Fairtrade Original Chips Mild Indonesian Krupuk 60g;1,49;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-chips-mild-indonesian-krupuk-60g-11016358/
Fairtrade Original Chips Spicy Indonesian Krupuk 60g;1,49;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-chips-spicy-indonesian-krupuk-60g-11016360/
Fairtrade Original Reisnudeln 225g;2,99;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-bio-reisnudeln-225g-11016311/
Fairtrade Original Sweet Chili Sauce 250ml;2,89;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-sweet-chili-sauce-250ml-11015452/
Fairtrade Original Thailändisches Gelbes Curry 70g;1,99;0;https://www.goflink.com//de-DE/shop/product/fairtrade-original-thailandisches-gelbes-curry-70g-11015923/
Flink Bio vegane Currysuppe 400g;2,99;0;https://www.goflink.com//de-DE/shop/product/flink-organic-spicy-curry-soup-400g-11014657/
Goose Garden - Frankfurter Kimchi 350g;7,99;0;https://www.goflink.com//de-DE/shop/product/goose-garden-frankfurter-kimchi-350g-11016760/
Goose Garden - Klassisches Kimchi 350g;7,99;0;https://www.goflink.com//de-DE/shop/product/goose-garden-klassisches-kimchi-350g-11016759/
G´schmackes Asian Peanut Chicken Curry 330g;5,99;6,99;https://www.goflink.com//de-DE/shop/product/g-schmackes-asian-peanut-chicken-curry-400g-11016047/
G´schmackes Indisches Linsen Dal (vegan) 400g;5,49;6,49;https://www.goflink.com//de-DE/shop/product/g-schmackes-indisches-linsen-dal-400g-11016051/
Kikkoman Sojasauce 150ml;2,69;0;https://www.goflink.com//de-DE/shop/product/kikkoman-soja-sauce-150ml-11010825/
Kikkoman Teriyaki Sauce Sesam 250ml;4,69;0;https://www.goflink.com//de-DE/shop/product/kikkoman-teriyaki-sauce-sesam-250ml-11011995/
MOMO Ramen Ramen Nudeln 2x140g;3,99;0;https://www.goflink.com//de-DE/shop/product/momo-ramen-ramen-nudeln-2x140g-11017062/
