productname;newprice;oldprice;link
I'M Kaltgepresster Ingwer-Apfel-Zitrone Shot 60ml;1,79;0;https://www.goflink.com//de-DE/shop/product/fruity-line-ingwer-apfel-zitrone-shot-60ml-11017266/
I'M kaltgepresster Granatapfel-Acerola-Guarana Shot 60ml;1,79;0;https://www.goflink.com//de-DE/shop/product/fruity-line-granatapfel-acerola-guarana-shot-60ml-11017270/
I'M kaltgepresster Saft Mandarine-Orange 500ml;3,69;0;https://www.goflink.com//de-DE/shop/product/fruity-line-mandarinen-orangensaft-500ml-11017269/
I'M kaltgepresster Saft Orange-Erdbeere 500ml;3,69;0;https://www.goflink.com//de-DE/shop/product/fruity-line-orange-erdbeersaft-500ml-11017265/
I'M kaltgepresster Smoothie Erdbeere-Banane 250ml;1,99;0;https://www.goflink.com//de-DE/shop/product/fruity-line-smoothie-apfel-erdbeere-250ml-11017267/
I'M kaltgepresster Smoothie Mango-Maracuja 250ml;1,99;0;https://www.goflink.com//de-DE/shop/product/fruity-line-smoothie-mango-maracuja-250ml-11017268/
Innocent Rhabarber Apfel Birne 0,9L;2,99;0;https://www.goflink.com//de-DE/shop/product/innocent-rhabarber-apfel-birne-0-9l-11017185/
Marziale Focaccia Rosmarino 140g;1,99;0;https://www.goflink.com//de-DE/shop/product/marziale-focaccia-rosmarino-140g-11017275/
Marziale Girasoli agli Asparagi 250g;3,29;0;https://www.goflink.com//de-DE/shop/product/marziale-girasoli-agli-asparagi-250g-11017279/
Marziale Lasagna Bolognese 400g;4,49;0;https://www.goflink.com//de-DE/shop/product/marziale-lasagna-bolognese-400g-11017272/
Marziale Lasagna Sorrentina 400g;4,49;0;https://www.goflink.com//de-DE/shop/product/marziale-lasagna-sorrentina-400g-11017273/
Marziale Pan Bruschetta 270g;2,99;0;https://www.goflink.com//de-DE/shop/product/marziale-pan-bruschetta-270g-11017277/
Marziale Trancetto Roll Tiramisù 180g;3,79;0;https://www.goflink.com//de-DE/shop/product/marziale-trancetto-roll-tiramisu-180g-11017271/
Nothwang Metzger Maultaschen 320g;4,99;0;https://www.goflink.com//de-DE/shop/product/nothwang-metzger-maultaschen-320g-11017126/
Rewe To Go Bowl Orientalisch 325g;3,49;0;https://www.goflink.com//de-DE/shop/product/rewe-to-go-bowl-orientalisch-325g-11017033/
SanLucar Ananas/Kiwi/Erdbeere 260g;4,99;0;https://www.goflink.com//de-DE/shop/product/sanlucar-ananas-kiwi-erdbeere-mittel-260g-11016921/
SanLucar Beerenmix 230g;4,99;0;https://www.goflink.com//de-DE/shop/product/sanlucar-beerenmix-mittel-230g-11016923/
SanLucar Erdbeere/Mango/Heidelbeere 250g;4,99;0;https://www.goflink.com//de-DE/shop/product/sanlucar-erdbeere-mango-heidelbeere-mittel-250g-11016920/
SanLucar Kiwi Beerenmix 230g;4,99;0;https://www.goflink.com//de-DE/shop/product/sanlucar-kiwi-beerenmix-mittel-230g-11016922/
Dry Aged Rinder Burger 180g;2,99;0;https://www.goflink.com//de-DE/shop/product/dry-aged-rinder-burger-180g-11016686/
John & John Crisps Deep Blue Sea Salt 150g;2,99;0;https://www.goflink.com//de-DE/shop/product/john-and-john-crisps-deep-blue-sea-salt-150g-11017001/
John & John Crisps Sweet Chili & Red Pepper 150g;2,99;0;https://www.goflink.com//de-DE/shop/product/john-and-john-crisps-sweet-chili-and-red-pepper-150g-11017002/
Lorenz Snack-Hits 320g;2,79;0;https://www.goflink.com//de-DE/shop/product/lorenz-snack-hits-320g-11017211/
Froobie Fruchties 400ml (10x40ml);3,99;0;https://www.goflink.com//de-DE/shop/product/froobie-multipack-fruchties-10-x-40ml-11017207/
Meggle Knoblauch Baguette 160g;1,39;0;https://www.goflink.com//de-DE/shop/product/meggle-knoblauch-baguette-160g-11017011/
Duroc Griller 5x100g;6,99;0;https://www.goflink.com//de-DE/shop/product/duroc-griller-5x100g-11016690/
Marziale Bio Bresaola 80g;4,99;0;https://www.goflink.com//de-DE/shop/product/marziale-bio-bresaola-80g-11017278/
Marziale Bio Mortadella 80g;2,99;0;https://www.goflink.com//de-DE/shop/product/marziale-bio-mortadella-80g-11017276/
Marziale Pancetta Toscana 300g;5,49;0;https://www.goflink.com//de-DE/shop/product/marziale-pancetta-toscana-300g-11017274/
Nothwang Berner Griller 300g;4,79;0;https://www.goflink.com//de-DE/shop/product/nothwang-berner-griller-300g-11017125/
Nothwang Grill-Krakauer 250g;3,49;0;https://www.goflink.com//de-DE/shop/product/nothwang-grill-krakauer-250g-11017073/
Pulled Beef gegart 250g;6,99;0;https://www.goflink.com//de-DE/shop/product/pulled-beef-gegart-250g-11016688/
Pulled Pork gegart 250g;4,99;0;https://www.goflink.com//de-DE/shop/product/pulled-pork-gegart-250g-11016689/
Gustavo Gusto Pura 315g;2,99;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-pura-315g-11017150/
Iglo Filegro Crunch'n Fisch 250g (5 Stück);3,39;0;https://www.goflink.com//de-DE/shop/product/iglo-filegro-crunchn-fisch-250g-5-stuck-11017164/
Iglo Knoblauch-Duo 60g;0,99;0;https://www.goflink.com//de-DE/shop/product/iglo-knoblauch-duo-60g-11017163/
Iglo Tortelloni Käse-Sahnesauce 450g;2,99;0;https://www.goflink.com//de-DE/shop/product/iglo-tortelloni-kase-sahnesauce-450g-11017168/
Tartex Bio Veganer Schmalz Topf Zwiebel & Apfel 150g;2,99;0;https://www.goflink.com//de-DE/shop/product/tartex-bio-veganer-schmalz-topf-zwiebel-and-apfel-150g-11017141/
Zentis Nusspli Nuss-Nougat-Creme 400g;2,19;0;https://www.goflink.com//de-DE/shop/product/zentis-nusspli-nuss-nougat-creme-400g-11017212/
Just Spices Avocado Topping 60g;5,99;0;https://www.goflink.com//de-DE/shop/product/just-spices-avocado-topping-60g-11016735/
Just Spices Gemüse Allrounder 75g;4,99;0;https://www.goflink.com//de-DE/shop/product/just-spices-gemuse-allrounder-75g-11016738/
Just Spices Italian Allrounder 57g;4,99;0;https://www.goflink.com//de-DE/shop/product/just-spices-italian-allrounder-57g-11016737/
Just Spices Stullen Spice 50g;5,99;0;https://www.goflink.com//de-DE/shop/product/just-spices-stullen-spice-50g-11016736/
Knorr Fix Lasagne 43g;0,99;0;https://www.goflink.com//de-DE/shop/product/knorr-fix-lasagne-43g-11017175/
Knorr Fix Linsen Bolognese 43g;0,99;0;https://www.goflink.com//de-DE/shop/product/knorr-fix-linsen-bolognese-43g-11017180/
Knorr Fix Spaghetti Bolognese 38g;0,99;0;https://www.goflink.com//de-DE/shop/product/knorr-fix-spaghetti-bolognese-38g-11017177/
Lukull Sauce Béarnaise 250ml;1,99;0;https://www.goflink.com//de-DE/shop/product/lukull-sauce-bearnaise-250ml-11017176/
Lukull Sauce Hollandaise Balance 250 ml;1,99;0;https://www.goflink.com//de-DE/shop/product/lukull-sauce-hollandaise-balance-250-ml-11017179/
Peter Pane Zitronen-Thymian-Sauce 300ml;3,49;0;https://www.goflink.com//de-DE/shop/product/peter-pane-zitronen-thymian-sauce-300ml-11017174/
Pottmühle  griechisches Bio-Olivenöl, nativ extra 500ml;12,99;0;https://www.goflink.com//de-DE/shop/product/pottmuhle-griechisches-bio-olivenol-nativ-extra-500ml-11016976/
Pottmühle Bio-Frittensalz  100g;6,99;0;https://www.goflink.com//de-DE/shop/product/pottmuhle-bio-frittensalz-100g-11016975/
Pottmühle Bio-Kashmir Curry  45g;7,59;0;https://www.goflink.com//de-DE/shop/product/pottmuhle-bio-kashmir-curry-45g-11016972/
Pottmühle Bio-Lieblingssalat  30g;6,99;0;https://www.goflink.com//de-DE/shop/product/pottmuhle-bio-lieblingssalat-30g-11016973/
Pottmühle kaltgepresstes Bio-Sesamöl, nativ & ungefiltert 100ml;5,99;0;https://www.goflink.com//de-DE/shop/product/pottmuhle-kaltgepresstes-bio-sesamol-nativ-and-ungefiltert-100ml-11016974/
Pottmühle kaltgepresstes Bio-Walnussöl, nativ & ungefiltert 100ml;7,59;0;https://www.goflink.com//de-DE/shop/product/pottmuhle-kaltgepresstes-bio-walnussol-nativ-and-ungefiltert-100ml-11016971/
Thomy Les Sauces Hollandaise Vegan 250ml;1,49;0;https://www.goflink.com//de-DE/shop/product/thomy-les-sauces-hollandaise-vegan-250ml-11017213/
Gaea Gemischte Oliven Basilikum 150g;2,79;0;https://www.goflink.com//de-DE/shop/product/gaea-gemischte-oliven-basilikum-150g-11017216/
Gaea Grüne Oliven Zitrone 150g;2,79;0;https://www.goflink.com//de-DE/shop/product/gaea-grune-oliven-zitrone-150g-11017215/
Ahoj Brause Cola & Orange 0,33l Dose;0,99;0;https://www.goflink.com//de-DE/shop/product/ahoj-brause-cola-and-orange-0-33l-dose-11016930/
Ahoj Brause Himbeere 0,33l Dose;0,99;0;https://www.goflink.com//de-DE/shop/product/ahoj-brause-himbeere-0-33l-dose-11016932/
Ahoj Brause Waldmeister 0,33l Dose;0,99;0;https://www.goflink.com//de-DE/shop/product/ahoj-brause-waldmeister-0-33l-dose-11016931/
Dr Pepper Zero 0,33l Dose;0,79;0,99;https://www.goflink.com//de-DE/shop/product/dr-pepper-zero-0-33l-dose-11016925/
Red Bull Summer Edition 0,25l Dose;1,49;0;https://www.goflink.com//de-DE/shop/product/red-bull-summer-edition-0-25l-dose-11017217/
Carlsberg Lager 6x0,33l;5,79;0;https://www.goflink.com//de-DE/shop/product/carlsberg-lager-6x0-33l-11016926/
Heineken Lager Original 6x0,33l;5,99;0;https://www.goflink.com//de-DE/shop/product/heineken-lager-original-6x0-33l-11016929/
Seidenbrauerei Samt Altbier 0,33l;1,99;0;https://www.goflink.com//de-DE/shop/product/seidenbrauerei-samt-altbier-0-33l-11017283/
Sartori di Verona  Regolo DOC Valpolicella Superiore Ripasso 0,75l;13,99;0;https://www.goflink.com//de-DE/shop/product/sartori-di-verona-regolo-doc-valpolicella-superiore-ripasso-0-75l-11017010/
Jim Beam Honey 32,5% vol. 0,7l;15,49;0;https://www.goflink.com//de-DE/shop/product/jim-beam-honey-32-5-vol-0-7l-11017210/
Knut Hansen Gin Dry 42% 0,5l;36,99;0;https://www.goflink.com//de-DE/shop/product/knut-hansen-gin-dry-42-0-5l-11016939/
Three Sixty Energy & Vodka 10% vol. 0,33l Dose;2,99;0;https://www.goflink.com//de-DE/shop/product/three-sixty-energy-and-vodka-10-vol-0-33l-dose-11017252/
SIMon mobile flex Simkarte mit 10€ Startguthaben;9,95;0;https://www.goflink.com//de-DE/shop/product/simon-mobile-flex-simkarte-mit-10eu-startguthaben-11017130/
Vieta Pro #Groove Bluetooth Lautsprecher 20W schwarz;49,99;0;https://www.goflink.com//de-DE/shop/product/vieta-pro-groove-bluetooth-lautsprecher-20w-schwarz-11017165/
o2 Prepaid M Simkarte mit 15€ Startguthaben;14,99;0;https://www.goflink.com//de-DE/shop/product/o2-prepaid-m-simkarte-mit-15eu-startguthaben-11017169/
o2 Prepaid S Simkarte mit 10€ Startguthaben;9,99;0;https://www.goflink.com//de-DE/shop/product/o2-prepaid-s-simkarte-mit-10eu-startguthaben-11017170/
