productname;newprice;oldprice;link
Bauer Grauburgunder Bullshit 0,75l;9,99;0;https://www.goflink.com//de-DE/shop/product/bauer-grauburgunder-bullshit-0-75l-11011731/
Beelitzer Spargel Weiß 500g (Deutschland);3,99;6,99;https://www.goflink.com//de-DE/shop/product/beelitzer-spargel-weiss-500g-deutschland-11017196/
Beelitzer Spargel Weiß geschält 400g (Deutschland);3,99;5,99;https://www.goflink.com//de-DE/shop/product/beelitzer-spargel-weiss-geschalt-400g-deutschland-11017197/
Deutscher Spargel Weiß Geschält 400g (Deutschland);3,99;5,99;https://www.goflink.com//de-DE/shop/product/deutscher-spargel-weiss-geschalt-400g-deutschland-11017202/
Deutscher Spargel Weiß Geschält 500g (Deutschland);4,44;8,49;https://www.goflink.com//de-DE/shop/product/deutscher-spargel-weiss-geschalt-500g-deutschland-11017201/
Landlust Bio Rivaner-Weißburgunder 0,75l;4,99;0;https://www.goflink.com//de-DE/shop/product/landlust-bio-rivaner-weissburgunder-trocken-12-vol-750ml-11013352/
Lukull Sauce Hollandaise 250ml;1,99;0;https://www.goflink.com//de-DE/shop/product/lukull-sauce-hollandaise-250g-11012223/
Lukull Sauce Hollandaise Balance 250 ml;1,99;0;https://www.goflink.com//de-DE/shop/product/lukull-sauce-hollandaise-balance-250-ml-11017179/
Spargel Bio Grün 500g Bund (Italien);4,99;0;https://www.goflink.com//de-DE/shop/product/bio-spargel-grun-500g-bund-italien-11012408/
Spargel Grün 400g (Italien);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-spanien-400g-11011741/
Spargel Grün 400g (Spanien);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-400g-spanien-11016746/
Spargel Grün 450g (Peru);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-450g-11011724/
Spargel Grün 500g (Deutschland);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-500g-bund-kl-i-deutschland-11011626/
Spargel Grün 500g Bund (Italien);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-500g-bund-italien-11012843/
Spargel Grün 500g Bund (Ungarn);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-500g-bund-ungarn-11012842/
Spargel Grün Bund 500g (Spanien);4,99;0;https://www.goflink.com//de-DE/shop/product/spargel-grun-500g-bund-kl-i-spanien-11010708/
Spargel Weiß 500g (Deutschland);3,99;6,99;https://www.goflink.com//de-DE/shop/product/spargel-weiss-500g-deutschland-11012191/
Spargel Weiß 500g (Griechenland);3,99;5,99;https://www.goflink.com//de-DE/shop/product/spargel-weiss-500g-griechenland-11017227/
Spargel Weiß 500g (Peru);3,42;5,99;https://www.goflink.com//de-DE/shop/product/spargel-weiss-500g-peru-11016593/
Spargel Weiß 500g (Spanien);3,42;5,99;https://www.goflink.com//de-DE/shop/product/spargel-weiss-500g-spanien-11017228/
Thomy Les Sauces Hollandaise Vegan 250ml;1,49;0;https://www.goflink.com//de-DE/shop/product/thomy-les-sauces-hollandaise-vegan-250ml-11017213/
Ananas Sweet 1 Stk. (Costa Rica);2,69;0;https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-costa-rica-1-stk-11010744/
Ananas Sweet 1 Stk. (Ecuador);2,69;0;https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-ecuador-11012862/
Ananas Sweet 1 Stk. (Elfenbeinküste);2,69;0;https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-elfenbeinkuste-11016398/
Ananas Sweet 1 Stk. (Ghana);2,69;0;https://www.goflink.com//de-DE/shop/product/ananas-sweet-kl-i-1-stk-ghana-11012863/
