productname;newprice;oldprice;link
Eat Happy Bowls Poké Bowl Vegan 503g;8,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-bowls-poke-bowl-vegan-503g-11016794/
Eat Happy Desserts Mochi Himbeere (Vegan) 64g (2 Stück);2,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-desserts-mochi-himbeere-vegan-64g-11014909/
Eat Happy Desserts Mochi Mango 64g (2 Stück);2,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-desserts-mochi-mango-64g-2-stuck-11015277/
Eat Happy Desserts Mochi Schokolade 64g (2 Stück);2,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-desserts-mochi-schokolade-64g-11014908/
Eat Happy Poké Bowl Lachs 490g;9,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-poke-bowl-lachs-490g-11016349/
Eat Happy Snacks Gyoza Hühnchen 100g;3,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-snacks-gyoza-huhnchen-100g-11014904/
Eat Happy Snacks Gyoza Vegan 100g;3,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-snacks-gyoza-vegan-100g-11014903/
Eat Happy Snacks Wakame Salat 130g;3,49;0;https://www.goflink.com//de-DE/shop/product/eat-happy-snacks-wakame-salat-130g-11014906/
Eat Happy Snacks Yakitory Spieße 132g;3,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-snacks-yakitory-spiesse-132g-11014907/
Eat Happy Sushi California Lachs Avocado 237g;7,49;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-california-lachs-avocado-237g-11014897/
Eat Happy Sushi California Spicy Salmon Crunch 266g;7,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-california-spicy-salmon-crunch-266g-11014899/
Eat Happy Sushi California Teriyaki Thunfisch 217g;7,49;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-california-teriyaki-thunfisch-217g-11014900/
Eat Happy Sushi Futo Nigiri Box 361g;10,49;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-futo-nigiri-box-361g-11014901/
Eat Happy Sushi Maki Avocado 102g;3,79;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-maki-avocado-102g-11014896/
Eat Happy Sushi Maki Gurke (Vegan) 102g;3,79;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-maki-gurke-vegan-102g-11014895/
Eat Happy Sushi Vegan Premium Box 384g;9,99;0;https://www.goflink.com//de-DE/shop/product/eat-happy-sushi-vegan-premium-box-384g-11014902/
Essstäbchen aus Bambus 1 Stk.;0,10;0;https://www.goflink.com//de-DE/shop/product/eat-happy-essstabchen-aus-bambus-1-stk-11015789/
Soja Sauce 1 Stk.;0,10;0;https://www.goflink.com//de-DE/shop/product/eat-happy-soja-sauce-1-stk-11015788/
Wasabi 1 Stk.;0,10;0;https://www.goflink.com//de-DE/shop/product/eat-happy-wasabi-1-stk-11015787/
Bauer Funken 1/2 Wrap Falafel 161g;2,99;0;https://www.goflink.com//de-DE/shop/product/bauer-funken-1-2-wrap-falafel-161g-11016035/
Bauer Funken Bagel Sesam-Cheese 220g;2,99;0;https://www.goflink.com//de-DE/shop/product/bauer-funken-bagel-sesam-cheese-220g-11016038/
Bauer Funken Bagel Sesam-Pute 190g;2,99;0;https://www.goflink.com//de-DE/shop/product/bauer-funken-bagel-sesam-pute-190g-11016036/
Bauer Funken Baguette natur Salami-Käse 290g;3,99;0;https://www.goflink.com//de-DE/shop/product/bauer-funken-baguette-natur-salami-kase-290g-11016045/
Bauer Funken Bircher Müsli mit Blaubeeren Becher 210g;2,99;0;https://www.goflink.com//de-DE/shop/product/bauer-funken-bircher-musli-mit-blaubeeren-becher-210g-11016044/
Bauer Funken Tomate Mozzarella Snack 190g;2,99;0;https://www.goflink.com//de-DE/shop/product/bauer-funken-tomate-mozzarella-snack-190g-11017446/
Beets & Roots Protein Bowl 450g;8,75;0;https://www.goflink.com//de-DE/shop/product/beets-and-roots-protein-bowl-690g-11012682/
Beets&Roots Chicken & Sweetpotato Bowl 470g;11,90;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-chicken-and-sweetpotato-bowl-470g-11016321/
Beets&Roots Falafel & Hummus Plate 400g;8,90;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-falafel-and-hummus-plate-400g-11017638/
Beets&Roots Feta & Squash Bowl 480g;9,90;0;https://www.goflink.com//de-DE/shop/product/beetsandroots-feta-and-squash-bowl-480g-11016322/
