productname;newprice;oldprice;link
SIMon mobile flex Simkarte mit 10€ Startguthaben;9,95;0;https://www.goflink.com//de-DE/shop/product/simon-mobile-flex-simkarte-mit-10eu-startguthaben-11017130/
o2 Prepaid M Simkarte mit 15€ Startguthaben;14,99;0;https://www.goflink.com//de-DE/shop/product/o2-prepaid-m-simkarte-mit-15eu-startguthaben-11017169/
o2 Prepaid S Simkarte mit 10€ Startguthaben;9,99;0;https://www.goflink.com//de-DE/shop/product/o2-prepaid-s-simkarte-mit-10eu-startguthaben-11017170/
Everdrop Küchenreiniger Starter-Set +1 Tab Ecocert;3,99;0;https://www.goflink.com//de-DE/shop/product/everdrop-kuchenreiniger-starter-set-1-tab-ecocert-11014861/
Everdrop Naturschwammtücher 2 Stk.;5,99;0;https://www.goflink.com//de-DE/shop/product/everdrop-naturschwammtucher-2-stk-11011773/
Finish Spezial Salz 1,2kg;1,79;0;https://www.goflink.com//de-DE/shop/product/finish-spezial-salz-1-2kg-11010682/
Finish Tabs Classic 35 Stk.;6,99;0;https://www.goflink.com//de-DE/shop/product/finish-tabs-classic-35er-11010683/
Finish Ultimate Reinigung und Glanz 25 Tabs;7,99;0;https://www.goflink.com//de-DE/shop/product/finish-ultimate-reinigung-und-glanz-25-tabs-11010684/
Frosch Geschirrspültabs Limonen 50 Tabs;9,99;0;https://www.goflink.com//de-DE/shop/product/frosch-geschirrspultabs-limonen-50-tabs-11014213/
Frosch Klarspüler 750 ml;2,29;0;https://www.goflink.com//de-DE/shop/product/frosch-klarspuler-750-ml-11014214/
Frosch Spülmittel Citrus 500ml;1,69;0;https://www.goflink.com//de-DE/shop/product/frosch-spulmittel-citrus-500ml-11010699/
Naiked Feste Spülseife Zitrus 80g;5,29;0;https://www.goflink.com//de-DE/shop/product/naiked-feste-spulseife-zitrus-80g-11013947/
Pril Kraft Gel Ultra Plus 450ml;1,79;0;https://www.goflink.com//de-DE/shop/product/pril-kraft-gel-ultra-plus-450ml-11015125/
Pril Spülmittel Original 675ml;1,89;0;https://www.goflink.com//de-DE/shop/product/pril-spulmittel-original-675ml-11013101/
Somat Spülmaschinenreiniger 12 Stück;8,49;0;https://www.goflink.com//de-DE/shop/product/somat-spulmaschinenreiniger-12-stuck-11015210/
Somat Spülmaschinensalz 1,2kg;1,79;0;https://www.goflink.com//de-DE/shop/product/somat-spulmaschinensalz-1-2kg-11015211/
Somat Tabs Classic 77 Stück;8,49;0;https://www.goflink.com//de-DE/shop/product/somat-tabs-all-in-1-77-stuck-11015201/
Somat Tabs Gold 48 Stück;9,99;0;https://www.goflink.com//de-DE/shop/product/somat-tabs-gold-48-stuck-11015412/
Toppits Allzweckbeutel Zipper 1L 12 Stück;2,49;0;https://www.goflink.com//de-DE/shop/product/toppits-allzweckbeutel-zipper-1l-12-stuck-11015208/
