productname;newprice;oldprice;link
Brodowin Bio Mozzarella 125g;1,79;0;https://www.goflink.com//de-DE/shop/product/brodowin-bio-mozzarella-125g-11012331/
Campania Bio Büffelmozzarella 52% 125g;2,99;0;https://www.goflink.com//de-DE/shop/product/campania-bio-buffelmozzarella-52-152g-11016385/
Feine Welt Burrata a. Apulien 100g;1,49;0;https://www.goflink.com//de-DE/shop/product/feine-welt-burrata-a-apulien-100g-11013586/
Galbani Mozzarella Mini 150g;1,99;0;https://www.goflink.com//de-DE/shop/product/galbani-mozzarella-mini-150g-11013474/
Marca Italia Mozzarella Bufala Mini 125g;1,79;0;https://www.goflink.com//de-DE/shop/product/marca-italia-mozzarella-bufala-mini-125g-11017262/
Marca Italia Mozzarella di Bufala 125g;1,79;0;https://www.goflink.com//de-DE/shop/product/marca-italia-buffelmozzarella-11013178/
Paolella Büffelburrata 200g;6,49;0;https://www.goflink.com//de-DE/shop/product/paolella-buffelburrata-200g-11014761/
Paolella Büffelmozzarella 125g;3,49;0;https://www.goflink.com//de-DE/shop/product/paolella-buffelmozzarella-125g-11014759/
Rewe Bio Mozzarella 45% 125g;0,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-mozzarella-45-125g-11013578/
Almette Frischkäse Kräuter 70% 150g;1,39;0;https://www.goflink.com//de-DE/shop/product/almette-frischkase-krauter-70-150g-11014129/
Almette Frischkäse Natur 150g;1,39;0;https://www.goflink.com//de-DE/shop/product/almette-frischkase-natur-150g-11014130/
Alpenhain Obazda 125g;2,09;0;https://www.goflink.com//de-DE/shop/product/alpenhain-obazda-125g-11013473/
Bresso Frischk. Kräuter der Provence 150g;2,19;0;https://www.goflink.com//de-DE/shop/product/bresso-frischk-krauter-der-provence-150g-11013462/
Brodowin Bio Frischkäse Gartenkräuter 40% 150g;1,69;0;https://www.goflink.com//de-DE/shop/product/brodowin-bio-frischkase-gartenkrauter-40-150g-11014604/
Brodowin Bio Frischkäse Natur 40% 150g;2,89;0;https://www.goflink.com//de-DE/shop/product/brodowin-bio-frischkase-natur-40-150g-11014607/
Brodowin Bio Frischkäse Pikante Kräuter 40% 150g;2,99;0;https://www.goflink.com//de-DE/shop/product/brodowin-bio-frischkase-pikante-krauter-40-150g-11014608/
Brodowin Bio Frischkäse Schnittlauch 40% 150g;2,89;0;https://www.goflink.com//de-DE/shop/product/brodowin-bio-frischkase-schnittlauch-40-150g-11014609/
Brodowin Bio Frischkäsezubereitung Pikante Kräuter 40% 150g;1,69;0;https://www.goflink.com//de-DE/shop/product/brodowin-bio-frischkasezubereitung-pikante-krauter-40-150g-11014605/
Buchette Ziegenfrischkäse mit Blüten 100g;2,99;0;https://www.goflink.com//de-DE/shop/product/buchette-ziegenfrischkase-mit-bluten-100g-11015154/
Buko Der Sahnige Frischkäse 200g;1,59;0;https://www.goflink.com//de-DE/shop/product/buko-der-sahnige-frischkase-200g-11014223/
Buko Gartenkräuter Frischkäse 200g;1,59;0;https://www.goflink.com//de-DE/shop/product/buko-gartenkrauter-frischkase-200g-11014222/
Chavroux Ziegenfrischk. Nat. 150g;2,69;0;https://www.goflink.com//de-DE/shop/product/chavroux-ziegenfrischk-nat-150g-11013589/
