productname;newprice;oldprice;link
Barilla Bolognese (Fleisch) 400g;3,49;0;https://www.goflink.com//de-DE/shop/product/barilla-bolognese-fleisch-400g-11010852/
Barilla Pasta Sauce Arrabbiata 400g;2,49;0;https://www.goflink.com//de-DE/shop/product/barilla-pasta-sauce-arrabbiata-400g-11010848/
Barilla Pasta Sauce Basilico 400g;2,49;0;https://www.goflink.com//de-DE/shop/product/barilla-pasta-sauce-basilico-400g-11010849/
Barilla Pesto Genovese 190g;3,29;0;https://www.goflink.com//de-DE/shop/product/barilla-pesto-genovese-190g-11011142/
Barilla Pesto Ricotta E Noci 190g;3,29;0;https://www.goflink.com//de-DE/shop/product/barilla-pesto-siciliana-190g-11010847/
Barilla Pesto Rosso 200g;3,29;0;https://www.goflink.com//de-DE/shop/product/barilla-pesto-rosso-200g-11010846/
Barilla Ricotta 400g;3,49;0;https://www.goflink.com//de-DE/shop/product/barilla-ricotta-400g-11010851/
Bernbacher Nudelsauce Bolognaise 170 ml;1,49;0;https://www.goflink.com//de-DE/shop/product/bernbacher-nudelsauce-bolognaise-170-ml-11015755/
Don Antonio - Sugo alla Neapoletana - VEGAN 480 ml;4,99;0;https://www.goflink.com//de-DE/shop/product/don-antonio-sugo-alla-neapoletana-vegan-480-ml-11013633/
Don Antonio - Sugo di Pomodoro - VEGAN 480 ml;4,99;0;https://www.goflink.com//de-DE/shop/product/don-antonio-sugo-di-pomodoro-vegan-480-ml-11013635/
G´schmackes Italienische Quinoa Bolognese (vegan) 400g;5,99;6,99;https://www.goflink.com//de-DE/shop/product/g-schmackes-italienische-quinoa-bolognese-400g-11016052/
Hanfpesto Basilikum 135g;3,99;0;https://www.goflink.com//de-DE/shop/product/hanfpesto-basilikum-135g-11015763/
Hanfpesto Steinpilz 135g;3,99;0;https://www.goflink.com//de-DE/shop/product/hanfpesto-steinpilz-135g-11015762/
Hofgut Stöcken MMHHH Bio-Rindfleischbolognese 330ml;5,99;0;https://www.goflink.com//de-DE/shop/product/hofgut-stocken-mmhhh-bio-rindfleischbolognese-330ml-11015704/
Käfer Sauce Bolognese 340g;7,95;0;https://www.goflink.com//de-DE/shop/product/kafer-sauce-bolognese-340g-11012770/
La Gallinara - Pesto Genovese - VEGAN 130g;4,49;0;https://www.goflink.com//de-DE/shop/product/la-gallinara-pesto-genovese-vegan-130g-11013626/
La Gallinara - Pesto Rosso - VEGAN 130g;4,49;0;https://www.goflink.com//de-DE/shop/product/la-gallinara-pesto-rosso-vegan-130g-11013627/
Appennino Food Schwarzes Trüffelöl 99ml;14,95;0;https://www.goflink.com//de-DE/shop/product/appennino-food-schwarzes-truffelol-11012794/
Appennino Food Weißes Trüffelöl 99ml;14,95;0;https://www.goflink.com//de-DE/shop/product/appennino-food-weisses-truffelol-11012793/
Bertolli Gentile Natives Olivenöl 500ml;5,99;0;https://www.goflink.com//de-DE/shop/product/bertolli-gentile-natives-olivenol-500ml-11010800/
