productname;newprice;oldprice;link
Gutfried Hähnchensalami 80g;1,59;0;https://www.goflink.com//de-DE/shop/product/gutfried-hahnchensalami-80g-11013690/
Wiltmann Geflügelsalami 80g;2,19;0;https://www.goflink.com//de-DE/shop/product/wiltmann-geflugelsalami-80g-11013706/
Aoste Stickado Walnuss 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/aoste-stickado-walnuss-70g-11013694/
BiFi Carazza 3x40g;2,29;0;https://www.goflink.com//de-DE/shop/product/bifi-carazza-3x40g-11013698/
BiFi Roll 3x45g;2,89;0;https://www.goflink.com//de-DE/shop/product/bifi-roll-3x45g-11013697/
Bifi 6er Pack;2,89;0;https://www.goflink.com//de-DE/shop/product/bifi-6er-pack-11011080/
Parmak Sucuk 250g;2,59;0;https://www.goflink.com//de-DE/shop/product/parmak-sucuk-250g-11014113/
Aoste Stickado Pikanto 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/aoste-stickado-pikanto-70g-11013695/
Aoste Stickado Salami Sticks Classique 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/aoste-stickado-salami-sticks-classique-70g-11013696/
Artysan Chorizo extra pikant 250g;3,99;0;https://www.goflink.com//de-DE/shop/product/artysan-chorizo-extra-pikant-250g-11017568/
Käfer Baguette Salami 150g;5,95;0;https://www.goflink.com//de-DE/shop/product/kafer-baguette-salami-150g-11012779/
Rewe Bio Geflügel Salami 70g;1,79;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-geflugel-salami-70g-11015687/
Rewe Bio Pfeffersalami 70g;1,89;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-pfeffersalami-70g-11015678/
Röhrs Altländer Mettwurst 70g;2,29;0;https://www.goflink.com//de-DE/shop/product/fruh-and-edel-altlander-mettwurst-70g-11016387/
Röhrs Chorizo 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/fruh-and-edel-chorizo-70g-11016382/
Röhrs Pfeffersalami 70g;2,99;0;https://www.goflink.com//de-DE/shop/product/fruh-and-edel-pfeffersalami-70g-11016379/
Vantastic Foods Sim Sa Lami Aufschnitt 80g;2,79;0;https://www.goflink.com//de-DE/shop/product/vantastic-foods-sim-sa-lami-aufschnitt-80g-11015804/
Veroni Salame Milano 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/veroni-salame-milano-70g-11014187/
Veroni Salami Napoli 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/veroni-salami-napoli-70g-11014186/
Veroni Spianata Romana 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/veroni-spianata-romana-70g-11014188/
Vinzenzmurr Landjäger 150g;2,59;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-landjager-150g-11014710/
Wiltmann Feinschmecker-Salami 80g;2,19;0;https://www.goflink.com//de-DE/shop/product/wiltmann-feinschmecker-salami-80g-11013705/
Biogreno Schinkenwürfel 150g;2,99;0;https://www.goflink.com//de-DE/shop/product/biogreno-schinkenwurfel-150g-11012023/
Campofrio Original Spanischer Serrano Schinken 80g;2,39;0;https://www.goflink.com//de-DE/shop/product/campofrio-original-spanischer-serrano-schinken-80g-11014737/
Citterio Prosciutto di Parma 70g;2,99;0;https://www.goflink.com//de-DE/shop/product/citterio-prosciutto-di-parma-70g-11013692/
Duroc Schinken 90g;4,29;0;https://www.goflink.com//de-DE/shop/product/duroc-schinken-90g-11017601/
Herta Breakfast Bacon Frühstücksspeck fein geräuchert 100g;2,19;0;https://www.goflink.com//de-DE/shop/product/herta-breakfast-bacon-fruhstucksspeck-fein-gerauchert-100g-11013700/
Herta Finesse Schinken Gegrillt 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/herta-finesse-schinken-gegrillt-100g-11011087/
Herta Finesse Schinken mit Belem Pfeffer 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/herta-finesse-schinken-mit-belem-pfeffer-100g-11014736/
Hofgut Delikatess Bierschinken 350g;2,19;0;https://www.goflink.com//de-DE/shop/product/hofgut-bierschinken-350g-11011086/
Marziale Bio Bresaola 80g;4,99;0;https://www.goflink.com//de-DE/shop/product/marziale-bio-bresaola-80g-11017278/
REWE Bio Bacon-Würfel Schwein 80g;1,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-bacon-wurfel-schwein-80g-11013122/
Rewe Bio Bacon 70g;1,79;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-bacon-70g-11015680/
Rewe Bio Bierschinken 70g;1,69;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-bierschinken-70g-11015675/
Rewe Bio Kochschinken 80g;2,79;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-kochschinken-80g-11015688/
Rewe Bio Schinkenwurst 70g;1,49;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-schinkenwurst-70g-11013702/
Rewe Bio Schwarzwälder Schinken 70g;2,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-schwarzwalder-schinken-70g-11015677/
Rügenwalder Kochschinken Zart 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/rugenwalder-kochschinken-zart-100g-11012202/
Steinhaus Pastrami New York Style 60g;2,29;0;https://www.goflink.com//de-DE/shop/product/steinhaus-pastrami-new-york-style-60g-11014733/
Tulip Bacon Scheiben 125g;1,39;1,99;https://www.goflink.com//de-DE/shop/product/tulip-bacon-scheiben-125g-11015104/
Veroni Antipasto in Scheiben 110g;3,49;0;https://www.goflink.com//de-DE/shop/product/veroni-antipasto-in-scheiben-110g-11014185/
Veroni Prosciutto Crudo 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/veroni-prosciutto-crudo-70g-11014184/
Vinzenzmurr Delikatess Wammerl  Roh Geräuchert 180g;3,29;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-delikatess-wammerl-roh-gerauchert-180g-11014712/
Vinzenzmurr Feiner Lendenschinken Roh Geräuchert 90g;2,39;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-feiner-lendenschinken-roh-gerauchert-11014711/
Wiesenhof Geflügel Bacon 80 g;1,69;0;https://www.goflink.com//de-DE/shop/product/wiesenhof-geflugel-bacon-80-g-11017593/
Houdek Leberkäse fein 100g;1,49;0;https://www.goflink.com//de-DE/shop/product/houdek-leberkase-fein-100g-11013703/
Lindörfer Fränkische Gelbwurst 250g;2,49;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-gelbwurst-250g-11017048/
Lindörfer Fränkische Hausmacher Stadtwurst  190g;2,99;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-hausmacher-stadtwurst-190g-11017039/
Lindörfer Fränkische Salami 350g;4,99;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-salami-350g-11017041/
Lindörfer Fränkischer Leberkäse  in Scheiben 300g;3,29;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankischer-leberkase-in-scheiben-300g-11017053/
Lindörfer Pizzaleberkäse  in Scheiben  300g;3,89;0;https://www.goflink.com//de-DE/shop/product/lindorfer-pizzaleberkase-in-scheiben-300g-11017056/
Marziale Bio Mortadella 80g;2,99;0;https://www.goflink.com//de-DE/shop/product/marziale-bio-mortadella-80g-11017276/
Rewe Baguette Salami 80g;1,79;0;https://www.goflink.com//de-DE/shop/product/rewe-baguette-salami-80g-11015679/
Rewe Bio Paprika Lyoner 70g;1,49;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-paprika-lyoner-70g-11015689/
Röhrs Jorker Luftgetrocknete Meetwurst 70g;2,49;0;https://www.goflink.com//de-DE/shop/product/fruh-and-edel-jorker-luftgetrocknete-meetwurst-70g-11016383/
Rügenwalder Mühle Vegetarische Schinkenspicker Mortadella 80g;1,49;0;https://www.goflink.com//de-DE/shop/product/rugenwalder-muhle-vegetarische-schinkenspicker-80g-11011106/
Rügenwalder Vegane Mühlensalami 80g;1,49;0;https://www.goflink.com//de-DE/shop/product/rugenwalder-vegane-muhlensalami-80g-11013603/
Rügenwalder veganer Schnittlauch Schinken Spicker 80g;1,49;0;https://www.goflink.com//de-DE/shop/product/rugenwalder-veg-schnittlauch-schinken-spicker-80g-11013504/
Vinzenzmurr Gelbwurst 200g;2,19;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-gelbwurst-200g-11014701/
Vinzenzmurr Original Münchner Leberkäs 300g;3,19;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-original-munchner-leberkas-11014697/
Vinzenzmurr Original Münchner Leberkäs geschnitten 100g;1,49;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-original-munchner-leberkas-geschnitten-11014700/
Vinzenzmurr Pizzaleberkäs 300g;3,29;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-pizzaleberkas-11014699/
Vinzenzmurr Weißer Leberkäs mit Kalbfleisch 300g;3,29;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-weisser-leberkas-mit-kalbfleisch-11014698/
Wiesenhof Geflügel Salami 100g;1,79;0;https://www.goflink.com//de-DE/shop/product/wiesenhof-geflugel-salami-100g-11013721/
"Gutfried Hähnchen Lyoner ""Buffet"" 80g";1,29;0;https://www.goflink.com//de-DE/shop/product/gutfried-hahnchen-lyoner-buffet-80g-11014825/
Gutfried Hähnchensalami 80g;1,59;0;https://www.goflink.com//de-DE/shop/product/gutfried-hahnchensalami-80g-11013690/
Herta Finesse Ofengebackene Hähnchenbrust 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/herta-finesse-ofengegrillte-hahnchenbrust-100g-11011088/
Herta Finesse Pute mit Honig 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/herta-finesse-pute-mit-honig-100g-11011090/
Herta Finesse Putenbrust Gegrillt 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/herta-finesse-putenbrust-gegrillt-100g-11011089/
Herta Finesse Putenbrust Geräuchert 100g;2,49;0;https://www.goflink.com//de-DE/shop/product/herta-finesse-putenbrust-gerauchert-100g-11014735/
Röhrs Putenbrust 90g;2,99;0;https://www.goflink.com//de-DE/shop/product/fruh-and-edel-putenbrust-90g-11016381/
Wiltmann BIO Geflügel Lyoner 80g;1,99;0;https://www.goflink.com//de-DE/shop/product/wiltmann-bio-geflugel-lyoner-80g-11014179/
Wiltmann Geflügelsalami 80g;2,19;0;https://www.goflink.com//de-DE/shop/product/wiltmann-geflugelsalami-80g-11013706/
