productname,size,newprice,oldprice,link
Alpro Not Mlk Haferdrink 3.5% 1l,1l,"1,49","1,99",https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-3-5-1l-11013647/
Magnum Almond Remix 255ml (3x85ml),3x85ml,"2,79","3,69",https://www.goflink.com//de-DE/shop/product/magnum-almond-remix-255ml-3x85ml-11017414/
Mitsuba Thai Chili Crispies 85g,85g,"1,55","1,99",https://www.goflink.com//de-DE/shop/product/mitsuba-thai-chili-crispies-85g-11014142/
Alpro Not Mlk Haferdrink 1.8% 1l,1l,"1,49","1,99",https://www.goflink.com//de-DE/shop/product/alpro-not-mlk-haferdrink-1-8-1l-11013646/
Arla Butter Kaergarden Gesalzen 250g,250g,"1,99","3,29",https://www.goflink.com//de-DE/shop/product/arla-butter-kaergarden-gesalzen-250g-11010166/
Arla Butter Kaergarden Ungesalzen 250g,250g,"1,99","3,29",https://www.goflink.com//de-DE/shop/product/arla-kaergarden-ungesalzen-250g-11010167/
Arla Kaergarden Bio 200g,200g,"1,99","3,29",https://www.goflink.com//de-DE/shop/product/arla-kargarden-bio-200g-11017625/
Curry 36 Berliner Currywurst mit Darm 5x85g,5x85g,"4,99","5,59",https://www.goflink.com//de-DE/shop/product/curry-36-berliner-currywurst-mit-darm-5x85g-11016914/
Curry 36 Berliner Currywurst ohne Darm 5x85g,5x85g,"4,99","5,59",https://www.goflink.com//de-DE/shop/product/curry-36-berliner-currywurst-ohne-darm-5x85g-11016911/
Dauerbrenner Rostbratwurst im ESC 6x100g,6x100g,"5,99","7,29",https://www.goflink.com//de-DE/shop/product/dauerbrenner-rostbratwurst-im-esc-6x100g-11016913/
Foodspring Protein Cookie Chocolate Chip 50g,50g,"1,99","2,49",https://www.goflink.com//de-DE/shop/product/protein-cookie-chocolate-chip-50g-11011246/
Foodspring Protein Cookie White Chocolate Almond 50g,50g,"1,99","2,49",https://www.goflink.com//de-DE/shop/product/protein-cookie-white-chocolate-almond-50g-11011247/
Garnier Wahre Schätze Honig Schätze Shampoo 250ml,250ml,"1,99","2,39",https://www.goflink.com//de-DE/shop/product/garnier-wahre-schatze-honig-schatze-shampoo-250ml-11017663/
Garnier Wahre Schätze Honig Schätze Spülung 200ml,200ml,"1,99","2,39",https://www.goflink.com//de-DE/shop/product/garnier-wahre-schatze-honig-schatze-spulung-200ml-11017664/
Leibniz Choco Black & White 125g,125g,"1,15","1,59",https://www.goflink.com//de-DE/shop/product/leibniz-choco-black-and-white-125g-11017849/
Leibniz Choco Vollmilch 125g,125g,"1,15","1,59",https://www.goflink.com//de-DE/shop/product/bahlsen-leibniz-choco-vollmilch-125g-11011267/
Leibniz Mini-Schoko-Keks 125g,125g,"1,15","1,59",https://www.goflink.com//de-DE/shop/product/bahlsen-leibniz-mini-schoko-keks-125g-11010894/
Leibniz Minis Black'n White 125g,125g,"1,15","1,59",https://www.goflink.com//de-DE/shop/product/leibniz-minis-blackn-white-125g-11017140/
Lillet Rosé Aperitif 17% vol. 0.75l,"0,75l","12,99","15,49",https://www.goflink.com//de-DE/shop/product/lillet-rose-aperitif-17-0-75l-11012028/
Lillet Weiß Aperitif 17% vol. 0.75l,"0,75l","12,99","15,49",https://www.goflink.com//de-DE/shop/product/lillet-weiss-aperitif-17-0-75l-11012027/
Marziale Lasagna Bolognese 400g,400g,"4,22","4,69",https://www.goflink.com//de-DE/shop/product/marziale-lasagna-bolognese-400g-11017272/
Marziale Trancetto Roll Tiramisù 180g,180g,"3,59","3,99",https://www.goflink.com//de-DE/shop/product/marziale-trancetto-roll-tiramisu-180g-11017271/
Mitsuba Wasabi Peanut Crunch & Crispies 100g,100g,"1,55","1,99",https://www.goflink.com//de-DE/shop/product/mitsuba-wasabi-peanut-crunch-100g-11014143/
Mitsuba Wasabi Peanut Crunch 125g,125g,"1,55","1,99",https://www.goflink.com//de-DE/shop/product/mitsuba-wasabi-peanut-crunch-125g-11014762/
Paulaner Original Münchner hell 0.5l,"0,5l","0,89","1,09",https://www.goflink.com//de-DE/shop/product/paulaner-original-munchner-hell-0-5l-11014047/
Volvic Naturell 1.5l,"1,5l","0,79","1,29",https://www.goflink.com//de-DE/shop/product/volvic-naturell1-5l-11010364/
3Bears Porridge Exotische Früchte 400g,400g,"1,50","4,99",https://www.goflink.com//de-DE/shop/product/3bears-porridge-exotische-fruchte-400g-11011588/
5 GUM Wassermelone 35 Dragees,Dragees,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/5-gum-wassermelone-35-dragees-11015264/
5 Gum Spearmint 8 Stk.,Stk.,"0,30","0,99",https://www.goflink.com//de-DE/shop/product/5-gum-spearmint-8-stk-11012005/
7 Days Bake Rolls Brot Chips Knoblauch 250g,250g,"0,45","1,49",https://www.goflink.com//de-DE/shop/product/7-days-bake-rolls-brot-chips-knoblauch-250g-11012008/
Alpro Cashew Drink 1l,1l,"0,78","2,59",https://www.goflink.com//de-DE/shop/product/alpro-cashew-drink-1l-11015283/
Alpro Haselnuss Drink 1l,1l,"1,44","2,89",https://www.goflink.com//de-DE/shop/product/alpro-haselnuss-drink-1l-11015282/
Alpro Mandeldrink 1l,1l,"0,87","2,89",https://www.goflink.com//de-DE/shop/product/alpro-mandel-drink-1l-11010201/
Altenburger Ziegen-Camembert 50% 200g,200g,"1,20","3,99",https://www.goflink.com//de-DE/shop/product/altenburger-ziegen-camembert-50-200g-11013588/
Altos Ibericos Torres Rioja DOCa. 0.75l,"0,75l","7,34","10,49",https://www.goflink.com//de-DE/shop/product/altos-ibericos-torres-0-75l-11015499/
Apple Externe MagSafe Batterie für iPhone Series12/13,Series12/13,"87,20","109,00",https://www.goflink.com//de-DE/shop/product/apple-externe-magsafe-batterie-fur-iphone-series12-13-11015471/
Augustiner Edelstoff 0.5l,"0,5l","1,19",0,https://www.goflink.com//de-DE/shop/product/augustiner-edelstoff-0-5l-11011711/
Aurora Roggenmehl Type 1150 1kg,1kg,"1,99",0,https://www.goflink.com//de-DE/shop/product/aurora-roggenmehl-type-1150-1kg-11015078/
BOTEANICALS No. 3 Bio grüne Minze-Rosmarin-Zitronenschale 80g,80g,"6,30","20,99",https://www.goflink.com//de-DE/shop/product/boteanicals-no-3-grune-minze-rosmarin-zitronenschale-80g-11016353/
BOTEANICALS No. 53 Bio Grüntee Sencha-Kurkuma-Maracuja 100g,100g,"6,30","20,99",https://www.goflink.com//de-DE/shop/product/boteanicals-no-53-gruntee-sencha-kurkuma-maracuja-100g-11016354/
BOTEANICALS No. 63 Bio Kamille-Lavendel-Bourbon Vanille 50g,50g,"6,30","20,99",https://www.goflink.com//de-DE/shop/product/boteanicals-no-63-kamille-lavendel-bourbon-vanille-50g-11016352/
BRAINEFFECT Hemp 5 Hanföl 10ml,10ml,"9,30","30,99",https://www.goflink.com//de-DE/shop/product/braineffect-hemp-5-hanfol-11012688/
BRLO German IPA 0.33l,"0,33l","0,99","1,99",https://www.goflink.com//de-DE/shop/product/brlo-german-ipa-7-0-0-33l-11011646/
Bacardi Cola 10% vol. Dose 0.33l,"0,33l","0,84","2,79",https://www.goflink.com//de-DE/shop/product/bacardi-cola-10-330ml-11012515/
Bad Dove Verwöhnendes Cremebad 750ml,750ml,"0,90","2,99",https://www.goflink.com//de-DE/shop/product/bad-dove-verwohnendes-cremebad-750ml-11015405/
Bad Reichenhaller Jodsalz Fluorid+Folsäure 500g,500g,"0,99",0,https://www.goflink.com//de-DE/shop/product/bad-reichenhaller-jodsalz-fluorid-folsaure-500g-11010822/
Badekristalle Kneipp Tiefenentspannung 60g,60g,"0,39","1,29",https://www.goflink.com//de-DE/shop/product/kneipp-badekristalle-tiefenentspannung-11014546/
Badeöl Kneipp Gesundheit Rückenwohl 100ml,100ml,"4,49",0,https://www.goflink.com//de-DE/shop/product/kneipp-gesundheitsbad-ruckenwohl-100ml-11014550/
Badeöl Kneipp Tiefenentspanung 100ml,100ml,"1,35","4,49",https://www.goflink.com//de-DE/shop/product/kneipp-badeol-tiefenentspannung-100ml-11014551/
Baetter Baking Bio-Backmischung Lebkuchen (glutenfrei) 355g,355g,"1,50","4,99",https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-lebkuchen-glutenfrei-355g-11015171/
Bahlsen Ohne Gleichen Vollmilch 125g,125g,"1,83","2,29",https://www.goflink.com//de-DE/shop/product/bahlsen-ohne-gleichen-vollmilch-125g-11015288/
Barebells Protein Bar Double Bite Caramel Crisp 55g,55g,"2,15","2,69",https://www.goflink.com//de-DE/shop/product/barebells-protein-bar-double-bite-caramel-crisp-55g-11015916/
Barilla Collezione Casarecce Kichererbsen 250g,250g,"0,99","3,29",https://www.goflink.com//de-DE/shop/product/barilla-collezione-casarecce-500g-11013066/
Becks Blue alkoholfrei 0.33l,"0,33l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/becks-blue-alkoholfrei-0-33l-11011172/
Becks Gold 0.33l,"0,33l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/becks-gold-4-9-0-33l-11010005/
Becks Green Lemon 0.33l,"0,33l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/becks-green-lemon-2-5-330ml-11013452/
Becks Pils 0.33l,"0,33l","0,71","0,89",https://www.goflink.com//de-DE/shop/product/becks-pils-4-9-0-33l-11010004/
Becks unfiltered 0.33l,"0,33l","0,27","0,89",https://www.goflink.com//de-DE/shop/product/becks-unfiltered-330ml-11013389/
