productname;newprice;oldprice;link
Nestlé Cini Minis 625g;4,99;0;https://www.goflink.com//de-DE/shop/product/nestle-cini-minis-625g-11012342/
Nestlé Lions Cereals 675g;4,99;0;https://www.goflink.com//de-DE/shop/product/675g-nestle-lions-cereals-675g-11012343/
Nestlé Nesquik Knusper Frühstück 625g;4,99;0;https://www.goflink.com//de-DE/shop/product/nestle-nesquik-knusper-fruhstuck-625g-11015352/
3Bears Porridge Exotische Früchte 400g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/3bears-porridge-exotische-fruchte-400g-11011588/
3Bears Porridge Feiner Kakao 400g;4,99;0;https://www.goflink.com//de-DE/shop/product/3bears-porridge-feiner-kakao-400g-11011585/
3Bears Porridge Kerniger Klassiker 400g;3,99;0;https://www.goflink.com//de-DE/shop/product/3bears-porridge-kerniger-klassiker-400g-11011587/
3Bears Porridge Zimtiger Apfel 400g;4,99;0;https://www.goflink.com//de-DE/shop/product/3bears-porridge-zimtiger-apfel-400g-11011586/
Dr. Oetker Vitalis Joghurt-Müsli 600g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-vitalis-joghurt-musli-600g-11013018/
Dr. Oetker Vitalis Knusper-Müsli Klassisch 600g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-vitalis-knusper-musli-600g-11010283/
Dr. Oetker Vitalis Knusper-Müsli Plus Double Choc 450g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-vitalis-knusper-plus-double-choc-450g-11010281/
Dr. Oetker Vitalis Knusper-Müsli Plus Nussmischung 450g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-vitalis-knusper-plus-nussmischung-450g-11010282/
Dr. Oetker Vitalis Knusper-Müsli Schoko Weniger Süß 500g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-vitalis-knusper-schoko-weniger-suss-500g-11010279/
Kölln Beeriges Haferporrige 375g;2,99;0;https://www.goflink.com//de-DE/shop/product/kolln-beeriges-haferporrige-375g-11010294/
Kölln Bio Dinkelflocken Zart 450g;3,39;0;https://www.goflink.com//de-DE/shop/product/kolln-bio-dinkelflocken-zart-450g-11010286/
Kölln Bio Haferflocken Kernig 500g;2,19;0;https://www.goflink.com//de-DE/shop/product/kolln-bio-haferflocken-kernig-500g-11010287/
Kölln Bio Haferflocken Zart 500g;2,19;0;https://www.goflink.com//de-DE/shop/product/kolln-bio-haferflocken-zart-500g-11010288/
Kölln Bio Multikorn Fleks Klassik 300g;2,89;0;https://www.goflink.com//de-DE/shop/product/kolln-bio-multikorn-fleks-klassik-300g-11012073/
Kölln Hafer-Porridge Früchte 375g;2,99;0;https://www.goflink.com//de-DE/shop/product/kolln-fruchtiges-haferporrige-375g-11010289/
Kölln Haferflocken Glutenfrei 500g;2,99;0;https://www.goflink.com//de-DE/shop/product/kolln-haferflocken-glutenfrei-500g-11010291/
Kölln Müsli Bircher Frucht 500g;3,49;0;https://www.goflink.com//de-DE/shop/product/kolln-musli-bircher-frucht-500g-11015361/
Kölln Müsli Schoko 30% weniger Zucker 600g;3,49;0;https://www.goflink.com//de-DE/shop/product/kolln-musli-schoko-30-weniger-zucker-600g-11015360/
Kölln Vollkorn Müsli Früchte 500g;3,49;0;https://www.goflink.com//de-DE/shop/product/kolln-fruchte-vollkorn-musli-500g-11010290/
Lycka Granola Himbeere Erdbeere Bio 350g;3,99;0;https://www.goflink.com//de-DE/shop/product/lycka-granola-himbeere-erdbeere-bio-350g-11013533/
Lycka Granola Schoko Nuss Bio 350g;3,99;0;https://www.goflink.com//de-DE/shop/product/lycka-granola-schoko-nuss-bio-350g-11013532/
Naturally PAM Nut Clusters. Peanut Cinnamon 90g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/naturally-pam-nut-clusters-peanut-cinnamon-90g-11014440/
REWE Bio 5-Korn-Müsli 1kg;2,49;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-5-korn-musli-1kg-11015359/
mymuesli Bio Berry-Müsli 575g;9,29;0;https://www.goflink.com//de-DE/shop/product/mymuesli-bio-berry-musli-575g-11011309/
mymuesli Bio Berry-White-Choc-Müsli 575g;4,64;9,29;https://www.goflink.com//de-DE/shop/product/mymuesli-bio-berry-white-choc-musli-575g-11011311/
mymuesli Bio Blueberry-Müsli 575g;9,29;0;https://www.goflink.com//de-DE/shop/product/mymuesli-bio-blueberry-musli-575g-11011310/
mymuesli Bio Super-Choc-Müsli 575g;3,94;7,89;https://www.goflink.com//de-DE/shop/product/mymuesli-bio-super-choc-musli-575g-11011308/
mymuesli Choco Brownie 575g;4,14;8,29;https://www.goflink.com//de-DE/shop/product/mymuesli-choco-brownie-575g-11015358/
mymuesli Low Sugar Choco 575g;6,71;8,39;https://www.goflink.com//de-DE/shop/product/mymuesli-low-sugar-choco-575g-11015356/
mymuesli Low Sugar Strawberry Cassis 575g;4,19;8,39;https://www.goflink.com//de-DE/shop/product/mymuesli-low-sugar-strawberry-cassis-575g-11015357/
mymuesli2go Flink-Müsli Go Nuts Bio 85g;1,99;0;https://www.goflink.com//de-DE/shop/product/mymuesli2go-bio-flink-musli-85g-11015674/
Bionella 400g;3,99;0;https://www.goflink.com//de-DE/shop/product/bionella-400g-11015362/
Cay Gourmet Haselnuss-Milchcreme 330g;2,99;0;https://www.goflink.com//de-DE/shop/product/cay-gourmet-haselnuss-milchcreme-330g-11015944/
Cay Gourmet Haselnuss-Milchcreme mit Kakao 330g;2,99;0;https://www.goflink.com//de-DE/shop/product/cay-gourmet-haselnuss-milchcreme-mit-kakao-330g-11015952/
Davert Bio Cashewmus 250g;2,52;8,39;https://www.goflink.com//de-DE/shop/product/davert-bio-cashewmus-250g-11013784/
Davert Tahin Sesammus Bio 250g;3,19;3,99;https://www.goflink.com//de-DE/shop/product/davert-tahin-sesammus-bio-250g-11013781/
Davert braunes Mandelmus Bio 250g;3,64;7,29;https://www.goflink.com//de-DE/shop/product/davert-braunes-mandelmus-bio-250g-11013782/
Davert weißes Mandelmus Bio 250g;2,52;8,39;https://www.goflink.com//de-DE/shop/product/davert-weisses-mandelmus-bio-250g-11013783/
Jeff's Peanut Butter Creamy 350g;2,59;0;https://www.goflink.com//de-DE/shop/product/peanutbutter-creamy-350g-11010303/
Jeff's Peanut Butter Crunchy 350g;2,59;0;https://www.goflink.com//de-DE/shop/product/peanut-butter-crunchy-350g-11011936/
Milka Haselnusscreme 350g;2,59;0;https://www.goflink.com//de-DE/shop/product/milka-haselnusscreme-350g-11010299/
Monki Cashewmus  330g;6,99;0;https://www.goflink.com//de-DE/shop/product/monki-cashewmus-330g-11012538/
Monki Mandelmus  330g;9,99;0;https://www.goflink.com//de-DE/shop/product/monki-mandelmus-330g-11012539/
Monki Tahin Sesammus ohne Salz  330g;4,69;0;https://www.goflink.com//de-DE/shop/product/monki-tahin-ohne-meersalz-330g-11012540/
Naughty Nuts Bio Cashewmus Smooth 250g;7,99;0;https://www.goflink.com//de-DE/shop/product/naughty-nuts-bio-cashewmus-smooth-250g-11016968/
Naughty Nuts Bio Erdnussmus Cacao Crunch 250g;6,99;0;https://www.goflink.com//de-DE/shop/product/naughty-nuts-bio-erdnussmus-cacao-crunch-250g-11016966/
Naughty Nuts Bio Erdnussmus Salted Caramel 250g;6,99;0;https://www.goflink.com//de-DE/shop/product/naughty-nuts-bio-erdnussmus-salted-caramel-250g-11016969/
Naughty Nuts Bio Erdnussmus Smooth 250g;4,99;0;https://www.goflink.com//de-DE/shop/product/naughty-nuts-bio-erdnussmus-smooth-250g-11016965/
Naughty Nuts Bio Haselnussmus Choco Crush 250g;7,99;0;https://www.goflink.com//de-DE/shop/product/naughty-nuts-bio-haselnussmus-choco-crush-250g-11016967/
Naughty Nuts Bio Mandelmus Smooth 250g;7,99;0;https://www.goflink.com//de-DE/shop/product/naughty-nuts-bio-mandelmus-smooth-250g-11016970/
Nudossi 400g;3,69;0;https://www.goflink.com//de-DE/shop/product/nudossi-400g-11016312/
Nutella 450g;2,99;0;https://www.goflink.com//de-DE/shop/product/nutella-450g-11010301/
Nutella 750g;4,29;0;https://www.goflink.com//de-DE/shop/product/nutella-750g-11017352/
Ovomaltine Crunch Cream Palmölfrei 380g;3,79;0;https://www.goflink.com//de-DE/shop/product/ovomaltine-crunch-creme-palmolfrei-380g-11010302/
Rigoni di Asiago Nocciolata Bio Nuss-Nougat-Aufstrich 270g;4,99;0;https://www.goflink.com//de-DE/shop/product/rigoni-di-asiago-nocciolata-bio-nuss-nougat-aufstrich-270g-11015363/
Veganz Bio Schoko-Creme vegan 400g;3,99;0;https://www.goflink.com//de-DE/shop/product/veganz-bio-schoko-creme-vegan-400g-11017515/
Zentis Nusspli Nuss-Nougat-Creme 400g;2,29;0;https://www.goflink.com//de-DE/shop/product/zentis-nusspli-nuss-nougat-creme-400g-11017212/
foodspring Peanut Butter 250g;4,99;0;https://www.goflink.com//de-DE/shop/product/peanut-butter-250g-11011225/
foodspring Protein Cream Cocos Crisp 200g;4,99;0;https://www.goflink.com//de-DE/shop/product/protein-cream-cocos-crisp-200g-11011248/
foodspring Protein Cream Haselnuss & Whey Duo 200g;4,99;0;https://www.goflink.com//de-DE/shop/product/protein-cream-haselnuss-and-whey-duo-200g-11011249/
foodspring Protein Cream Haselnuss 200g;4,99;0;https://www.goflink.com//de-DE/shop/product/protein-cream-haselnuss-200g-11011226/
Bonne Maman Erdbeer-Konfitüre 370g;2,99;0;https://www.goflink.com//de-DE/shop/product/bonne-maman-erdbeer-konfiture-370g-11016826/
Bonne Maman Erdbeer-Walderdbeer-Konfitüre 370g;0,90;2,99;https://www.goflink.com//de-DE/shop/product/bonne-maman-erdbeer-walderdbeer-konfiture-370g-11011935/
Bonne Maman Heidelbeer-Konfitüre 370g;2,99;0;https://www.goflink.com//de-DE/shop/product/bonne-maman-heidelbeer-konfiture-370g-11014488/
Bonne Maman Himbeer-Konfitüre 370g;2,99;0;https://www.goflink.com//de-DE/shop/product/bonne-maman-himbeer-konfiture-370g-11014486/
Bonne Maman Pfirsich-Konfitüre 370g;2,99;0;https://www.goflink.com//de-DE/shop/product/bonne-maman-pfirsich-konfiture-370g-11014487/
Darbo Naturrein Garten Erdbeereen Konfitüre Extra 225g;1,99;0;https://www.goflink.com//de-DE/shop/product/darbo-naturrein-garten-erdbeere-225g-11010270/
Flink Bio Apfel-Rosine-Zimt Aufstrich 160g;2,89;0;https://www.goflink.com//de-DE/shop/product/flink-organic-apfel-rosine-zimt-160g-11014750/
Flink Bio Erdbeer-Holunderblüte Aufstrich 160g;2,89;0;https://www.goflink.com//de-DE/shop/product/flink-organic-erdbeere-holunder-160g-11014625/
Flink Bio Kirsch-Banane Aufstrich 160g;2,89;0;https://www.goflink.com//de-DE/shop/product/flink-organic-kirsch-banane-160g-11014627/
Flink Bio Kirsch-Schoko Aufstrich 160g;2,89;0;https://www.goflink.com//de-DE/shop/product/flink-organic-kirsch-schoko-160g-11014626/
Flink Bio Orangen Aufstrich 160g;2,89;0;https://www.goflink.com//de-DE/shop/product/flink-organic-orange-160g-11014624/
Hannah & Paula's Cheers Cabernet Sauvignon 150g;2,19;7,29;https://www.goflink.com//de-DE/shop/product/hannah-and-paulas-cheers-cabernet-sauvignon-150g-11014845/
Hannah & Paula's Cheers Chardonnay 150g;2,19;7,29;https://www.goflink.com//de-DE/shop/product/hannah-and-paulas-cheers-chardonnay-150g-11014841/
Hannah & Paula's Cheers Merlot 150g;2,19;7,29;https://www.goflink.com//de-DE/shop/product/hannah-and-paulas-cheers-merlot-150g-11014842/
Hannah & Paula's Cheers Pinot Grigio 150g;2,19;7,29;https://www.goflink.com//de-DE/shop/product/hannah-and-paulas-cheers-pinot-grigio-150g-11014843/
Hannah & Paula's Cheers Rosé 150g;2,19;7,29;https://www.goflink.com//de-DE/shop/product/hannah-and-paulas-cheers-rose-150g-11014844/
Hannah & Paula's Glühwein Aufstrich 150g;2,19;7,29;https://www.goflink.com//de-DE/shop/product/hannah-and-paulas-gluhwein-aufstrich-150g-11014846/
Mövenpick Gourmet-Frühstück Mango-Marille Fruchtaufstrich 250g;2,49;0;https://www.goflink.com//de-DE/shop/product/movenpick-gourmet-fruhstuck-mango-marille-fruchtaufstrich-250g-11014489/
