productname,size,newprice,oldprice,link
Bebivita Frucht Riegel Apfel Banane 25g,25g,"0,39",0,https://www.goflink.com//de-DE/shop/product/bebivita-frucht-riegel-apfel-banane-25g-11010098/
Bebivita Frucht Riegel Apfel Birne 25g,25g,"0,39",0,https://www.goflink.com//de-DE/shop/product/bebivita-frucht-riegel-apfel-birne-11010099/
Bebivita Frucht Riegel Maxi 35g,35g,"0,79",0,https://www.goflink.com//de-DE/shop/product/bebivita-frucht-riegel-maxi-11010100/
Bebivita Kinderschorle Birne und Apfel 3x200ml,3x200ml,"1,59",0,https://www.goflink.com//de-DE/shop/product/bebivita-kinderschorle-birne-und-apfel-3x200ml-11015555/
Bebivita Quetschie Erdbeere in Apfel und Birne 4x90g,4x90g,"2,59",0,https://www.goflink.com//de-DE/shop/product/bebivita-quetschie-erdbeere-in-apfel-und-birne-4x90g-11015557/
Bebivita Quetschie Gartenfrüchte 4x90g,4x90g,"2,59",0,https://www.goflink.com//de-DE/shop/product/bebivita-quetschie-gartenfruchte-4x90g-11015558/
Bebivita Saft Frucht und Eisen 500ml,500ml,"0,99",0,https://www.goflink.com//de-DE/shop/product/bebivita-saft-frucht-und-eisen-500ml-11015559/
Freche Freunde Bio Brezeln mit Kichererbse 75g,75g,"1,49",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-brezeln-mit-kichererbse-75g-11015395/
Freche Freunde Bio Chips Apfel-Blaubeer 16g,16g,"2,29",0,https://www.goflink.com//de-DE/shop/product/erdbar-freche-freunde-bio-chips-apfel-blaubeer-16g-11013008/
Freche Freunde Bio Fruchtchips Beerenmix 10g,10g,"2,29",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-fruchtchips-beerenmix-10g-11015393/
Freche Freunde Bio Fruchtchips Erdbeere 12g,12g,"2,29",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-chips-erdbeere-12g-11010084/
Freche Freunde Bio Knusper Flips Karotte 30g,30g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-knusper-flips-karotte-30g-11015398/
Freche Freunde Bio Quetschie Banane. Apfel und Himbeere 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-banane-apfel-und-himbeere-100g-11010089/
Freche Freunde Bio Quetschie Birne Passionsfrucht 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-birne-passionsfrucht-100g-11010086/
Freche Freunde Bio Quetschie Blaubeere 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-blaubeere-100g-11010087/
Freche Freunde Bio Quetschie Freches Frühstück 4x100g,4x100g,"3,49",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-freches-fruhstuck-4x100g-11015397/
Freche Freunde Bio Quetschie Joghurt Erdbeere 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-joghurt-erdbeere-100g-11010090/
Freche Freunde Bio Quetschie Kokosnuss 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-kokosnuss-100g-11010092/
Freche Freunde Bio Quetschie Pfirsich 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-pfirsich-100g-11010093/
Freche Freunde Bio Quetschie Spinat Gurke 100g,100g,"0,99",0,https://www.goflink.com//de-DE/shop/product/freche-freunde-bio-quetschie-spinat-gurke-100g-11010094/
