productname;newprice;oldprice;link
Aurora Dinkelmehl Type 630 1kg;2,29;0;https://www.goflink.com//de-DE/shop/product/aurora-dinkelmehl-type-630-1kg-11017656/
Aurora Pizzamehl 1kg;1,99;0;https://www.goflink.com//de-DE/shop/product/aurora-pizzamehl-1kg-11010128/
Aurora Roggenmehl Type 1150 1kg;1,99;0;https://www.goflink.com//de-DE/shop/product/aurora-roggenmehl-type-1150-1kg-11015078/
Aurora Sonnenstern-Grieß Hartweizen 0.5kg;1,39;0;https://www.goflink.com//de-DE/shop/product/aurora-sonnenstern-griess-hartweizen-0-5kg-11015079/
Aurora Sonnenstern-Grieß Weichweizen 0.5kg;1,39;0;https://www.goflink.com//de-DE/shop/product/aurora-sonnenstern-griess-weichweizen-0-5kg-11015080/
Aurora Weizen-Mehl Type 550 1kg;1,49;0;https://www.goflink.com//de-DE/shop/product/aurora-weizen-mehl-type-550-1kg-11010130/
Aurora Weizenmehl Type 405 Klassik 1kg;1,29;0;https://www.goflink.com//de-DE/shop/product/aurora-weizenmehl-type-405-klassik-1kg-11013162/
Borchers Mandelmehl teilentölt 200g;7,29;0;https://www.goflink.com//de-DE/shop/product/borchers-mandelmehl-teilentolt-200g-11015269/
Campo Verde demeter Bio Dinkelmehl Typ 630 1kg;1,20;3,99;https://www.goflink.com//de-DE/shop/product/campo-verde-demeter-bio-dinkelmehl-typ-630-1kg-11013010/
Diamant Vollkorndinkelmehl 1kg;1,99;0;https://www.goflink.com//de-DE/shop/product/diamant-vollkorndinkelmehl-1kg-11013333/
Kathi Weizenmehl Type 550 1kg;1,69;0;https://www.goflink.com//de-DE/shop/product/kathi-weizenmehl-type-550-1kg-11017657/
Leimer Paniermehl 400g;1,39;0;https://www.goflink.com//de-DE/shop/product/leimer-paniermehl-400g-11011927/
REWE Bio Dinkel-Vollkornmehl 1kg;1,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-dinkel-vollkornmehl-1kg-11015087/
REWE Bio Dinkelmehl Type 630 1kg;1,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-dinkelmehl-type-630-1kg-11015088/
REWE Bio Weizenmehl Type 550 1kg;0,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-weizenmehl-type-550-1kg-11015253/
Rosenmehl Weizenmehl Type 405 1kg;1,49;0;https://www.goflink.com//de-DE/shop/product/rosenmehl-weizenmehl-type-405-1kg-11015254/
Schär Mix it Universal Mehl Glutenfrei 1kg;3,99;0;https://www.goflink.com//de-DE/shop/product/schar-mix-it-universal-mehl-glutenfrei-1kg-11015090/
Bio Gourmet Kokosraspeln 250g;1,11;3,69;https://www.goflink.com//de-DE/shop/product/bio-gourmet-kokosraspeln-250g-11015545/
Davert Bio Kakao Nibs 180g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/davert-bio-kakao-nibs-180g-11013148/
Dr. Oetker Backfeste Puddingcreme 40g;0,27;0,89;https://www.goflink.com//de-DE/shop/product/dr-oetker-backfeste-puddingcreme-40g-11015336/
Dr. Oetker Backin Backpulver 10x16g;0,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-backin-backpulver-10er-11010159/
Dr. Oetker Blattgelatine Weiß 6er Pack;1,09;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-blattgelatine-weiss-6er-pack-11015337/
Dr. Oetker Bourbon Vanille Paste 50g;1,20;3,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-bourbon-vanille-paste-50g-11015081/
Dr. Oetker Bourbon Vanille-Extrakt 35ml;0,90;2,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-bourbon-vanille-extrakt-35ml-11013140/
Dr. Oetker Butter-Vanille-Aroma 4er Pack;0,30;0,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-butter-vanille-aroma-4er-pack-11015249/
Dr. Oetker Finesse Geriebene Zitronenschale 18g;0,30;0,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-finesse-geriebene-zitronenschale-18g-11015250/
Dr. Oetker Haselnüsse gemahlen 100g;0,87;2,89;https://www.goflink.com//de-DE/shop/product/dr-oetker-haselnusse-gemahlen-100g-11015251/
Dr. Oetker Hefe 4er Pack 28g;0,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-hefe-4er-pack-28g-11015082/
Dr. Oetker Kakao Zum Backen 100g;2,29;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-kakao-zum-backen-100g-11011928/
Dr. Oetker Kuvertüre Vollmilch 150g;0,60;1,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-kuverture-vollmilch-150g-11011858/
Dr. Oetker Kuvertüre Zartbitter 150g;0,60;1,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-kuverture-zartbitter-150g-11011859/
Dr. Oetker Mandeln Gemahlen 100g;0,84;2,79;https://www.goflink.com//de-DE/shop/product/dr-oetker-mandeln-gemahlen-100g-11015084/
Dr. Oetker Mandeln gehackt 100g;0,84;2,79;https://www.goflink.com//de-DE/shop/product/dr-oetker-mandeln-gehackt-100g-11015083/
Dr. Oetker Mohn Back 250g;0,78;2,59;https://www.goflink.com//de-DE/shop/product/dr-oetker-mohn-back-250g-11015085/
Dr. Oetker Sahnesteif 5er Pack;0,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-sahnesteif-5er-pack-11010160/
Dr. Oetker Schoko-Tröpfchen 75g;1,79;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-schoko-tropfchen-75g-11015343/
Dr. Oetker Tortenguss Klar Ungezuckert 3er Pack;0,30;0,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-tortenguss-klar-3er-11010156/
Dr. Oetker Tortenguss Rot Ungezuckert 3er Pack;0,30;0,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-tortenguss-rot-3er-11010157/
Dr. Oetker Vanillinzucker 10er Pack;0,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-vanillinzucker-10er-11010158/
Dr. Oetker Zucker Streusel 130g;1,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-zucker-streusel-130g-11015252/
Milram Dessert-Soße Vanille 500ml;1,32;1,89;https://www.goflink.com//de-DE/shop/product/milram-dessert-sosse-vanille-500ml-11015693/
Mondamin Feine Speisestärke Glutenfrei 400g;1,69;0;https://www.goflink.com//de-DE/shop/product/mondamin-feine-speisestarke-glutenfrei-400g-11015086/
P&W Röstzwiebeln 150g;1,39;0;https://www.goflink.com//de-DE/shop/product/pandw-rostzwiebeln-150g-11015529/
REWE Beste Wahl Bourbon-Vanilleschoten 2 Stück;3,49;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-bourbon-vanilleschoten-2-stuck-11015270/
REWE Beste Wahl Kardamom gemahlen 25g;1,89;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-kardamom-gemahlen-25g-11014448/
REWE Beste Wahl Zimt gemahlen 45g;1,69;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-zimt-gemahlen-45g-11014449/
REWE Bio Bourbon Vanille Zucker 4x8g;3,49;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-bourbon-vanille-zucker-4x8g-11013137/
RUF Agartine Bio 2x15g;0,45;1,49;https://www.goflink.com//de-DE/shop/product/ruf-agartine-bio-2x15g-11013321/
RUF Bunte Crispies 100g;0,39;1,29;https://www.goflink.com//de-DE/shop/product/ruf-bunte-crispies-100g-11013325/
Borchers Erythrit Streusüße 400g;2,49;4,99;https://www.goflink.com//de-DE/shop/product/borchers-erythrit-streususse-400g-11015334/
Borchers Stevia-Streusüße 75g;0,81;2,69;https://www.goflink.com//de-DE/shop/product/borchers-stevia-streususse-75g-11015335/
Diamant Feinster Zucker 1kg;1,59;0;https://www.goflink.com//de-DE/shop/product/diamant-feinster-zucker-1kg-11013338/
Diamant Puderzucker im Streuer 250g;1,29;0;https://www.goflink.com//de-DE/shop/product/diamant-puderzucker-im-streuer-250g-11013337/
Nordzucker Puderzucker-Streudose 125g;1,29;0;https://www.goflink.com//de-DE/shop/product/nordzucker-puderzucker-streudose125g-11010148/
REWE Bio Agavendicksaft 250ml;1,79;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-agavendicksaft-250ml-11013088/
REWE Bio Ahornsirup 250ml;4,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-ahornsirup-250ml-11013089/
REWE Bio Rohrohrzucker 500g;2,29;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-rohrohrzucker-500g-11015089/
Sweet Family Brauner Zucker 1kg;1,99;0;https://www.goflink.com//de-DE/shop/product/sweet-family-brauner-zucker-1kg-11015094/
Sweet Family Feiner Zucker 1kg;1,39;0;https://www.goflink.com//de-DE/shop/product/sweet-family-feiner-zucker-1kg-11011282/
Sweet Family Puderzucker 250g;0,79;0;https://www.goflink.com//de-DE/shop/product/sweet-family-puderzucker-250g-11012972/
Sweet Family Rohrzucker 1kg;2,59;0;https://www.goflink.com//de-DE/shop/product/sweet-family-rohrzucker-1kg-11013011/
Südzucker Brauner Zucker 500g;1,69;0;https://www.goflink.com//de-DE/shop/product/sudzucker-brauner-zucker-500g-11015091/
Südzucker Puderzucker 250g;0,69;0;https://www.goflink.com//de-DE/shop/product/sudzucker-puderzucker-250g-11015092/
Südzucker Raffinade fein 1kg;1,39;0;https://www.goflink.com//de-DE/shop/product/sudzucker-raffinade-fein-1kg-11015093/
Dr. Oetker Mousse au Chocolat 92g;1,69;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-mousse-au-chocolat-92g-11015341/
Dr. Oetker Puddingpulver Schokoladen Geschmack 3er Pack;0,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-schokolade-pudding-3er-11010144/
Dr. Oetker Puddingpulver Vanille Geschmack 3er Pack;0,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-pudding-vanille-3er-11010143/
Dr. Oetker Seelenwärmer Gourmet Schoko 90g;1,29;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-seelenwarmer-gourmet-schoko-90g-11010141/
Dr. Oetker Seelenwärmer Gourmet Vanille 55g;1,29;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-seelenwarmer-gourmet-vanille-55g-11010142/
Dr. Oetker Seelenwärmer Schoko 99g;0,39;1,29;https://www.goflink.com//de-DE/shop/product/dr-oetker-seelenwarmer-schoko-99g-11010139/
Dr. Oetker Seelenwärmer Vanille 75g;0,39;1,29;https://www.goflink.com//de-DE/shop/product/dr-oetker-seelenwarmer-vanille-75g-11010140/
Mondamin Grießbrei 89g;1,09;0;https://www.goflink.com//de-DE/shop/product/mondamin-griessbrei-2-3-port-11010133/
Mondamin Kaiserschmarrn 135g;1,09;0;https://www.goflink.com//de-DE/shop/product/mondamin-kaiserschmarrn-11010134/
Mondamin Pfannkuchen-Teig 200g;1,99;0;https://www.goflink.com//de-DE/shop/product/mondamin-pfannkuchen-teig-200g-11010136/
RUF Bio Pudding Schokolade 92g;0,30;0,99;https://www.goflink.com//de-DE/shop/product/ruf-bio-pudding-schokolade-92g-11013326/
Baetter Baking Bio-Backmischung Apfel-Zimtschnecken Vegan 395g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-apfel-zimtschnecken-355g-11015172/
Baetter Baking Bio-Backmischung Banana Bread Vegan 355g;4,99;0;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-banana-bread-glutenfrei-355g-11015168/
Baetter Baking Bio-Backmischung Carrot Cake Vegan 425g;4,99;0;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-carrot-cake-vegan-425g-11015770/
Baetter Baking Bio-Backmischung Hafer Cookies Vegan 345g;4,99;0;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-hafer-cookies-glutenfrei-355g-11015169/
Baetter Baking Bio-Backmischung Lebkuchen (glutenfrei) 355g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-lebkuchen-glutenfrei-355g-11015171/
Baetter Baking Bio-Backmischung Pancakes Vegan 100g;1,99;0;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-pancakes-vegan-100g-11017152/
Baetter Baking Bio-Backmischung Schoko Muffins Vegan 425g;4,99;0;https://www.goflink.com//de-DE/shop/product/baetter-baking-bio-backmischung-schoko-muffins-355g-11015170/
Dr. Oetker Backmischung Käsekuchen 600g;0,78;2,59;https://www.goflink.com//de-DE/shop/product/dr-oetker-kasekuchen-600g-11010119/
Dr. Oetker Brownies 462g;2,69;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-brownies-456g-11015248/
Dr. Oetker Cheesecake American Style Lemon 355g;1,20;3,99;https://www.goflink.com//de-DE/shop/product/dr-oetker-cheesecake-american-style-lemon-355g-11015338/
Dr. Oetker Muffins 370g;2,49;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-muffins-370g-11015342/
Dr. Oetker Zitronenkuchen 485g;2,49;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-zitronenkuchen-485g-11015344/
Mondamin Pizza-Teig 460g;0,60;1,99;https://www.goflink.com//de-DE/shop/product/mondamin-pizza-teig-11010137/
Snacklust Vegane-Backmischung Double Chocolate Chip Cookies by Shanti 350g;1,80;5,99;https://www.goflink.com//de-DE/shop/product/snacklust-vegane-backmischung-double-chocolate-chip-cookies-by-shanti-350g-11015287/
Snacklust Vegane-Backmischung Healthy Fudgy Almond Brownies 260g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/snacklust-vegane-backmischung-healthy-fudgy-almond-brownies-260g-11015285/
Snacklust Vegane-Backmischung Salty Peanut Cookies 350g;1,50;4,99;https://www.goflink.com//de-DE/shop/product/snacklust-vegane-backmischung-salty-peanut-cookies-350g-11015286/
