productname,size,newprice,oldprice,link
Lindörfer Curry-Putensteak mariniert  2 Stk. 360g,360g,"4,99",0,https://www.goflink.com//de-DE/shop/product/lindorfer-curry-putenschnitzel-mariniert-2-stk-360g-11017055/
Bio Hähnchen- Innenfilet mariniert ca. 350g,350g,"12,59",0,https://www.goflink.com//de-DE/shop/product/bio-hahnchen-innenfilet-mariniert-ca-350g-11017099/
Bio Hähnchen- Innenfilet natur ca. 350g,350g,"11,99",0,https://www.goflink.com//de-DE/shop/product/bio-hahnchen-innenfilet-natur-ca-350g-11017100/
Bio Hähnchenbrust Gulasch ca. 300g,300g,"11,49",0,https://www.goflink.com//de-DE/shop/product/bio-hahnchenbrust-gulasch-ca-300g-11015830/
Bio Hähnchenbrustfilet Ohne Haut ca.300g,ca.300g,"9,99",0,https://www.goflink.com//de-DE/shop/product/mecklenburger-bio-hahnchenbrustfilet-ohne-haut-ca-380g-11014668/
Bio Putenbrust Gulasch ca. 300g,300g,"11,49",0,https://www.goflink.com//de-DE/shop/product/bio-putenbrust-gulasch-ca-300g-11015831/
Geflügelaufschnitt 3 fach sortiert 100g,100g,"1,49",0,https://www.goflink.com//de-DE/shop/product/geflugelaufschnitt-3-fach-sortiert-100g-11017879/
Lindörfer Fondue-Würfel  von der Putenbrust 350g,350g,"4,49",0,https://www.goflink.com//de-DE/shop/product/lindorfer-fondue-wurfel-von-der-putenbrust-350g-11017051/
Mecklenburger Bio Hähnchenkeulen HKL A ca.500g,ca.500g,"12,59",0,https://www.goflink.com//de-DE/shop/product/mecklenburger-bio-hahnchenkeulen-hkl-a-ca-600g-11014669/
Pollo Fino Bio Hähnchensteaks Natur ca.400g,ca.400g,"9,19",0,https://www.goflink.com//de-DE/shop/product/mecklenburger-bio-hahnchensteaks-natur-3-stuck-ca-400g-11014667/
Wiesenhof Geflügel Mortadella 100g,100g,"1,39",0,https://www.goflink.com//de-DE/shop/product/wiesenhof-geflugel-mortadella-100g-11015111/
Wilhelm Brandenburg Hähnchen Gyros gewürzt 500g,500g,"4,99",0,https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchen-gyros-gewurzt-500g-11014875/
Wilhelm Brandenburg Hähnchen Innenbrustfilet 350g,350g,"4,99",0,https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchen-innenbrustfilet-350g-11014868/
Wilhelm Brandenburg Hähnchen Innenfilet Kräuter 300g,300g,"4,69",0,https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchen-innenfilet-krauter-300g-11017302/
Wilhelm Brandenburg Hähnchen Ober- und Unterflügel 400g,400g,"2,59",0,https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchen-ober-und-unterflugel-400g-11014877/
Wilhelm Brandenburg Hähnchenflügel 400g,400g,"2,59",0,https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchenflugel-400g-11014876/
Wilhelm Brandenburg Puten Innenfilet geschnitten 400g,400g,"6,79",0,https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-puten-innenfilet-geschnetzelt-400g-11014872/
Bio Rindergeschnetzeltes aus der Keule ca.500g,ca.500g,"9,99",0,https://www.goflink.com//de-DE/shop/product/bio-rindergeschnetzeltes-aus-der-keule-ca-500g-11013827/
Bio Rindergulasch aus der Keule ca.500g,ca.500g,"9,99",0,https://www.goflink.com//de-DE/shop/product/bio-rindergulasch-aus-der-keule-ca-500g-11013826/
Deutsche Rinderfiletspitzen ca. 250g,250g,"8,39",0,https://www.goflink.com//de-DE/shop/product/deutsche-rinderfiletspitzen-ca-200g-11017096/
Deutsches Rinderfiletsteak ca. 200g,200g,"17,99",0,https://www.goflink.com//de-DE/shop/product/deutsches-rinderfiletsteak-ca-250g-11017095/
Dry Aged Entrecôte ca.300g,ca.300g,"13,89",0,https://www.goflink.com//de-DE/shop/product/dry-age-entrecote-ca-300g-11013820/
Dry Aged Rumpsteak ca.300g,ca.300g,"9,99",0,https://www.goflink.com//de-DE/shop/product/dry-age-roastbeef-ca-300g-11013821/
Kalbsrückensteak 2x ca. 100g,100g,"9,39",0,https://www.goflink.com//de-DE/shop/product/kalbsruckensteak-2x-ca-100g-11015828/
Lindörfer Gereiftes Bullenroastbeef 2 Stk. 360g,360g,"12,59",0,https://www.goflink.com//de-DE/shop/product/lindorfer-gereiftes-bullenroastbeef-2-stk-360g-11017047/
Lindörfer Rinder-Fonduewürfel 350g,350g,"5,99",0,https://www.goflink.com//de-DE/shop/product/lindorfer-rinder-fonduewurfel-350g-11017054/
Lindörfer Rinder-Wokstreifen Geschnetzeltes 350g,350g,"5,99",0,https://www.goflink.com//de-DE/shop/product/lindorfer-rinder-wokstreifen-geschnetzeltes-350g-11017057/
Rinder Wokstreifen ca. 250g,250g,"5,99",0,https://www.goflink.com//de-DE/shop/product/rinder-wokstreifen-ca-250g-11015829/
Vinzenzmurr Dry Aged Rinderentrecote 230g,230g,"12,49",0,https://www.goflink.com//de-DE/shop/product/vinzenzmurr-dry-aged-rinderentrecote-230g-11014692/
Vinzenzmurr Dry Aged Rinderfilet 230g,230g,"17,49",0,https://www.goflink.com//de-DE/shop/product/vinzenzmurr-dry-aged-rinderfilet-230g-11014691/
Vinzenzmurr Kalbsschnitzel a.d. Oberschale 320g,320g,"5,99",0,https://www.goflink.com//de-DE/shop/product/vinzenzmurr-kalbsschnitzel-a-d-oberschale-320g-11014695/
Vinzenzmurr Lammhüftsteak Mariniert 300g,300g,"7,99",0,https://www.goflink.com//de-DE/shop/product/vinzenzmurr-lammhuftsteak-mariniert-360g-11014696/
Vinzenzmurr Rindergulasch vom Schlegel 500g,500g,"8,79",0,https://www.goflink.com//de-DE/shop/product/vinzenzmurr-rindergulasch-vom-schlegel-500g-11014689/
Dry Aged Rinder Burger 180g,180g,"2,99",0,https://www.goflink.com//de-DE/shop/product/dry-aged-rinder-burger-180g-11016686/
Rewe Bio Bratwurst grob 300g,300g,"5,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-bratwurst-grob-300g-11014874/
Bio Hackfleisch gemischt ca.500g,ca.500g,"8,39",0,https://www.goflink.com//de-DE/shop/product/bio-hackfleisch-gemischt-ca-500g-11013828/
Bio Rinderhackfleisch ca.500g,ca.500g,"8,39",0,https://www.goflink.com//de-DE/shop/product/bio-rinderhackfleisch-ca-500g-11013825/
Rewe Bio Hackfleisch gemischt 400g,400g,"7,49",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-hackfleisch-gemischt-400g-11014870/
Rewe Bio Rinderhackfleisch 250g,250g,"4,79",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-rinderhackfleisch-250g-11014871/
Rewe Bio Rinderhackfleisch 400g,400g,"7,49",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-rinderhackfleisch-400g-11014867/
Rewe Bio Rindfleischburger 2 Stk. 250g,250g,"4,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-rindleischburger-250g-11016113/
Rewe Bio Rindfleischburger 2x100g,2x100g,"3,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-rindfleischburger-2x100g-11016691/
Crusta Nova Die Frische Bayerische Garnele 250g,250g,"19,90",0,https://www.goflink.com//de-DE/shop/product/crusta-nova-die-frische-bayerische-garnele-250g-11016917/
Crusta Nova Ora-King-Lachs Kalt Geräuchert 100g,100g,"13,59",0,https://www.goflink.com//de-DE/shop/product/crusta-nova-ora-king-lachs-kalt-gerauchert-100g-11016916/
Deutsche See Bio Lachsfilet mit Haut 200g,200g,"6,79",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-bio-lachsfilet-mit-haut-200g-11015600/
Deutsche See Crevette Rosé 250g,250g,"3,99",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-crevette-rose-250g-11013410/
Deutsche See Lachsfilet Kräuter-Knoblauch 250g,250g,"5,79",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-lachsfilet-krauter-knoblauch-250g-11013953/
Deutsche See Lachsfilet mit Haut 250g,250g,"5,79",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-lachsfilet-250g-11013408/
Deutsche See Lachsstremel 120g,120g,"5,79",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-lachsstremel-120g-11013412/
Deutsche See Räuchergarnele 120g,120g,"4,79",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-rauchergarnele-120g-11013413/
Deutsche See Räucherlachs 100g,100g,"4,69",0,https://www.goflink.com//de-DE/shop/product/deutsche-see-raucherlachs-100g-11013411/
Krone Cocktail Garnelen 125g,125g,"3,29",0,https://www.goflink.com//de-DE/shop/product/krone-cocktail-garnelen-125g-11016377/
Krone Räucher-Lachs 150g,150g,"4,99",0,https://www.goflink.com//de-DE/shop/product/krone-raucher-lachs-150g-11013146/
Käfer Räucherlachs in Scheiben 100g,100g,"7,95",0,https://www.goflink.com//de-DE/shop/product/kafer-raucherlachs-in-scheiben-100g-11012775/
Nadler Heringstopf Dillhappen 300g,300g,"2,99",0,https://www.goflink.com//de-DE/shop/product/nadler-heringstopf-dillhappen-300g-11017891/
Nadler Sahneheringsfilet 170g,170g,"1,99",0,https://www.goflink.com//de-DE/shop/product/nadler-sahneheringsfilet-170g-11016378/
Osetra Kaviar 10g,10g,"19,99",0,https://www.goflink.com//de-DE/shop/product/osetra-kaviar-11015504/
Perlmutt Löffel (1 Stk.),Stk.,"4,99",0,https://www.goflink.com//de-DE/shop/product/perlmutt-loffel-11015506/
Rewe Bio Stremellachs 100g,100g,"4,99",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-stremellachs-100g-11017598/
Rewe Bio Stremellachs Pfeffer 100g,100g,"4,49",0,https://www.goflink.com//de-DE/shop/product/rewe-bio-stremellachs-pfeffer-100g-11017599/
Rewe Graved Lachs mit Sauce 2x50g,2x50g,"3,99",0,https://www.goflink.com//de-DE/shop/product/rewe-graved-lachs-mit-sauce-2x50g-11017600/
Royal Kaviar 10g,10g,"29,99",0,https://www.goflink.com//de-DE/shop/product/royal-kaviar-11015505/
Dry Age Schweinekamm ca.400g,ca.400g,"7,99",0,https://www.goflink.com//de-DE/shop/product/schwabisch-hallischer-schweinekamm-ca-400g-11013829/
Dry Age Schweinelachs ca.400g,ca.400g,"7,99",0,https://www.goflink.com//de-DE/shop/product/schwabisch-hallischer-schweinelachs-ca-400g-11013814/
Dry Age Schweinennackensteak mariniert ca.400g,ca.400g,"7,99",0,https://www.goflink.com//de-DE/shop/product/schwabisch-hallische-schweinenackensteaks-mar-ca-400g-11013819/
