productname;newprice;oldprice;link
Berliner Bratwurst Fein im Schweinedarm  3x90g;3,89;0;https://www.goflink.com//de-DE/shop/product/berliner-bratwurst-fein-im-schweinedarm-3x90g-11016915/
Bio Hähnchen- Innenfilet mariniert ca. 350g;12,59;0;https://www.goflink.com//de-DE/shop/product/bio-hahnchen-innenfilet-mariniert-ca-350g-11017099/
Curry 36 Berliner Currywurst mit Darm 5x85g;4,99;5,59;https://www.goflink.com//de-DE/shop/product/curry-36-berliner-currywurst-mit-darm-5x85g-11016914/
Curry 36 Berliner Currywurst ohne Darm 5x85g;4,99;5,59;https://www.goflink.com//de-DE/shop/product/curry-36-berliner-currywurst-ohne-darm-5x85g-11016911/
Dauerbrenner Rostbratwurst im ESC 6x100g;5,99;7,29;https://www.goflink.com//de-DE/shop/product/dauerbrenner-rostbratwurst-im-esc-6x100g-11016913/
Deutsches Rinderfiletsteak ca. 200g;17,99;0;https://www.goflink.com//de-DE/shop/product/deutsches-rinderfiletsteak-ca-250g-11017095/
Dry Aged Entrecôte ca.300g;13,89;0;https://www.goflink.com//de-DE/shop/product/dry-age-entrecote-ca-300g-11013820/
Dry Aged Rinder Burger 180g;2,99;0;https://www.goflink.com//de-DE/shop/product/dry-aged-rinder-burger-180g-11016686/
Dry Aged Rumpsteak ca.300g;9,99;0;https://www.goflink.com//de-DE/shop/product/dry-age-roastbeef-ca-300g-11013821/
Feine Welt Chorizo 220g;2,49;0;https://www.goflink.com//de-DE/shop/product/feine-welt-chorizo-220g-11017260/
Grillido Bratwurst Gourmet-Mix 240g;4,49;0;https://www.goflink.com//de-DE/shop/product/grillido-bratwurst-gourmet-mix-240g-11012860/
Herthas Herzige Grobe Rostbratwurst m. Kräutern 3x100g;3,99;0;https://www.goflink.com//de-DE/shop/product/herthas-herzige-grobe-rostbratwurst-m-krautern-3x100g-11016912/
I ♡ Mauldasch Grill-Maultaschen in Curry-Marinade 300g;5,69;0;https://www.goflink.com//de-DE/shop/product/i-mauldasch-5x-grillmaultaschen-curry-300g-11017552/
I ♡ Mauldasch Grill-Maultaschen in Texas-Marinade 300g;5,69;0;https://www.goflink.com//de-DE/shop/product/i-mauldasch-5x-grillmaultaschen-texas-300g-11017551/
Käfer Nürnberger Rostbratwurst 210g;3,95;0;https://www.goflink.com//de-DE/shop/product/kafer-nurnberger-rostbratwurst-210g-11012767/
Lindörfer Curry-Putensteak mariniert  2 Stk. 360g;4,99;0;https://www.goflink.com//de-DE/shop/product/lindorfer-curry-putenschnitzel-mariniert-2-stk-360g-11017055/
Lindörfer Fränkische Bratwurst roh  4 Stk. 280g;3,99;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-bratwurst-roh-4-stk-280g-11017045/
Lindörfer Fränkische Grillbratwurst 6 Stk. 240g;3,69;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-grillbratwurst-6-stk-240g-11017040/
Lindörfer Fränkische Kräuter-Halssteaks mariniert 2 Stk. 360g;4,69;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-krauter-halssteaks-mariniert-2-stk-360g-11017049/
Lindörfer Fränkische Paprika-Bauchscheiben mariniert 2 Stk.  300g;3,99;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-paprika-bauchscheiben-mariniert-2-stk-300g-11017046/
Lindörfer Fränkische Paprika-Halssteaks mariniert 2 Stk.  360g;4,69;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-paprika-halssteaks-mariniert-2-stk-360g-11017050/
Lindörfer Fränkische Rostbratwürstchen Nürnberger Art roh 10 Stk. 300g;4,39;0;https://www.goflink.com//de-DE/shop/product/lindorfer-frankische-rostbratwurstchen-nurnberger-art-roh-10-stk-300g-11017042/
Lindörfer Gereiftes Bullenroastbeef 2 Stk. 360g;12,59;0;https://www.goflink.com//de-DE/shop/product/lindorfer-gereiftes-bullenroastbeef-2-stk-360g-11017047/
Nothwang Berner Griller 300g;4,99;0;https://www.goflink.com//de-DE/shop/product/nothwang-berner-griller-300g-11017125/
Nothwang Chili-Knacker 270g;3,69;0;https://www.goflink.com//de-DE/shop/product/nothwang-chili-knacker-270g-11017072/
Nothwang Feuerkrainer 200g;2,99;0;https://www.goflink.com//de-DE/shop/product/nothwang-feuerkrainer-200g-11017068/
Nothwang Grill-Krakauer 250g;3,69;0;https://www.goflink.com//de-DE/shop/product/nothwang-grill-krakauer-250g-11017073/
Nothwang Rote Knackwurst 270g;3,69;0;https://www.goflink.com//de-DE/shop/product/nothwang-rote-knackwurst270g-11017070/
Nothwang Tiroler Würstchen 200g;3,49;0;https://www.goflink.com//de-DE/shop/product/nothwang-tiroler-wurstchen-200g-11017074/
Pollo Fino Bio Hähnchensteaks Natur ca.400g;9,19;0;https://www.goflink.com//de-DE/shop/product/mecklenburger-bio-hahnchensteaks-natur-3-stuck-ca-400g-11014667/
REWE Beste Wahl Angus Burger 300g (2x125g);3,99;0;https://www.goflink.com//de-DE/shop/product/rewe-beste-wahl-angus-burger-300g-2x125g-11016088/
Rewe Bio Bacon 70g;1,79;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-bacon-70g-11015680/
Rewe Bio Rindfleischburger 2 Stk. 250g;4,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-rindleischburger-250g-11016113/
Rewe Bio Rindfleischburger 2x100g;3,99;0;https://www.goflink.com//de-DE/shop/product/rewe-bio-rindfleischburger-2x100g-11016691/
Tulip Bacon Scheiben 125g;2,39;0;https://www.goflink.com//de-DE/shop/product/tulip-bacon-scheiben-125g-11015104/
Vinzenzmurr Dry Aged Rinderentrecote 230g;12,49;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-dry-aged-rinderentrecote-230g-11014692/
Vinzenzmurr Dry Aged Rinderfilet 230g;17,49;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-dry-aged-rinderfilet-230g-11014691/
Vinzenzmurr Mini Rostbratwurst 200g;3,49;0;https://www.goflink.com//de-DE/shop/product/vinzenzmurr-mini-rostbratwurst-200g-11014704/
Wilhelm Brandenburg Hähnchen Innenbrustfilet 350g;4,99;0;https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchen-innenbrustfilet-350g-11014868/
Wilhelm Brandenburg Hähnchenflügel 400g;2,59;0;https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-hahnchenflugel-400g-11014876/
Wilhelm Brandenburg Puten Innenfilet geschnitten 400g;6,79;0;https://www.goflink.com//de-DE/shop/product/wilhelm-brandenburg-puten-innenfilet-geschnetzelt-400g-11014872/
Deutsche See Bio Lachsfilet mit Haut 200g;6,79;0;https://www.goflink.com//de-DE/shop/product/deutsche-see-bio-lachsfilet-mit-haut-200g-11015600/
Deutsche See Lachsfilet Kräuter-Knoblauch 250g;5,79;0;https://www.goflink.com//de-DE/shop/product/deutsche-see-lachsfilet-krauter-knoblauch-250g-11013953/
Deutsche See Lachsfilet mit Haut 250g;5,79;0;https://www.goflink.com//de-DE/shop/product/deutsche-see-lachsfilet-250g-11013408/
