productname;newprice;oldprice;link
De Cecco Fusilli 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-fusilli-500g-11010765/
De Cecco Rigatoni 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-rigatoni-500g-11010763/
De Cecco Spaghetti n°12 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-spaghetti-500g-11010762/
De Cecco Fusilli 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-fusilli-500g-11010765/
De Cecco Rigatoni 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-rigatoni-500g-11010763/
De Cecco Spaghetti n°12 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-spaghetti-500g-11010762/
3 Glocken Die mag ich Buchstaben 250g;1,39;0;https://www.goflink.com//de-DE/shop/product/3-glocken-die-mag-ich-buchstaben-250g-11015483/
3 Glocken Genuss Pur Bandnudeln 500g;1,79;0;https://www.goflink.com//de-DE/shop/product/3-glocken-genuss-pur-bandnudeln-500g-11015482/
Barilla Casarecce de pois chiches Kichererbsen 250g;2,99;0;https://www.goflink.com//de-DE/shop/product/barilla-casarecce-de-pois-chiches-kichererbsen-250g-11013595/
Barilla Collezione Casarecce Kichererbsen 250g;0,99;3,29;https://www.goflink.com//de-DE/shop/product/barilla-collezione-casarecce-500g-11013066/
Barilla Collezione Farfalle 500g;2,49;0;https://www.goflink.com//de-DE/shop/product/barilla-collezione-farfalle-500g-11013238/
Barilla Collezione Lasagneblätter 500g;2,49;0;https://www.goflink.com//de-DE/shop/product/barilla-collezione-lasagneblatter-500g-11012122/
Barilla Fusilli 500g;1,89;0;https://www.goflink.com//de-DE/shop/product/barilla-fusilli-500g-11010758/
Barilla Fusilli de lentilles corail Rote Linsen 250g;3,19;0;https://www.goflink.com//de-DE/shop/product/barilla-fusilli-de-lentilles-corail-rote-linsen-250g-11013065/
Barilla Integrale Vollkorn Penne Rigate 500g;2,19;0;https://www.goflink.com//de-DE/shop/product/barilla-integrale-vollkorn-penne-rigate-500g-11011264/
Barilla Maccheroni 500g;1,89;0;https://www.goflink.com//de-DE/shop/product/barilla-maccheroni-500g-11010759/
Barilla Pasta Nudeln Penne glutenfrei 400g;2,99;0;https://www.goflink.com//de-DE/shop/product/barilla-pasta-nudeln-penne-glutenfrei-400g-11013908/
Barilla Pasta Nudeln Spaghetti glutenfrei 400g;2,99;0;https://www.goflink.com//de-DE/shop/product/barilla-pasta-nudeln-spaghetti-glutenfrei-400g-11013909/
Barilla Penne Rigate 500g;1,89;0;https://www.goflink.com//de-DE/shop/product/barilla-penne-rigate-500g-11010757/
Barilla Spaghetti n.5 500g;1,89;0;https://www.goflink.com//de-DE/shop/product/barilla-spaghetti-n-5-500g-11010761/
Bernbacher Bio Dinkel große Spirale 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/bernbacher-bio-dinkel-grosse-spirale-500g-11015751/
Bernbacher Die Guten Hörnchen 250g;0,89;0;https://www.goflink.com//de-DE/shop/product/bernbacher-die-guten-hornchen-250g-11015753/
Bernbacher Die Guten Pfiffli 250g;0,89;0;https://www.goflink.com//de-DE/shop/product/bernbacher-die-guten-pfiffli-250g-11015752/
Bernbacher Die Guten Spaghetti 500g;1,69;0;https://www.goflink.com//de-DE/shop/product/bernbacher-die-guten-spaghetti-500g-11015749/
Bernbacher Die Guten Spirale 500g;1,69;0;https://www.goflink.com//de-DE/shop/product/bernbacher-die-guten-spirale-500g-11015750/
Bernbacher Original Nockerlgrieß 250g;1,19;0;https://www.goflink.com//de-DE/shop/product/bernbacher-original-nockerlgriess-250g-11015754/
De Cecco Casareccia 500g;2,15;2,69;https://www.goflink.com//de-DE/shop/product/de-cecco-casareccia-500g-11010767/
De Cecco Linguine n°7 500g;2,69;0;https://www.goflink.com//de-DE/shop/product/de-cecco-linguine-500g-11010766/
De Cecco Penne Rigate 500g;0,81;2,69;https://www.goflink.com//de-DE/shop/product/de-cecco-penne-rigate-500g-11010764/
Diamond Glasnudeln lang 100g;1,19;0;https://www.goflink.com//de-DE/shop/product/diamond-glasnudeln-lang-100g-11016267/
