productname;newprice;oldprice;link
Dovgan Taschki Pelmeni mit Putenfleisch 500g;2,99;0;https://www.goflink.com//de-DE/shop/product/dovgan-taschki-pelmeni-mit-putenfleisch-500g-11015058/
Dovgan Taschki Pelmeni mit Schweinefleisch 500g;2,99;0;https://www.goflink.com//de-DE/shop/product/dovgan-taschki-pelmeni-mit-schweinefleisch-500g-11015057/
Dovgan Plombir Original 780ml (6x130ml);2,99;0;https://www.goflink.com//de-DE/shop/product/dovgan-plombir-original-780ml-6x130ml-11017400/
Dr. Oetker Bistro Baguette à la Provence 250g (2 Stück);1,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-bistro-baguette-a-la-provence-250g-2-stuck-11017423/
Dr. Oetker Bistro Classique Baguette Salami 250g (2 Stück);1,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-bistro-classique-baguette-salami-250g-2-stuck-11015042/
Dr. Oetker Bistro Flammkuchen Elsässer Art 265g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-bistro-flammkuchen-265g-11011045/
Dr. Oetker Die Ofenfrische Pepperoni-Salami 415g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-ofenfrische-peperoni-salami-415g-11011038/
Dr. Oetker Die Ofenfrische Salami 390g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-die-ofenfrische-salami-390g-11015036/
Dr. Oetker Die Ofenfrische Speciale 415g;2,99;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-ofenfrische-speciale-415g-11011040/
Dr. Oetker Ristorante Pizza Mozzarella 335g;2,89;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-ristorante-pizza-mozzarella-335g-11011034/
Dr. Oetker Ristorante Pizza Mozzarella Glutenfrei 370g;3,49;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-ristorante-mozzarella-glutenfrei-370g-11011033/
Dr. Oetker Ristorante Pizza Salame 320g;2,89;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-ristorante-pizza-salame-320g-11015035/
Dr. Oetker Ristorante Pizza Tonno 355g;2,89;0;https://www.goflink.com//de-DE/shop/product/dr-oetker-ristorante-pizza-tonno-335g-11011036/
Followfood Verdura Vegan mit Bio-Dinkelboden 339g;3,99;0;https://www.goflink.com//de-DE/shop/product/follow-food-bio-pizza-verde-vegan-11012360/
Garden Gourmet Veggie Lovers Pizza 430g;3,99;0;https://www.goflink.com//de-DE/shop/product/garden-gourmet-veggie-lovers-pizza-430g-11017421/
Gustavo Gusto Margherita 410g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-pizza-margherita-410g-11011934/
Gustavo Gusto Prosciutto e Ananas 510g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-prosciutto-e-ananas-510g-11015038/
Gustavo Gusto Prosciutto e Funghi 460g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-prosciutto-e-funghi-460g-11015039/
Gustavo Gusto Pura 315g;2,99;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-pura-315g-11017150/
Gustavo Gusto Quattro Formaggi 430g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-pizza-vier-kase-fur-ein-halleluja-430g-11015041/
Gustavo Gusto Salame 460g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-pizza-salami-460g-11011933/
Gustavo Gusto Spinaci e Ricotta 480g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-spinaci-e-ricotta-480g-11015037/
Gustavo Gusto Tonno e Cipolla 475g;4,29;0;https://www.goflink.com//de-DE/shop/product/gustavo-gusto-tonno-e-cipolla-475g-11017401/
Lentini Bio Pizza Calabrese 450g;6,99;0;https://www.goflink.com//de-DE/shop/product/lentini-bio-pizza-calabrese-450g-11016254/
Lentini Bio Pizza Margherita 400g;5,99;0;https://www.goflink.com//de-DE/shop/product/lentini-bio-pizza-margherita-400g-11016253/
Original Wagner Big City Pizza Budapest 400g;2,99;0;https://www.goflink.com//de-DE/shop/product/original-wagner-big-city-pizza-budapest-400g-11015034/
Original Wagner Big City Pizza Sydney 425g;2,99;0;https://www.goflink.com//de-DE/shop/product/original-wagner-big-city-pizza-sydney-425g-11015043/
Original Wagner Steinofen Flammkuchen Käse & Lauch 320g;2,99;0;https://www.goflink.com//de-DE/shop/product/original-wagner-steinofen-flammkuchen-kase-and-lauch-320g-11017422/
Original Wagner Steinofen Piccolinis Drei Käse 270g (3x90g);2,99;0;https://www.goflink.com//de-DE/shop/product/original-wagner-steinofen-piccolinis-drei-kase-270g-3x90g-11017494/
Original Wagner Steinofen Piccolinis Salami 270g (3x90g);2,99;0;https://www.goflink.com//de-DE/shop/product/original-wagner-steinofen-piccolinis-salami-270g-3x90g-11015040/
Rocka Nutrition Pink Pizza Vegane Margherita 315g;3,99;0;https://www.goflink.com//de-DE/shop/product/rocka-pink-pizza-vegane-margherita-315g-11015384/
Veganz Pizza Verdura Vegan 410g;3,99;0;https://www.goflink.com//de-DE/shop/product/veganz-pizza-verdura-vegan-410g-11017424/
Coppenrath & Wiese Benjamin Blümchen Erdbeer-Schoko-Sahnetorte 500g;6,79;0;https://www.goflink.com//de-DE/shop/product/coppenrath-and-wiese-benjamin-blumchen-erdbeer-schoko-sahnetorte-500g-11017364/
Coppenrath & Wiese Bunte Sahneplatte 800g;3,45;11,49;https://www.goflink.com//de-DE/shop/product/coppenrath-and-wiese-bunte-sahneplatte-800g-11015050/
Coppenrath & Wiese Erdbeer Cheesecake 550g;3,69;0;https://www.goflink.com//de-DE/shop/product/coppenrath-and-wiese-erdbeer-cheesecake-550g-11015048/
